"","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"40",114.487,1.78406292319,24063,97,1656.426156,81.6,0.5959,0.0946,2.8603,3.1982,1.0949,7.3099,14.8825,24.6872,0.4898,56.2117,1.608,9.75680000000001,4.566,0.6256,0.1459,13.4343,0.6574,3.32994545454545,9.94,251.05083,8e+07
"41",11.301,1.77135692478,25180,100,1360.18507726411,73.5,0.5536,0.0725,2.9447,3.1335,1.0808,7.6043,15.6488,27.1264,0.6392,60.9799,1.1219,9.7626,4.6606,0.6004,0.1296,14.5277,0.6537,3.06009545454545,9.73,335.530804230149,2.01e+09
"42",28.542,1.74542231922,15789,65,2136.797759,85.3,0.7386,0.3577,2.817,3.6182,1.1461,8.65850000000001,15.6664,30.6551,0.4972,59.5502,2.5426,11.5046,5.3465,0.8842,0.1714,15.0844,0.7917,4.0422,10.28,937.77203,9997738414.99129
"43",3.394,1.79461501481,92831,10,33.97361777,40.4,0.6511,0.1687,3.6378,3.5371,1.1571,9.67680000000001,15.4464,28.343,0.7906,68.9048,2.2023,10.8066,4.9197,0.6946,0.1585,15.8765,0.6711,2.11986795454545,8.45,12.715207,5.183e+11
"44",122.406,1.815271616,20451,100,5083.20928,85.7,0.05,0.11,2.34,2.42,1.43,5.7093,13.0803,25.445,0.04,57.6,5.10749999999999,18.23,6.22,0.47,0.19,13.718,0.63,2.5,10.95,697.55823,6956021964.46666
"45",61.741,1.73030710702,64677,30,146.6987696,44.7,0.6,0.1105,2.8272,2.7763,1.1079,9.78560000000001,15.0159,26.7283,0.553,62.2077,1.4718,9.255,4.7636,0.5101,0.12,14.8071,0.6303,2.08083295454545,8.1,29.903355,6.23e+09
"46",205.201,1.73285301925,29597,26.5,873.1177009,62.5,0.6217,0.1545,2.5825,2.5377,1.0663,9.64360000000001,14.887,26.9744,0.4938,57.0379,1.6712,9.2827,4.3866,0.4981,0.1103,14.1291,0.5764,2.31883295454545,9.22,381.37183,3.73e+09
"47",713.482,1.71941472416,29357,22.8,980.2299724,61.2,0.526,0.1791,2.5211,2.4124,1.0956,9.67770000000001,14.6534,26.9241,0.4952,60.1041,1.6102,8.9043,4.4805,0.4732,0.1072,12.838,0.5841,1.9873975,9.63,428.47943,2.73e+09
"48",60.801,1.74786723022,35784,51.1,495.1650809,61,0.5824,0.1119,3.1823,3.1169,1.1325,8.5944,14.3752,26.4151,0.5373,65.0862,1.4639,9.7142,4.7811,0.575,0.1324,15.1783,0.6396,2.46109295454545,10.09,306.79916,1.337e+10
"49",148.315,1.73269246821,36007,21.6,578.4609406,64.4,0.6344,0.1421,2.763,2.7558,1.0847,9.90540000000001,15.1911,26.6262,0.5432,61.6439,1.5549,9.2338,4.5392,0.5075,0.1112,14.0666,0.5811,2.05233295454545,8.99,161.16724,3.15e+09
"50",59.16,1.72406084184,82201,36.4614140669452,789.5788502,48.4,0.5128,0.1141,2.7744,2.7182,1.097,9.8462,14.8636,26.9457,0.493,60.3763,1.2868,9.291,4.6632,0.5034,0.1202,14.5039,0.6191,2.6063375,8.81,568.37732,8.8e+08
"51",55.03,1.81017128947,26242,92.9,1886.814387,81.4,0.24,0.12,4.34,3.45,1.38,5.31,15.94,22.77,0.91,68.36,2.28,10.45,5.15,0.53,0.18,15.18,0.85,4.69,10.41,429.6655,14982014110.6058
"52",12.569,1.79461501481,54964,16.8522646970425,65.60194586,44.2,0.6511,0.1666,3.6378,3.5371,1.1571,9.67680000000001,15.4464,28.343,0.7906,68.9048,2.0801,10.8066,4.9197,0.6946,0.1581,15.8252,0.6711,2.11986795454545,7.72,24.804361,3.9209e+11
"53",2.231,1.79969397308,39681,100,331.3576231,46.6,0.586,0.0685,3.6642,3.4488,1.1144,9.7558,15.5573,28.256,0.754,70.599,1.2893,10.754,5.0468,0.6819,0.1365,15.3532,0.7001,2.90338462121212,8.17,70.953873,1.428e+10
