"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","population_with_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","national_poverty_lines_jolliffe_and_prydz_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","stringency_index","income_support","debt_relief","containment_index","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","child_mortality_1950_2017_ihme_2018_x","life_expectancy","total_population_gapminder_hyde_un","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000"
"36",8.05,60.2145,278318,7.863303,8.0245183,7.8,4.609,180.10001,"1",45.33459,1724.4206,3.89,246.86,53.5455139139995,"0","0",57.2004674902024,59673,37.8264732135917,121.0422012,47.7,18.8999928180027,0,0,1.99198326999203,90.556938,2.28e+09,50.19,64.321,888456,33.75634518,1626.142132
"37",16.672,90.04419,749347,7.7231127,7.6175358,9.6,5.213,117.42,"2",48.93867,5714.5917,2.75,117.41,51.85,"0","0",54.17,70611,31.2301377812816,202.6585841,43.5,18.8999939520019,19.0362462141665,6.44574871810172,1.8269300892407,88.853043,9.32e+09,59.9,64.57,5657017,44.1991342,1653.073593
"38",260.889,10.59034,4543420,8.8486617,8.9133927,25.7,6.998,731.75,"3",48.18792,14686.2539,7.04,676.06,54.63,"0","1",61.67,23017,100,1286.462817,72.9,25.6599544533946,11.3313629844118,4.73816869189635,1.13,276.40625,3.3e+08,8.8,80.279,5139053,31.23960067,724.0224626
"39",4.625,68.84484,5199406,7.3379487,6.312889,10.3,5.257,116.93,"2",41.4748,3713.6436,2.41,119.31,20.37,"1","2",35.71,88856,1.2,189.6011903,42.4,0,0,0,1.20742709043604,68.291847,5.166e+10,94.67,57.783,27053629,111.4307011,5049.576685
"40",114.487,5.311003,4077496,8.3590648,6.3176757,24.4,6.508,569.42999,"3",29.72947,22012.3147,9.62,524.49,33.8,"1","1",45.89,24063,97,1656.426156,81.6,23.9190093867642,11.5722820155096,5.13340336676425,5.58463160858891,251.05083,8e+07,4.59,78.488,4081657,175.3773585,3205.613208
"41",11.301,18.7458619420952,10682055,7.2850055,9.5670743,24.6,5.418,561.953202116017,"3",38.2265150867223,8325.6313,8.02305565949985,531.569454249841,65.28,"0","2",71.13,25180,100,1567.72405169249,73.5,25.6792061510908,10.8479986424886,4.84555775866064,3.87517745343523,365.818606779186,2.01e+09,5.71,78.802,11317498,75.84723442,1583.371378
"42",28.542,0.05130247,1160985,8.2802862,5.6710975,21.8,6.26,1319.55,"4",32.73986,27184.4166,15.1748077370036,835.13,40.74,"2","2",57.74,15789,65,2136.797759,85.3,25.3285021064054,17.6229728834519,5.48588402133254,4.40177093717043,937.77203,8694542822.81501,3.2,80.982,1215588,100,1832.532189
"43",3.394,95.51018,21868430,6.2299002,6.064558,6.7,4.311,46.470001,"1",42.09971,859.3817,1.4,45.83,37.96,"0","1",33.57,92831,10,33.97361777,40.4,66.389969460614,0,0,2.7584211378905,12.715207,5.183e+11,87.31,60.681,92377986,60.24046254,3014.548138
"44",122.406,0.1710614,5660749,5.3713457,3.2946986,19.7,7.515,1588.9,"4",28.16634,46312.3443,26.44,1492.02,38.89,"2","0",56.55,20451,100,5083.20928,85.7,26.8958572198819,18.23,6.22,2.5,697.55823,19988352165.7105,4.05,80.898,5813302,109.2608926,1968.724643
"45",61.741,66.70957,439594,8.6408121,7.5921335,13.5,4.369,154.5,"2",41.58799,3295.6815,2.76400723980759,147.67,54.63,"1","0",48.93,64677,30,146.6987696,44.7,66.3899857261531,0,0,8.71025090482773,29.903355,6.23e+09,48.82,67.112,1002197,97.97297297,3577.59009
"46",205.201,18.58065,8843851,8.6348075,11.4407357,27.6,5.168,471.82001,"3",41.91857,15912.3995,6.66,377.03,63.89,"1","0",73.21,29597,26.5,873.1177009,62.5,25.2548457524499,11.1836710747528,4.86532025082465,3.78252615038093,381.37183,3.73e+09,33.13,74.081,10953714,45.26025836,1212.091565
