"","Entity","Indoor (10 to 14 years)","Indoor (15 to 19 years)","Indoor (20 to 24 years)","Indoor (25 to 29 years)","Indoor (30 to 34 years)","Indoor (35 to 39 years)","Indoor (40 to 44 years)","Indoor (45 to 49 years)","Indoor (5 to 9 years)","Indoor (50 to 54 years)","Indoor (55 to 59 years)","Indoor (60 to 64 years)","Indoor (65 to 69 years)","Indoor (70 to 74 years)","Indoor (75 to 79 years)","Indoor (80+ years)","Indoor (Under-5s)","Outdoor (10 to 14 years)","Outdoor (15 to 19 years)","Outdoor (20 to 24 years)","Outdoor (25 to 29 years)","Outdoor (30 to 34 years)","Outdoor (35 to 39 years)","Outdoor (40 to 44 years)","Outdoor (45 to 49 years)","Outdoor (5 to 9 years)","Outdoor (50 to 54 years)","Outdoor (55 to 59 years)","Outdoor (60 to 64 years)","Outdoor (65 to 69 years)","Outdoor (70 to 74 years)","Outdoor (75 to 79 years)","Outdoor (80+ years)","Outdoor (Under-5s)","Excess mortality from air pollution (all sources)","Excess mortality from fossil fuels","Excess mortality from all anthropogenic pollution","Total Years Life Lost from air pollution (all sources)","Total Years Life Lost from fossil fuels","Total Years Life Lost from all anthropogenic pollution","Death rates from all air pollution (per 100,000)","Death rates from air pollution from fossil fuels (per 100,000)","Death rates from all anthropogenic air pollution (per 100,000)","YLL rates from all air pollution (per 100,000)","YLL rates from air pollution from fossil fuels (per 100,000)","YLL rates from anthropogenic air pollution (per 100,000)","Deaths from fossil pollution as a share of total air pollution deaths","Deaths from fossil pollution as a share of total anthropogenic air pollution deaths","Deaths from anthropogenic pollution as a share of total air pollution deaths"
"61","Eastern Sub-Saharan Africa",1902,1474,1823,3042,3621,4457,6089,8082,2713,10077,13151,17323,20960,23766,22558,29304,61204,922,722,907,1676,2005,2492,3407,4564,1291,5584,7216,9423,11474,12990,12079,15690,29486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Ecuador",2,2,2,6,7,8,11,15,3,19,23,29,31,38,46,159,33,6,5,7,31,36,44,58,83,9,111,132,171,180,220,255,807,114,3022,2079,2984,77911,53884,76921,18.71902758,12.87784856,18.48364603,482.600317,333.7710398,476.4680081,68.79549967,69.67158177,98.7425546
"63","Egypt",1,1,1,3,4,5,8,14,2,24,34,36,39,33,23,36,17,246,172,151,523,730,1072,1667,3214,440,5653,8170,9001,10003,8535,6138,9709,3471,119634,18539,20527,3365055,502761,557423,130.7361091,20.25943065,22.43191828,3677.334182,549.4175313,609.1521986,15.49643078,90.31519462,17.15816574
"64","El Salvador",2,2,3,10,12,13,16,22,2,29,37,48,53,66,83,283,16,4,5,6,26,32,36,45,63,4,84,106,139,157,197,247,829,38,3080,747,1658,80513,19399,43248,50.26929982,12.19193733,27.06055166,1314.068875,316.6149829,705.8593112,24.25324675,45.05428227,53.83116883
"65","England",0,0,0,0,1,1,3,6,0,10,14,24,39,45,60,278,0,1,1,2,16,33,63,152,298,1,480,675,1082,1795,2058,2788,11894,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Equatorial Guinea",1,1,1,3,3,3,5,11,2,17,23,25,20,22,23,42,29,1,1,1,3,3,3,6,12,2,18,24,27,22,23,24,44,30,699,5,251,30483,196,10695,82.72189349,0.591715976,29.70414201,3607.455621,23.19526627,1265.680473,0.715307582,1.992031873,35.90844063
"67","Eritrea",17,12,16,32,41,50,62,75,25,92,118,151,190,195,163,161,455,16,11,15,32,42,51,63,78,22,94,121,154,195,199,163,161,430,4962,329,522,198933,11472,18312,94.91201224,6.29303749,9.984697781,3805.145371,219.4338179,350.2677888,6.630390971,63.02681992,10.51995163
"68","Estonia",0,0,0,0,0,1,2,3,0,7,11,18,20,26,36,102,0,0,0,0,0,1,1,3,5,0,10,17,27,32,43,61,195,0,1420,755,1383,27828,14789,27104,108.1492765,57.50190404,105.3313024,2119.421173,1126.351866,2064.280274,53.16901408,54.59146782,97.3943662
"69","Ethiopia",469,394,504,815,1010,1254,1779,2455,530,3036,4045,5268,6582,7558,7072,9001,10380,269,226,292,508,628,786,1117,1551,302,1888,2496,3236,4042,4641,4285,5467,6059,68169,3496,14652,2836579,129379,565601,68.58669779,3.517421342,14.74177846,2853.959815,130.1717551,569.0666558,5.128430812,23.86022386,21.4936408
"70","Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790009,433560,607759,14291111,7961642,11127445,132.891659,72.93145732,102.2344072,2403.984574,1339.270582,1871.807316,54.88038744,71.33748739,76.93064256
