"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people.y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"141","Romania",341.725,0.508367756,2.271961773,3.306929619,42.47015507,189.8046594,276.2681386,4.759807879,21.27220189,30.96252558,0.7519175,6.444023,11.02077,147281.7726,1262222.425,2158692.332,15674045,4141436,341.725,7.2931016,6.3776748,8.3916512,8.3916512,0.35,0.14,2.216485464,13.30823442,20.71738689,0.093683425,0.562494546,0.875654634,47.02,28.99,430.29,140.81,8.67,21.46,33.93,17.24,12.78,0.45,0.42,150.5,4.41,22.5,23.4,21.6
"142","Russia",182.198,0.621210643,2.270001586,3.398629889,51.89729684,189.6409011,283.9289799,6.770769513,24.7414588,37.04273244,0.001276778,0.4716394,2.541048,1844.902587,681503.5576,3671731.522,104037940,40058930,182.198,7.4159878,7.9515761,10.2981062,10.2981062,0.37,0.15,8.243218999,41.06300511,53.11255104,0.064354799,0.320578824,0.414649613,56.75,27.98,562.81,168.05,5.21,17.96,25.92,16.04,20.19,0.15,0.96,147.5,3.98,23.1,18.1,26.9
"143","Rwanda",2.702,0.762956708,1.310426108,3.607720503,63.73907337,109.4758653,301.3968674,52.86538101,90.79961513,249.9794771,23.69054,56.56786,91.14971,2838348.672,6777359.669,10920589.33,7163805,4465748,2.702,4.2869468,4.5413895,2.9881491,2.9881491,0.91,0.19,345.4228302,482.9915163,623.1221629,158.9349501,222.2326546,286.709161,1.7,41.11,268.13,82.99,10.84,47.21,26.66,60.85,41.92,4.55,19.02,133.87,2.28,5.8,1.9,9.3
"144","Saint Kitts and Nevis",392.08724,0.895088483779999,2.5110593015,3.50610046561,80.6432747722,215.93535632,292.892199027,31.27423579281,89.1428454671,120.4762774604,6.1874814729,44.30005759,60.65144118,969295.9792857,9494098.8808734,12004506.194769,43461,6322,410.60425,12.6933192,16.3036417,16.9508768,16.9508768,0.58,0.25,236.89654527448,354.43172471132,549.13470502444,47.89198488611,90.14449905947,130.646268702,12.39,42.7986,497.4616,157.4968,54.1245,78.4324,28.5464,175.0178,33.1413,1.5873,3.9618,130.2429,2.6721,22.9,15.3,30.1
"145","Saint Lucia",213.74471,1.050054834,2.6511443,3.481056905,87.7238792,221.4823977,290.8151132,59.09355178,149.197478,195.902166,3.748323,12.98524,17.73234,6782.777885,23497.44104,32087.55585,160371,16835,82.77494,13.7422047,15.1406024,15.4551671,15.4551671,0.57,0.23,0.283352436,0.594360217,1.491103966,2.43436171,5.106318381,12.81050005,15.97135,32.06,215.09,69.38,26.65,23.7,15.82,97.99,10.7,0.15,1.23,129.55,2.77,19.7,12,27
"146","Saint Vincent and the Grenadines",321.03958,0.87036355239,2.51010548492,3.49810274562,76.8972530642,213.756007431,293.473427245,31.37187315799,87.499395373,118.8233959441,6.0773820223,44.73408153,61.926054,969301.24414055,9484828.85353541,11499571.616321,82985,26062,135.99309,9.3436029,11.8484475,11.666134,11.666134,0.52,0.22,0.39938264,0.641402054,1.360602246,5.086883564,8.169452647,17.32980982,15.97745,31.09,366.32,103.23,34.21,18.55,15.88,154.14,21.14,0.1,1.71,183.09,2.65,23.7,16.6,31
"147","Samoa",119.75637,0.866349727019999,2.46499443257,3.52017157501,75.8765386267,210.67722655,294.915283355,30.84803036969,87.2543476439,125.748862295,6.6823201456,44.30421403,63.09972978,1064857.6741983,12253623.0849334,11684887.441412,177289,16470,164.42589,22.6574192,26.571054,25.1065113,25.1065113,0.18,0.11,0.240711205,0.300389353,2.01008098,3.944089158,4.921924538,32.93547795,16,53.3,389.59,120.01,62.76,60,18.22,180.8,19.64,0.86,1.93,106.54,2.87,47.3,39.9,55
"148","San Marino",1237.551,0.974408966539999,2.50245967642,3.52961935069,84.0010763846,214.309003516,293.89847932,26.20401356719,66.1458851602,92.3749969815,3.9104549136,35.6990107,59.3781944,1117738.6156991,12833927.808108,13771474.674351,27173195.01,4189767.51,1237.551,9.128013704,9.667384752,7.833078244,7.943139663,0.5198,0.1814,262.42944300308,385.59585894726,526.61593381724,48.18019306779,88.15219477177,122.7524941691,10.94235,41.5823,353.5399,113.0395,36.6548,61.8519,31.0606,106.6322,33.1091,1.3047,4.082,127.4798,2.6106,19.643,14.15,24.836
"149","Sao Tome and Principe",68.443,0.895221716,2.528955099,3.2009921,74.78878163,211.2744444,267.4178864,19.10498482,53.97059513,68.31258044,18.5827,71.84284,81.26451,38482.7276,148778.6189,168289.8611,67857,127696,68.443,8.3453454,7.7847396,5.7104621,5.7104621,0.23,0.07,1.182479901,1.665138708,2.506077838,26.45064956,37.24714506,56.0579394,10.3235,28.01,293.65,122.56,43.5,104.05,69.35,81,33.28,1.83,5.23,130.31,1.94,12.4,7.2,16.9
"150","Saudi Arabia",153.071,0.958833238849999,2.47583461972,3.52363660941,82.9166668299,214.447902374,296.30618801,28.18529094489,74.0130162057,101.7495860806,3.6701400382,32.96654487,55.53731743,1032723.47435895,6765111.570513,10186410.0271585,31557144,0,153.071,17.6139625,17.0134147,13.8250458,13.8250458,0.59,0.29,10.38224065,6.15515015,37.75978201,2.314998101,1.372455271,8.419552829,9.6,51.42,301.43,84.77,44.64,22.13,19.1,85.1,6.27,0.97,0.69,90.21,3.92,35.4,30.8,42.3
"151","Senegal",19.231,0.744343569,1.857560211,3.178888156,62.18409098,155.1846459,265.5712745,23.01494333,57.43536287,98.29053922,8.035439,49.44025,77.24802,1239014.954,7623380.515,11911166.52,7129049,7847945,19.231,7.5161234,7.3062892,5.2602757,5.2602757,0.31,0.09,651.8171428,969.9338695,1297.648909,200.9618256,299.0404337,400.0782989,1.4,36.95,356.79,110.4,26.55,55.25,32.31,90.21,36.77,3.85,25.53,148.91,2.38,8.8,4,12.9
"152","Serbia",117.274,0.613036548,2.721453576,4.336531784,51.21441502,227.3561884,362.283357,9.152198781,40.62936245,64.74132912,2.950878,12.28619,23.87022,207176.9541,862595.9535,1675894.25,6839949,255434,117.274,7.2703366,6.4741997,8.4988801,8.4988801,0.45,0.17,1.50719623,5.292796122,17.18284253,0.153524584,0.539129749,1.750262313,40.2602,29.92,398.67,116.96,14.08,24.53,9.24,38.43,16.61,0.06,0.41,174.37,4.3,21.5,21.1,21.8
"153","Seychelles",193.58351,0.633518334,2.166685499,3.840847424,52.92550826,181.009649,320.8728006,12.75066837,43.60834845,77.30379553,0.06652946,1.354531,5.710876,63.76383035,1298.223146,5473.474885,91924,1495,87.48116,10.3003167,10.4253758,10.5117947,10.5117947,1.23,0.47,0.153337457,0.280043343,0.933622301,3.027441991,5.529079401,18.43311747,16.9916,47.22,289.36,56.34,48.93,33.38,22.32,93.95,28.26,1,4.82,162.39,3.11,14,7.6,20.5
"154","Sierra Leone",9.277,1.241975289,2.201196701,2.770219681,103.7573341,183.8927904,231.4302156,57.83079465,102.4955613,128.9912987,40.10301,76.5531,85.57656,3003086.233,5732626.072,6408341.648,962524,6274501,9.277,7.1035396,6.6353241,4.6419825,4.6419825,0.31,0.09,406.241183,601.0625282,797.2303555,261.8330403,387.4004798,513.8357621,2.4,31.04,386.95,125.83,23.09,54.01,36.69,86.5,40.23,4.91,31.04,138.42,1.97,8.7,3.8,13.3
"155","Singapore",4.786,0.921942895259999,2.41736876429,3.56320321273,79.9180480538,207.24419367,300.459750484,29.71828965709,81.6078867689,124.2964512686,7.0329120027,46.27967732,69.22835298,1175733.1681354,6392353.512817,11682689.455134,5535002,0,4.786,9.3643048,6.542572,7.6571868,7.6571868,1.62,0.32,0.525654718,0.322362997,1.520959215,0.154520554,0.094761271,0.447098548,30.49,38.86,111.1,22.84,13.66,11.72,3.59,22.56,5.14,0.09,0.16,111.78,3.03,6.1,5.8,6.3
"156","Slovakia",32.237,0.387426943,2.110823834,3.333447784,32.36649482,176.3428433,278.4835241,5.577298781,30.38687786,47.98745827,0.5420523,1.311294,2.348883,29483.48216,71324.32286,127761.1958,5358715,65086,32.237,8.1699695,6.3083978,8.1008882,8.1008882,0.36,0.13,0.303444641,0.45204238,2.821787954,0.058192301,0.086689243,0.541140991,52.55,30.25,356.91,65.66,9.5,14.18,21.04,24.19,15.67,0.08,0.5,168.04,4.62,20.5,21,19.9
"157","Slovenia",92.355,0.440995618,2.047126761,3.041276348,36.84173919,171.0214503,254.0748829,6.205535896,28.80645084,42.79577567,0,0,0.01920434,0,0,396.8361772,2044959,18572,92.355,7.2928867,6.9791175,9.8495225,9.8495225,0.35,0.13,0.121865262,0.243813876,0.923074812,0.045131477,0.090293823,0.341850739,48.75,29.73,190.44,41.24,5.36,16.04,16.27,18.47,12.91,0.03,0.23,154.68,4.63,20.2,19.4,21
"158","Solomon Islands",131.9457,0.88397358438,2.4336465268,3.55310133639,75.3415758328,209.68147027,297.58969398,30.48028485109,88.3932970519,120.8799509943,6.7151134677,45.12844663,64.4181018,1070522.9976331,12595173.523664,11651593.0692155,175070,412412,211.36392,12.6337645,15.1037991,11.7706089,11.7706089,0.83,0.32,2.426774443,10.01377305,12.31758065,19.70335513,81.30336427,100.0083327,14.8,49.2,666.43,239.88,86.5,143.2,26.4,282.41,38.27,2,3.4,158.94,2.68,22.5,17.9,27.1
"159","Somalia",6.544,0.85669006805,2.30577341494,3.64113053391,71.5133844293,189.999244814,305.054748651,29.995391885,84.4212145633001,134.1729612962,5.1737957652,45.3739932,73.8623148,1206779.6510344,10566928.8865,14030135.271052,2915110,9489615,6.544,7.4372867,6.2462293,4.5081573,4.5081573,0.77,0.21,445.4531298,649.511717,847.137449,211.6770966,308.6447154,402.5554735,3.5,37.27,473.9,153.48,17.59,56.13,40.43,86.18,60.12,6.26,33.84,163.49,1.94,8.3,3.9,12.3
"160","South Africa",321.251,1.264708811,3.407425561,4.276109309,105.6565422,284.6637896,357.2355313,29.2795996,78.8861873,98.99730862,18.0559,54.05105,61.10259,10291944.43,30809342.27,34828751.87,36527953,18484024,321.251,9.666581,12.631978,11.7505881,11.7505881,0.29,0.15,1615.847969,2133.078229,3282.365464,77.47605523,102.2760123,157.3815934,24.88,33.38,249.35,76.83,27.55,57.55,11.73,130.7,20.26,0.54,5.62,133.23,2.11,28.3,15.4,39.6
"161","South Korea",8.992,0.68144879,4.320287496,4.860810844,56.92972348,360.9262737,406.0827773,13.13085791,83.24775401,93.66311521,0,0.9978241,1.228063,0,512501.5262,630756.6251,51014947,0,8.992,9.3042505,6.7262088,8.4375467,8.4375467,1.5,0.23,38.68146316,24.06495766,112.2496836,0.800516322,0.49802644,2.323017191,40.27,53.73,123.61,54.53,9.74,20.25,14.51,36.6,8.72,0.21,0.26,146.57,3,4.7,4.4,4.8
"162","South Sudan",5.003,0.8440594136,2.29658260035,3.60241988229,71.3646592014,188.367804803,302.734277761,30.7482235878,89.3412736961,144.5502287583,6.5204031652,46.33403403,76.4522437000001,1269127.3141098,10504692.71027,14451498.428522,796103,11086033,5.003,7.49046675,6.471259163,4.605612312,4.5444451,0.6155,0.1839,460.8228436,690.4437055,882.7365556,342.9839182,513.8874748,657.0083207,4.231,34.75,326.17,106.68,12.64,44.84,26.75,66.45,48.15,4.32,32.47,126.2,1.69,8.051,3.815,11.959
"163","Spain",754.96,0.442280512,1.770827881,2.715095317,36.94908205,147.9388371,226.8250056,6.080570696,24.34573494,37.32773335,0.5017389,0.9513059,1.480493,233776.3898,443244.2031,689809.5975,46401249,46448,754.96,8.5417676,5.6802586,8.2329689,8.2329689,0.29,0.12,23.59704663,9.975476802,36.93878373,0.368017975,0.155576875,0.576094822,45.1,46.26,117.28,26.87,9.39,30.04,9.64,24.84,12,0.18,0.32,129.92,3.96,23.8,24.6,22.8
"164","Sri Lanka",0.887,0.971934199,2.227864363,4.050519973,81.19751039,186.1206652,338.3893043,17.60403343,40.35190729,73.36452306,0.08013956,10.67173,45.437,17185.12725,2288445.781,9743510.28,19938666,1027334,0.887,7.0219834,7.712655,8.4048689,8.4048689,1.57,0.34,66.51201084,196.3430677,361.5068164,5.407416978,15.96266335,29.39045252,9.1,41.92,226.84,61.04,23.41,56.53,21.57,89.52,6.2,0.07,2.56,74.72,3.31,5.2,2.9,7.3
"165","Sudan",19.088,1.078303515,2.088458248,4.232425264,90.08383584,174.4743733,353.5860705,24.17271361,46.81771173,94.87978326,5.536669,35.98657,81.57917,2259702.644,14687341.32,33295229.71,8906147,28831766,19.088,8.3090898,9.4724273,7.1762183,7.1762183,0.5846,0.2112,202.4042067,336.5655065,428.0380857,24.86748244,41.35060708,52.58897408,0.9,43.15,449.28,115.47,37.59,48.64,20.8,79.78,17.03,0.84,3.01,94.4,3.24,16.606,9.987,21.676
"166","Suriname",189.215,0.869059555909999,2.4769053178,3.55147958532,74.3266458598,211.302203951,298.126942084,28.86115517519,82.9336505011,114.0114841338,5.0990842742,40.12947055,61.1614889,949617.92711535,8903602.50860741,6989951.9387265,438141,115067,189.215,10.946402,13.5358311,13.4875486,13.4875486,0.48,0.21,3.093831384,3.554315911,10.1918065,10.47416438,12.03313449,34.5043551,13.2,35.76,331.98,120.76,45.27,24.15,20.81,126.09,26.27,0.38,2.57,140.51,2.86,26.4,18.9,33.7
"167","Sweden",585.983,0.822322346,2.502307275,2.889616398,68.69860871,209.0482268,241.4048787,11.10858749,33.80316664,39.03524782,0.1356052,0.3259973,0.3404294,13638.76149,32787.82392,34239.36096,9730592,68594,585.983,5.8450484,3.9519066,5.9741604,5.9741604,0.22,0.08,16.09295052,12.6039573,16.62200002,1.111636484,0.870630825,1.148181102,20.27,40.27,166.31,35.6,6.45,20.67,6.35,20.46,9.59,0.06,0.22,134.55,4.29,20.6,23.1,18.1
"168","Switzerland",222.887,0.422059823,2.123611479,2.45778473,35.25980145,177.4111511,205.3287159,5.577981123,28.06584301,32.48230717,0,0.02182594,0.02182594,0,1844.693527,1844.693527,8274114,8282,222.887,5.2982009,2.8276539,4.3539265,4.3539265,0.29,0.11,4.994817772,3.566223667,4.817742025,0.444491847,0.317360396,0.42873377,31.85,43.39,130.34,24.76,7.72,17.62,6.87,20.54,9.92,0.65,0.2,120.55,4,19.5,22.2,16.9
"169","Syria",15.714,0.895123540889999,2.35395184792,3.65534503638,75.4813246363,197.307177435,304.086484576,28.08932612069,76.1556974882,111.332880245,4.86559097695,42.645768706,67.9691092,1123951.3943955,6783352.022531,9024122.0324614,17929383,805604,15.714,13.9683956,15.2886327,12.6454502,12.6454502,0.32,0.14,2.014161609,2.773388032,8.367179624,0.356202074,0.49047036,1.47972572,30.5,48.87,432.24,60.34,23.78,31.29,12.48,48.55,7.67,0.06,1.79,67.4,3.43,27.8,20.9,34.8
"170","Tajikistan",8.493,0.911056262,2.344516378,3.217305785,76.11163426,195.8660299,268.7807673,36.19254302,93.13805678,127.810414,0.7854215,16.24259,34.01277,69747.53413,1442385.522,3020425.13,8121218,427433,8.493,10.2708067,9.9071062,7.597814,7.597814,0.53,0.16,4.808756272,15.30106375,17.05428184,2.620079653,8.336876216,9.29212759,6.48,27.4,515.37,154.33,11.63,47.15,28.61,37.83,10.94,1.53,4.82,83.38,3.47,14.2,11.6,16.7
"171","Tanzania",0.352,0.993807355,1.943333143,2.670800338,83.02484168,162.3503044,223.1245061,37.34486265,73.02573176,100.3621791,31.10177,71.84402,84.53875,17001442.32,39272747.56,46212182.83,8405273,45474684,0.352,6.0174174,6.1468618,4.455715,4.455715,0.6,0.17,1968.689517,2737.774677,3648.140032,181.5023339,252.407751,336.3384242,2,40.72,327,79.07,13.25,40.71,29.07,66.93,41.64,5.21,20.03,146.77,2.6,8.4,4,12.7
"172","Thailand",0.845,1.046140589,2.883112817,5.012801356,87.39687457,240.8615553,418.7803973,17.28115243,47.62601951,82.80625501,0.002042557,2.216301,19.70135,1413.650799,1533898.775,13635276.36,63851568,4806032,0.845,8.2871193,8.7565508,10.1013816,10.1013816,0.7,0.21,532.4150149,127.4248549,2210.900036,10.32338007,2.470732738,42.86874096,15.92,45.4,132.19,48.19,28.12,32.73,15.63,64.99,13.62,0.49,1.48,129.54,3.35,10,7,12.7
"173","Timor",50.84214,0.86650114764,2.4282077799,3.63906348204,74.1676662225,207.112988274,304.229968389,29.37018854479,83.2261231489001,117.06051827,5.3471236031,44.82326133,67.2570462,950226.4409771,7864311.287089,6166842.147778,503837,737140,91.78285,5.3768121,5.5188259,4.1040317,4.1040317,2.57,0.41,11.48064684,36.95382136,46.48195163,27.76697859,89.37614581,112.4207872,20.04125,52.43,329.97,117.57,17.62,65.42,16.14,48.09,27.29,0.85,2.69,96.56,3.09,3.8,2.6,4.9
"174","Togo",6.523,1.938657561,2.309871612,6.206968342,161.959696,192.9717303,518.5437211,143.9768989,171.5455881,460.9684924,66.35256,74.28932,97.28955,5108135.243,5719144.728,7489811.684,860349,6556453,6.523,7.252472,7.0262178,4.9975307,4.9975307,0.71,0.2,219.2836653,313.665578,428.7211848,168.2380822,240.6494584,328.9220372,2.4,34.13,386.86,123.71,18.84,56.29,34.26,71.77,39.43,4.32,20.51,145.27,2.26,8.4,3.9,12.5
"175","Tonga",223.98023,0.87568240908,2.50316802465,3.5048226199,77.1073859449,213.740750608,292.972467085,31.27453780599,88.8836786733,119.4419036715,6.9344578718,46.00319043,61.81588358,984997.22731095,9023304.30307041,9329168.9205105,96791,9573,190.61741,21.911042,26.3599192,24.5182123,24.5182123,0.3,0.18,0.186551936,0.528367815,1.378481785,4.373741167,12.38767131,32.31873474,15.0235,49.38,274.78,83.93,61.85,66.87,18.7,228.38,42.24,8.97,8.57,189.7,2.6,48.2,41.4,54.5
"176","Trinidad and Tobago",75.742,1.008387702,3.134152422,4.08868259,84.24291577,261.8339534,341.5774929,12.85923731,39.96757366,52.14000489,0.1681227,3.472017,7.340323,2326.939216,48055.21513,101595.3554,1244484,115608,75.742,10.4106402,12.9583853,14.0860047,14.0860047,0.72,0.29,2.02676184,2.609978705,8.190175784,2.123761395,2.734890654,8.582152476,14.89,32.12,304.78,80.09,30.11,19.5,12.6,168.86,20.62,0.3,1.24,130.92,2.73,18.6,10.8,26
"177","Tunisia",83.174,0.603618059,1.881483827,3.447835621,50.42757388,157.1832772,288.0397344,11.11575981,34.64794,63.49265403,0,1.57308,13.31939,0,179857.2051,1522864.864,10326673,946988,83.174,12.1266469,12.8581778,12.6824945,12.6824945,0.36,0.16,10.38189492,16.63849385,43.2067874,1.66781857,2.672921392,6.941033689,27.1,53.92,282.73,65.66,31.6,27.33,12.18,67.66,8.79,0.44,0.91,105.1,3.68,26.9,19.1,34.3
"178","Turkey",117.976,0.734378871,2.370504554,3.440223518,61.35161827,198.037139,287.4038026,9.986639878,32.23591562,46.78276397,0,2.007663,6.668437,0,1628252.678,5408228.574,74279627,3991845,117.976,13.0451608,14.1696724,14.205187,14.205187,0.41,0.19,31.97276294,39.61941784,154.3051901,0.686735894,0.850976701,3.314287001,44.1,56.98,193.37,39.38,20.59,37.57,7.08,54.35,7.19,0.7,0.62,112.72,3.48,32.1,24.4,39.2
"179","Turkmenistan",61.59934,0.880979153409999,2.39312248874,3.62729922179,76.1981015303,199.900230403,303.606773313,26.86772375999,73.8025549912001,109.3366564577,3.2708496507,42.7189715,67.0990574,872140.8429521,7713498.410739,7603874.955591,3015936,1794169,194.9158,12.3522917,11.9818717,10.3663717,10.3663717,0.38,0.13,0.392719106,1.578034081,1.949179031,0.261418361,1.050438027,1.297495283,18.3,25.88,602.58,139.15,24.91,14.27,54.07,51.27,8.91,1.45,1.62,85.46,3.61,18.6,15.9,20.9
"180","Tuvalu",468.83967,0.901651101379999,2.54655782401,3.49287515079,81.5763480358,218.137614911,292.207482129,31.79615192541,91.3332697324,124.0499908632,6.1852560319,39.70360359,59.24667298,968637.07253849,8802205.7032408,10412303.934112,9012,1807,372.1168,23.2480556,24.2970242,23.8471629,23.8471629,0.34,0.22,751.48006234063,1248.37057541959,2185.9457876714,80.84525373661,145.61603269927,230.3418293374,13.1809,50.1264,503.0012,183.8667,65.1774,114.4679,30.6845,327.2528,41.9111,4.267,8.8981,150.4034,2.5964,51.6,47,56.2
"181","Uganda",2.252,0.648064841,1.799356803,3.000061375,54.14075527,150.3222058,250.6316938,42.58860861,118.2475855,197.1537903,7.880419,60.01055,81.69172,3243774.713,24701821.64,33626325.65,7667670,32477200,2.252,4.4017746,4.736887,2.9922044,2.9922044,0.79,0.17,1041.240813,1543.876411,1970.54167,186.7924903,276.9623662,353.5036094,3.3,39.2,306.9,100.29,14.65,50.43,30.96,73.48,50.53,4.33,23.58,179.41,2.21,5.3,1.8,8.6
"182","Ukraine",150.685,0.929161627979999,2.43603765732,3.58381223612,79.9561959158,210.854196116,300.909753369,26.53548373839,66.3337390216,94.7017318086,3.1448616953,33.65235863,59.7059443,894716.32629949,6853599.741681,9367290.975803,43302714,1851315,150.685,7.4189136,7.1748896,9.7013798,9.7013798,0.25,0.11,5.146238766,25.0387715,32.77647672,0.10966075,0.533548982,0.698431063,47.16,27.65,593.07,115.9,3.73,19.56,28.92,11,11.96,0.31,0.96,126.22,3.87,24.1,22,25.7
"183","United Arab Emirates",48.734,0.864821210139999,2.32465681935,3.60880540321,75.0991495389,194.986750994,301.62141032,26.18372059289,66.7358916294,95.7993368565,3.9562323415,41.54350703,63.289492,941715.2909054,5623598.305224,6408572.5811744,8934599,219703,48.734,15.0211902,15.402467,8.4996671,8.4996671,0.67,0.3,1.350489119,0.359605262,6.190059715,3.99414076,1.063550985,18.30741875,12.7,46.89,339.84,89.9,39.1,36.77,11.37,94.72,9.29,0.61,2.98,98.2,4.21,31.7,27.5,41
"184","United Kingdom",668.253,0.265348333,1.539730769,1.887692082,22.16778056,128.6324786,157.7019283,4.963690084,28.80269213,35.31176681,0.1003027,0.3433783,0.4246,66258.81917,226831.787,280485.9153,64607830,521031,668.253,6.6201465,4.9460228,6.9210203,6.9210203,0.16,0.07,30.49522397,5.643354009,36.4053406,0.366635441,0.067848447,0.437691099,37.58,41.6,145.01,36.6,5.26,37.1,10.64,18.3,15.72,0.07,0.4,158.8,4.11,27.8,26.9,28.6
"185","United States",684.958,0.9044263,2.21435,2.974152331,75.55775272,184.9916458,248.4671956,12.8980859,31.57899822,42.41459171,0.9991196,1.499683,1.499683,3246994.217,4873752.881,4873752.881,320896618,0,684.958,8.1696543,6.4363376,8.346949,8.346949,0.29,0.16,198.1417956,448.8719521,231.454478,0.59985371,1.358913223,0.700704397,44.11,42.14,176.43,34.28,16.46,38.71,14.14,41.69,10.49,0.25,0.4,145.11,5.07,36.2,35.5,37
"186","Uruguay",15.545,0.694181218,2.128675062,2.961332191,57.99341841,177.834174,247.396173,9.391300947,28.79799626,40.06268259,0.02453968,0.3399476,1.307074,843.3419311,11682.7956,44919.50634,3308016,123536,15.545,9.1377699,9.7827532,11.9341041,11.9341041,0.21,0.1,7.202059673,5.503096917,39.85485395,2.012371296,1.537653779,11.13608714,46.16,29.37,185.95,62.21,14.4,38.5,11.87,42.13,18.53,0.19,0.4,190.63,4.86,27.9,24.9,30.6
"187","Uzbekistan",16.642,0.94246958845,2.41754205853,3.56001508167,80.5866291296,206.659540299,300.219970246,29.02994604479,80.0477816709,115.2686154,4.3471648855,41.181265326,63.65633503,1158508.7514307,9976986.653188,12177482.980138,31298900,0,16.642,10.4833885,10.7044365,9.0691813,9.0691813,0.45,0.15,1.328324469,6.321237652,5.530351017,0.169033263,0.804396406,0.703753715,10.98,26.49,696.86,112.58,15.86,24.2,48.17,53.67,9.1,0.91,1.09,80.62,3.53,16.6,13.8,19
"188","Vanuatu",300.15571,0.87878140584,2.4997625047,3.51876690007,76.4516529061,212.52919116,295.940729976,30.69878937789,87.7909529487,118.5580352353,6.2029222249,44.29413643,62.1378536,1000073.4051487,9945790.96114841,11659928.188525,153205,111398,195.37113,15.7220979,15.9942814,13.2630981,13.2630981,0.73,0.31,3.293144721,8.109889511,10.86596064,44.15278525,108.7332141,145.6851937,12.7,47.77,685.22,219.21,69.75,128.34,23.15,209.06,35.34,1.78,3.69,139.97,2.7,25.2,20.2,30.1
"189","Venezuela",27.43,0.891993374849999,2.36231974752,3.63154675489,77.1652960163,196.278607382,303.772597606,26.88283735299,73.1731384993,98.4489108553,2.8578878831,40.90223796,65.7381137,1034883.0955591,9999417.711813,12389892.4781,29410446,1744688,27.43,9.9360777,8.9778599,8.4720032,8.4720032,0.49,0.19,61.22011846,80.44255288,258.0289084,4.525401616,5.946327254,19.07354099,16.86,38.35,231,47.37,34.95,27,15.6,80.11,14.29,0.66,1.12,120.47,2.49,25.6,22.4,28.6
"190","Vietnam",0.36,0.974507314,2.513795511,4.306775634,81.41247403,210.0079792,359.7974631,28.58516223,73.73700685,126.3303809,0.4951231,10.18864,32.01523,468369.8264,9638111.305,30285332.51,71536374,20176926,0.36,5.5387413,5.1369106,5.0445686,5.0445686,3.16,0.34,379.9272853,575.0777246,1115.452496,9.14095489,13.83622536,26.8375064,27.4,52.3,277.86,131.85,26.19,50.08,23.98,68.15,15.57,1.02,1.03,158.41,3.11,2.1,1.6,2.6
"191","Yemen",20.117,0.886337415279999,2.30899897241,3.63576478614,75.7862731973,190.324288286,304.825642824,27.7772783043,73.3147052501,104.5225808748,3.6041048767,41.647690906,68.8120968,1058225.235197,11636699.0905,17681051.370871,13277013,11632956,20.117,12.5919634,10.1444687,7.051236,7.051236,0.38,0.12,84.73164561,137.2570886,221.9642319,15.63120325,25.32104073,40.94772382,3.8,52.59,540.3,150.32,39.37,59.2,17.35,84.81,18.2,0.89,2.14,104.65,3.32,17.1,12,22
"192","Zambia",18.93,1.278012074,2.379476799,3.306079267,106.767926,198.7867,276.1970983,75.42884391,140.4377844,195.1262762,57.78896,77.14788,84.97017,9739571.017,13002262.99,14320607.34,7068158,9032429,18.93,6.4647059,6.6852064,4.3618839,4.3618839,0.66,0.18,597.1407001,857.409909,1143.515004,231.4820379,332.3755908,443.2844443,6.3,41.2,393.06,111.5,17.28,55.51,47.66,81.49,64.98,7.25,31.73,168.44,2.42,8.1,3.6,12.4
