"","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","nurses_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"132",28151,92.1,0.1333,4.1213,10.1996,0.5271,15.7382,0.5874,537.25604,1.15e+09
"133",117683,0,0.9718,4.9716,15.0296,1.3733,20.4983,0.8199,98.019753,1.4083e+11
"134",14354,100,1.6694,3.6175,22.7469,1.8565,16.8284,0.9012,1161.4761,96815118750
"135",25991,94.8,0.0831,4.73919999999999,12.0309,0.81,17.7577,0.7522,380.29736,40827400000
"136",21200,100,0,4.45,12.113,0.66,12.58,0.62,342.3797,6804800000
"137",89247,7.0114,0.2585,4.702,12.6514,0.9423,19.5194,0.7737,64.6939942823333,5.67e+10
"138",67514,100,0.2784,4.713,12.381,1.0668,16.9854,0.8345,83.637741,8.779e+10
"139",17921,100,1.6562,3.5404,23.5761,1.4768,17.8299,0.9114,940.44543,82577218750
"140",80319,2.01946904761905,0.9706,5.0338,15.0192,1.3557,20.6338,0.8218,43.657784,1.1859e+11
"141",16984,99.2,0.36,2.04,6.24,0.36,7.38,0.96,771.09918,45162300000
"142",28527,100,0.1947,4.9263,13.1174,0.9048,17.0961,0.6763,135.6982,3.374e+10
"143",59210,29.7,0.993700000000001,5.0871,14.8217,1.3535,19.7522,0.8106,175.13531,1.0946e+11
"144",29901,44.981,0.182,4.3848,10.1802,0.5474,17.3509,0.5512,103.195,1.77e+09
"145",18308,100,0.685600000000001,2.5671,19.73,0.43,16.0183,0.66,804.94183,7472100000
"146",17679,100,1.0735,3.4178,21.4283,0.93,13.9655,0.82,2149.3345,51421918750
"147",43178,90,0.1235,4.8036,12.2125,0.841,19.1612,0.6258,85.753609,1.105e+10
"148",42752,0.3,0.2125,4.6125,12.1818,0.8373,19.4325,0.6315,121.52,2.398e+10
"149",63043,13,0.9718,4.9716,15.0296,1.3733,20.4983,0.8199,25.233082,3.1549e+11
"150",28993,98,0.1084,4.8238,12.3725,0.8601,17.5358,0.6588,75.361549,2.679e+10
"151",71808,4,0.1447,4.6756,12.2562,0.8252,19.1727,0.624,48.73756,1.644e+10
"152",38360,60.225,0.4454,4.1314,14.1214,0.5544,20.5675,0.617,822.86584,5e+07
"153",26814,80,0.1998,3.8824,11.4225,0.5361,16.5162,0.5648,307.94397,4.34e+09
"154",29027,86,0,2.15,8.43640000000001,0.05,11.57,0.44,168.79961,2.16e+09
"155",74116,2,0.9718,4.9716,15.0296,1.3733,20.4983,0.8199,56.105515,2.0389e+11
"156",35121,100,0.1242,5.17109999999999,11.5663,0.7857,16.4355,0.8162,224.43942,5.127e+10
"157",25546,100,0.0776,4.2082,12.1889,0.668,16.9278,0.6271,431.54056,11475200000
"158",20376,100,0.3214,2.54,13.3811,0.38,14.1229,0.82,613.17255,38723700000
"159",22775,84,1.68,0.61,17.49,0.21,4.25,0.39,1056.9528,3298300000
"160",24820,97.2,0.1892,4.0544,11.5986,0.7096,18.462,0.5996,282.98938,2.1e+08
"161",40253,100,0.1818,4.7782,13.3985,0.8689,19.5151,0.6663,163.58907,2.245e+10
"162",29410,100,0.2189,4.2691,12.4785,0.6252,18.8887,0.5917,265.49927,1e+08
"163",29226,61,0.3783,4.8178,12.5283,1.2541,17.6736,0.7731,145.36028,7.389e+10
"164",55241,42,0.4711,4.676,12.8113,1.193,19.845,0.7713,116.98312,6.458e+10
"165",76189,8.4,0.9694,5.0249,15.0122,1.3685,20.458,0.8087,55.894348,1.4342e+11
"166",72784,1,0.994700000000001,5.0871,14.8217,1.3535,19.7522,0.8106,47.00177,1.1784e+11
"167",22380,100,0.02,5.63,11.54,0.94,15.2,0.89,366.23938,104998800000
