"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"111",0,0,1248.599,63.3333333333333,NA,NA,0.312,NA,1,254.816,0,8154.113,38307,0,37.04
"113",1.68,98.716,1909.047,-26.1699507389163,46.61,NA,1.609,207,275,289.78,7.961,27212.282,596650,NA,NA
"114",2.058,20.59,669.998,12.1186018044158,36.65,214,1.691,217,3445,108.045,1.951,5519.64,26694148,0,66.67
"115",1.225,0.512,34.65,16.2017167381974,45.22,NA,0.725,147,89,3.583,0.032,392.668,5742192,0,53.7
"116",2.042,8.344,168.426,13.6267823930564,28.39,40,2.406,63,1147,26.944,0.459,876.056,41713321,2,66.2
"117",0.282,1.574,142.468,-1.36239782016349,275.52,NA,1.045,123,133,21.252,0,5009.611,834393,0,44.44
"119",0.468,7.31,730.039,-10.51701653275,52.53,67,0.546,168,876,19.563,0.48,5505.064,13124577,1,68.52
"120",0.711,29.764,3935.191,21.6229865983658,119.53,224,2.289,236,7132,600.121,4.085,18181.168,16550305,0,41.67
"121",0,0,6.429,-18.4210526315789,50.94,NA,1.575,219,25,0.415,0,329.101,NA,2,22.22
"122",1.124,0.302,12.076,-1.23456790123457,323.35,154,2.829,158,156,12.076,0.151,832.358,4129702,0,2.78
"123",0,0,0.248,-33.3333333333333,142.44,NA,5.665,209,69,0.124,0,50.317,2168769,2,19.44
"124",0.912,0.092,2.882,-39.0769230769231,392.32,179,1.824,211,1135,0.548,0.015,301.854,52542706,0,43.52
"127",0.199,0.553,320.591,80.2904564315353,581.2,208,1.527,236,280,79.871,0.184,3383.173,5090023,0,38.89
"128",1.879,29.374,545.762,-27.0418848167539,43.62,115,1.057,206,1203,91.254,2.546,22288.707,4061216,0,50
"129",1.564,0.715,24.7,27.4468582106984,610.04,205,2.047,225,6759,3.735,0.063,1494.846,120256626,2,66.67
