"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","healthy_diet_cost_percent_cannot_afford","income_classification_world_bank_2017","gdp_growth_from_previous_year_2020_q2","gdp","national_poverty_lines_jolliffe_and_prydz_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","general_hospitals_per_million_population_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","infant_mortality_rate","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","yll_rates_from_anthropogenic_air_pollution_per_100_000"
"41",11.301,7.2850055,214.01,0.8,30.3,NA,3,NA,92551014480.7948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381.9394847,0.73,0.441,32.931,29.5138888888889,265.13,NA,1.917,213,128,7.328,0,589.585,10682055,2,65.28,30.43176294,477.1378402
"42",28.542,8.2802862,187.14,0.32,21.6,0.05130247,4,-11.9,27790155428.9052,NA,NA,NA,6.016327191,9.859631777,70.76774244,NA,NA,NA,NA,937.77203,251.0092208,0,0,1116.567,23.4848484848485,50.94,NA,0.655,212,25,206.645,0,4357.808,1160985,2,40.74,40.34334764,736.223176
"43",3.394,6.2299002,353.13,16.71,9.7,95.51018,1,NA,81846381646.0538,1.4,15,75.1,NA,NA,NA,NA,NA,NA,NA,12.715207,5794.176295,1.538,0.324,1.396,-35.5670103092783,631.11,165,2.717,201,304,0.19,0,124.942,21868430,1,37.96,40.271989,1180.506509
"44",122.406,5.3713457,137.43,0.44,17,0.1710614,4,-8.5,268317624888.571,26.44,NA,NA,2.36310731,8.979714929,85.26314262,NA,NA,0.47,NA,697.55823,322.1204886,0.728,6.043,998.584,76.7726161369193,162.77,218,1.682,232,709,128.621,0.173,7278.232,5660749,0,38.89,68.09815951,1338.119598
"45",61.741,8.6408121,305.33,19.55,18.3,66.70957,2,NA,2913438472.5855,NA,38.3,29.3,NA,NA,NA,NA,NA,NA,NA,29.903355,2491.48713,0,0,45.546,-36.6197183098591,125.8,NA,1.1,204,61,3.036,0,5611.325,439594,0,54.63,10.8045977,349.7747748
"46",205.201,8.6348075,272.57,2.52,34.1,18.58065,3,NA,165255139274.739,6.66,12.5,8.8,0.12714161,4.905058752,91.57457995,NA,NA,NA,NA,381.37183,2406.219552,0.626,3.964,279.778,2.36087689713322,770.43,214,1.781,220,2226,15.21,0.092,11523.701,8843851,0,63.89,16.45330535,197.093465
"47",713.482,7.4656134,141.95,0.89,24.7,17.05914,3,NA,175524677190,4.68,21.5,3.5,0.895799755,5.392728845,86.18514637,NA,NA,NA,NA,428.47943,1315.719531,3.314,20.008,514.48,52.7086137281292,568,212,7.714,224,12588,57.473,0.85,9249.643,13674280,2,60.19,98.7425546,476.4680081
"48",60.801,15.9915285,436.74,1.27,41.1,75.18362,2,NA,1221832614740.78,NA,52.8,3.6,0.309066032,0.588238907,96.04877244,NA,NA,NA,NA,306.79916,1592.650397,9.091,1.476,11.453,27.6688453159041,368.62,206,5.822,233,6222,1.661,0.107,1044.39,88807929,2,43.52,17.15816574,609.1521986
"49",148.315,9.3025743,179.53,1.83,28.9,41.0972,2,NA,54756344105.1682,5.42,NA,NA,0.827741254,11.38611622,82.106565,NA,NA,NA,NA,161.16724,1083.908987,3.139,9.713,146.465,-36.4548494983278,152.84,125,2.922,185,962,0,1.388,5076.161,4734359,0,32.41,53.83116883,705.8593112
"50",59.16,9.4867882,238.66,9.17,12.6,NA,3,NA,22750613272.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.37732,3460.540601,0,0,6.415,12.5,4.27,130,1.633,186,83,0,0,3622.99,875665,NA,NA,35.90844063,1265.680473
"51",55.03,7.7077688,326.4,0.41,21.8,0.7833411,4,NA,35409424255.0757,11.07,NA,NA,5.720150799,13.48992364,61.8998173,15.94,2.28,0.53,15.18,429.6655,215.1727847,0.862,3.769,254.798,54.337899543379,74.86,NA,1.635,228,73,27.892,0,3365.902,1278576,0,23.15,97.3943662,2064.280274
"52",12.569,5.7992061,360.35,23.59,6.9,87.36121,1,NA,195740327715.654,1.8,25.9,87.3,0.14044208,2.54309192,97.06544075,NA,NA,NA,NA,24.804361,4211.644212,1.337,1.218,32.428,-21.8776194467728,114.53,113,1.534,162,1445,4.445,0.07,819.546,27964449,0,43.52,21.4936408,569.0666558
"53",2.231,15.946039,482.67,3.64,35.3,28.74499,3,NA,NA,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.953873,1864.966294,0,0,0,-100,3,NA,NA,NA,2,0,0,36.812,812748,2,86.11,6.230529595,71.30044843
"54",63.891,6.4035424,179.76,0.22,20.6,0.09872849,4,-5.2,214535726086.788,26.06,NA,NA,1.680263603,7.991680632,83.40066361,23.6,NA,0.39,30.5,794.92712,182.3905576,0.181,1.444,237.153,-2.66666666666666,735.08,189,2.335,229,354,34.833,0,2736.649,5348022,1,38.43,96.75648703,1215.518808
"55",544.493,7.4588522,109.08,0.3,21.1,0.0396873,4,-19,2581673898818.73,24.69,NA,NA,9.758586958,33.29384552,67.9628897,28.65,10.17,0.84,20.4,308.73276,313.2303763,1.319,39.955,4105.034,53.7530196875018,81.44,232,2.965,241,35541,511.953,8.012,18364.187,65757955,0,60.65,72.48142645,1281.663033
"56",24.262,10.0069996,308.36,11.49,20.3,32.0472,3,NA,36693263561.4481,3.63,15.4,16.5,2.645818692,25.85800036,79.14494466,NA,NA,NA,NA,124.56293,3404.89869,0,0,23.812,120.833333333333,111.25,NA,0.604,189,54,0,0,4015.315,808743,1,67.59,48.35924007,969.3913043
"57",49.241,9.4400826,320.01,22.42,14.8,73.06253,1,NA,3939021788.1669,2.45,28.9,60.4,2.818174006,4.782896295,87.22423468,NA,NA,NA,NA,23.163185,3450.537925,3.226,0.414,4.138,-47.3684210526316,246.41,75,3.247,97,119,0,0,1516.553,1164801,1,24.07,11.60391955,414.8669011
"58",63.422,13.278765,490.35,0.84,23.8,NA,2,NA,58984799875.9676,1.89,23.2,0.8,3.634566646,9.573974821,77.59259553,NA,NA,NA,NA,411.42606,943.1186411,2.521,37.852,3509.748,99.5581527936146,9.04,11,0.747,194,253,433.924,3.76,8487.469,3207857,0,64.81,35.21671827,1108.175
"59",121.539,6.0163501,186.93,0.24,20.4,0.2406784,4,-11.7,3885961291103.28,26.39,NA,NA,4.291943979,12.87886921,83.00843987,19.26,11.74,1.28,9.5,671.1239,325.4044188,0.991,6.039,996.336,80.7761439677762,139.19,222,2.193,241,10183,178.602,1.015,5540.906,81033118,0,59.26,93.14442929,2441.070004
"60",10.17,6.4065812,362.74,23.06,16.6,60.90227,2,NA,118873890039.027,2.23,24.3,33.7,2.763845301,3.492985667,88.1140543,NA,NA,NA,NA,90.020622,3779.929326,1.347,0.193,10.105,-6.26865671641791,327.51,129,0.661,215,316,0,0,1537.511,4109840,0,42.59,29.56331524,940.0548274
"61",56.893,7.2485658,215.53,0.34,25.4,2.895735,4,NA,250035842877.97,12.85,NA,NA,1.679683227,3.587050176,84.70523902,16.18,0.46,0.74,11.62,781.69025,352.2865839,2.551,12.568,602.798,84.3062481666178,41.47,16,1.811,229,593,120.502,1.151,3142.265,10712674,2,48.61,46.47921612,1122.391602
"62",204.571,8.933383,165.83,2.16,26.4,NA,2,NA,127549979636.142,5.51,NA,NA,0.842762166,7.285190797,86.70960649,NA,NA,NA,NA,247.54504,2194.79736,3.51,14.233,187.1,-12.6855952070852,135.05,152,3.472,201,3665,37.788,0.781,5892.697,10385302,2,52.78,61.23502304,666.0160721
"63",5.406,6.7504811,382.26,28.13,11.5,90.28445,1,NA,19045321800.7726,2.53,34,75.1,3.588067094,14.05135618,86.72317424,NA,NA,NA,NA,31.166372,6132.247871,0.308,0.076,21.397,-30.4455445544554,146.6,NA,0.601,206,71,11.422,0,899.961,2430398,0,62.04,11.14393566,431.8581623
"64",20.833,7.3624409,495.16,33.15,13.7,92.62132,1,NA,2752461977.9592,2.01,32.4,77.5,NA,NA,NA,NA,NA,NA,NA,37.274281,5215.989147,0,0.508,0,-100,84.21,NA,1.706,180,41,0,0,1221.038,368269,NA,NA,17.43805517,718.8720174
"65",151.292,9.0633936,495.73,1.54,27.1,39.30348,3,NA,NA,NA,18.5,3.2,NA,NA,NA,NA,NA,NA,NA,136.16254,2003.709588,1.684,16.528,336.911,14.7186147186147,122.68,NA,2.93,86,119,44.498,0,5162.995,643246,1,60.19,17.9138322,329.0743155
"66",20.346,8.5517711,544.45,8.02,26.9,82.16744,1,NA,18653678820.608,2.15,19.7,49.4,1.717215017,20.39307286,84.26116016,NA,NA,NA,NA,43.579815,4916.711501,1.429,0.175,4.385,-43.8202247191011,481.39,109,2.57,170,232,0,0,791.579,2956253,1,53.7,20,457.7163664
"67",266.442,8.4891994,315.58,2.61,26.9,48.85315,2,NA,45382744883.5568,6.43,31.9,15.8,0.262917427,5.889666745,89.09822901,NA,NA,NA,NA,173.59322,1091.73737,1.283,11.207,443.329,-18.3828996282528,248.4,185,2.789,210,2639,66.333,0.606,9553.432,7401645,2,76.85,48.95833333,353.993808
