"","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","general_hospitals_per_million_population_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"152",NA,NA,NA,NA,NA,NA,NA,822.86584
"153",2.633111366,5.060910814,79.64929272,NA,NA,NA,NA,307.94397
"154",3.460505912,5.890945262,86.79386391,17.48,0,0.05,11.57,168.79961
"155",1.631230651,8.528302665,80.86251597,NA,NA,NA,NA,56.105515
"156",4.289513483,15.26527319,49.92415276,NA,NA,NA,NA,224.43942
"157",2.452531891,4.379337596,85.20114693,NA,NA,NA,NA,431.54056
"158",3.550782864,8.731762141,85.65273244,11.39,NA,0.38,NA,613.17255
"159",6.065628933,11.08898779,84.06384961,13.75,9.15,0.21,4.25,1056.9528
"160",2.356830526,10.75892578,74.8942538,NA,NA,NA,NA,282.98938
"161",0.481913574,3.322893256,95.39644889,NA,NA,NA,NA,163.58907
"162",0.149682439,4.056766995,93.54830111,NA,NA,NA,NA,265.49927
"163",1.396909176,8.115222817,73.29346956,NA,NA,NA,NA,145.36028
"164",1.832942182,3.062775585,81.48479282,NA,NA,NA,NA,116.98312
"165",2.340405547,10.27586541,79.19620189,NA,NA,NA,NA,55.894348
"166",0.568950086,3.765832379,91.64147991,NA,NA,NA,NA,47.00177
"167",2.981318636,6.603516208,76.39963792,14.72,0.28,0.94,15.2,366.23938
