"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_healthy_diet_2017_usd_per_day","healthy_diet_cost_percent_cannot_afford","crude_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","liver_disease_ihme_2017","hepatitis_ihme_2017","prevalence_of_obesity_male_who_2019"
"180","Tuvalu",468.83967,3.49287515079,59.24667298,23.8471629,503.0012,30.6845,4.267,47
"181","Uganda",2.252,3.000061375,81.69172,2.9922044,306.9,30.96,4.33,1.8
"182","Ukraine",150.685,3.58381223612,59.7059443,9.7013798,593.07,28.92,0.31,22
"183","United Arab Emirates",48.734,3.60880540321,63.289492,8.4996671,339.84,11.37,0.61,27.5
"184","United Kingdom",668.253,1.887692082,0.4246,6.9210203,145.01,10.64,0.07,26.9
"185","United States",684.958,2.974152331,1.499683,8.346949,176.43,14.14,0.25,35.5
"186","Uruguay",15.545,2.961332191,1.307074,11.9341041,185.95,11.87,0.19,24.9
"187","Uzbekistan",16.642,3.56001508167,63.65633503,9.0691813,696.86,48.17,0.91,13.8
"188","Vanuatu",300.15571,3.51876690007,62.1378536,13.2630981,685.22,23.15,1.78,20.2
"189","Venezuela",27.43,3.63154675489,65.7381137,8.4720032,231,15.6,0.66,22.4
"190","Vietnam",0.36,4.306775634,32.01523,5.0445686,277.86,23.98,1.02,1.6
"191","Yemen",20.117,3.63576478614,68.8120968,7.051236,540.3,17.35,0.89,12
"192","Zambia",18.93,3.306079267,84.97017,4.3618839,393.06,47.66,7.25,3.6
"193","Zimbabwe",16.282,3.967124844,82.59679,5.2168611,305.49,17.54,0.9,4.7
