"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"95","Liberia",16.213,0.970414826,2.982044337,5.066444218,127.3360987,391.2985269,664.809753,26.97557,87.50218,97.57058,1268452.806,4114552.009,4587991.133,760436,3739185
"96","Libya",118.173,0.440995618,1.903125749,2.905280516,4.616332218,28.80269213,41.45008121,0.1547775,0.4831344,0.4563593,25264.34247,8217.558146,490080.9983,6022967,211988
"97","Liechtenstein",26.221,0.677560681,2.557932049,3.481056905,12.42962964,34.81939065,48.28606045,0.002042557,3.521767,8.5967,469.878016,18573.29953,32087.55585,2715339,8938158
"98","Lithuania",51.795,0.512512295,1.999557172,3.215128148,4.492018174,17.52552523,28.1796441,0.8064244,1.322372,2.856601,22808.93192,37402.00932,80796.18838,2684137,220773
"99","Luxembourg",234.833,0.334489337,2.038379917,2.491222593,4.005149997,24.40740677,29.82971067,0.1291701,0.3475719,0.4126038,770.2878075,2072.696366,2460.504997,555934,13670
"100","Madagascar",8.812,1.07819951,2.588895697,3.45983533,58.73564044,141.031827,188.4768469,70.25125,93.5762,96.73974,17963623.98,23927939.65,24736873.91,2908091,21325997
"101","Malawi",9.566,0.28486552,1.615605276,2.703610821,21.90721089,124.2460146,207.9176606,1.302718,79.03726,92.84431,230193.6577,13966089.34,16405830.97,7205179,10368428
"102","Malaysia",7.353,0.908167921,2.383309207,3.962462647,10.43814427,27.3928695,45.54307174,0,0.3087978,2.754231,0,96051.64215,856704.3237,29494229,1228926
"103","Maldives",68.45,0.422614866,2.68616602,3.638542468,14.46101393,91.9150918,124.5034605,0,0.5116307,2.729918,0,2539.745027,13551.36755,400571,8592
"104","Mali",6.716,0.599600045,1.98490498,3.25869826,23.27170321,77.03821906,126.4767397,4.556961,70.88705,90.62164,843602.5747,13122889.99,16776235.05,4314573,13153332
"105","Malta",124.564,0.763473885,2.727949045,3.932199898,11.18872343,39.97814199,57.62645976,0.1004015,0.2212111,0.3113678,469.878016,1035.265736,1457.19819,431874,0
"106","Marshall Islands",16.642,0.848623732,1.857224191,3.607720503,10.98752775,34.25890599,57.62645976,0.752416,22.60959,60.1921,0,71324.32286,379720.2601,40752,12242
"107","Mauritania",35.056,0.87682579,2.813919311,4.429886868,26.33259037,84.50684894,133.0371411,1.558018,38.10409,68.03631,66723.27378,1631835.851,2913705.323,1672936,2509405
"108","Mauritius",7.863,0.813268366,2.518435227,3.719799844,7.803701639,24.16559888,35.69327096,0.008474872,3.255958,12.04238,107.174333,41175.26814,152289.503,1175485,87120
"109","Mexico",696.596,0.661079505,2.551728019,3.266979428,8.387502822,32.37526772,41.45008121,0.3591183,10.29462,17.93763,448098.2047,12845351.35,22382094.7,107259089,18631860
"110","Moldova",423.901,0.801924017,1.683741188,2.878004293,11.57654974,24.30643451,41.54677892,0,0.1976474,4.655106,0,5445.498153,128255.5254,2715339,838769
"111","Monaco",25.482,0.677560681,2.518435227,2.574301349,10.6897202,21.31876952,33.45254083,0.5017389,1.354531,2.472911,1844.902587,512501.5262,660723.2733,38307,0
"112","Mongolia",20.833,0.74255342,2.25840429,4.610406534,16.00626804,48.68151357,99.38059775,0.005172975,6.585204,43.16624,161.0750092,205048.6993,1344101.316,1777196,1199681
"113","Montenegro",437.855,0.560815752,2.336085919,3.763333674,5.117920388,21.31876952,34.34361834,1.260342,6.163432,14.87213,7844.028316,38359.53664,92560.12164,596650,25509
"114","Morocco",93.334,0.607821254,1.911529014,2.889392766,14.38297969,45.23284241,68.37220189,0.02480398,3.521767,13.70442,8825.577048,1253090.27,4876209.971,26694148,8109174
"115","Mozambique",2.848,0.382520329,1.969263689,3.488296239,24.38008097,125.511782,222.3279085,8.464884,78.01917,90.62317,2425105.21,22351717.47,25962638.32,5742192,22268499
"116","Myanmar",21.081,0.909689542,2.5998543,3.665605709,25.383855,72.54598582,102.2845702,0.166441,24.74539,51.92937,88850.50164,13209727.86,27721238,41713321,10690348
"117","Namibia",52.343,1.008157292,1.83890403,3.187241981,30.32594162,55.31527343,95.87404169,9.829656,25.26397,45.98487,236167.6099,606992.9011,1104833.866,834393,1591168
"118","Nauru",942.309,0.303741478,2.521965051,2.389893956,4.759807879,28.80645084,35.31176681,0,0.2448614,0.01792546,0,435951.7065,1104833.866,8184,4291
"119","Nepal",30.065,0.986364173,2.564141513,3.836645519,25.25250389,65.64613288,98.22427517,1.988262,44.20274,72.0897,549299.6082,12211945.79,19916310.81,13124577,15531705
"120","Netherlands",416.227,0.300922706,1.794010588,2.768451443,4.317916748,25.74211987,39.72429671,0.01160897,0.2121892,0.3128131,1988.767013,36350.75993,53588.93809,16550305,389618
"121","New Zealand",5.184,0.694181218,1.835305955,3.219106537,9.670721036,25.74211987,46.88289067,0.001276778,0.2406784,0,25264.34247,243484.553,379720.2601,13277013,11086033
"122","Nicaragua",23.549,1.43555517,2.550074601,3.51918096,42.05064417,74.69742849,103.0847364,3.431858,14.81904,27.84136,219119.1571,946174.2164,1777630.466,4129702,1952333
"123","Niger",2.85,0.608233806,1.657867923,3.607580503,86.72748077,236.3938125,514.4014775,5.401048,58.42961,91.94135,1166759.882,12622240.14,19861604.39,2168769,17728196
