"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019","total_confirmed_deaths_due_to_covid_19_per_million_people.y","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"109","Mauritius",7.863,12.8618866,13.0882746,14.6107078,2.01,0.67,0.479762197,0.597681675,1.659531028,3.22630474,15.87,44.47,271.8,66.42,67.1,42.06,19.69,222.12,9.67,0.45,0.91,93,3.03,10.8,5.6,15.7,7.863,0.813268366,2.518435227,3.719799844,67.94221937,210.3955912,310.7602209,7.803701639,24.16559888,35.69327096,0.008474872,3.255958,12.04238,107.174333,41175.26814,152289.503,1175485,87120,7.863,6.015
"110","Mexico",696.596,10.869791,11.5297297,11.0197769,0.57,0.25,251.8637567,4.202337885,6.997949324,12.40346624,12.5,40.74,158.3,29.57,62.13,36.09,41.18,139.43,21.52,0.52,0.64,92.14,2.61,28.9,24.3,32.8,696.596,0.661079505,2.551728019,3.266979428,55.22802883,213.176944,272.9306122,8.387502822,32.37526772,41.45008121,0.3591183,10.29462,17.93763,448098.2047,12845351.35,22382094.7,107259089,18631860,696.596,5.964
"111","Micronesia (country)",266.617,20.5147725,23.3738716,19.9445514,0.4,0.23,0.15320727,7.046774033,21.72187643,45.46288498,18.3,52.03,582.98,190.78,86.95,104.16,26.31,273.71,29.02,1.31,2.79,151.91,3.08,45.8,40.1,51.5,55.03,0.424691275,2.450969495,2.961332191,NA,NA,NA,5.952627554,33.80316664,39.12812747,0,0.3433783,0.02182594,0,1835526.224,9023928.994,59631,44802,32.234,5.198
"112","Moldova",423.901,7.7593317,8.4339062,10.1435799,0.36,0.13,0.27774471,0.090563719,0.410185523,0.470212366,28.48,27.08,543.97,121.56,4.48,23.52,66.09,17.44,16.38,0.12,0.75,126.44,3.73,18.9,16.2,21.1,423.901,0.801924017,1.683741188,2.878004293,66.99448763,140.6634242,240.434778,11.57654974,24.30643451,41.54677892,0,0.1976474,4.655106,0,5445.498153,128255.5254,2715339,838769,423.901,5.812
"113","Monaco",25.482,7.6878707,5.3203077,5.8525499,0.46,0.17,2637.781537,4.202337885,15.96266335,34.5043551,21.83,40.72,303.91,56.8,23.47,23.7,13.85,69.08,10.1,0.48,0.9,83.38,3.59,18.9,21.9,15.7,25.482,0.98305743,2.982044337,5.012801356,NA,NA,NA,36.5146798,102.5987234,124.5034605,3.858992,47.66144,45.98487,0,13778.67288,1522864.864,38307,0,25.482,4.094
"114","Mongolia",16.213,12.1686151,11.1872717,9.4505846,0.29,0.1,0.222842164,0.280652723,0.816875746,0.943223168,27.6,29.09,579.93,209.02,20.03,27.18,71.32,32.61,27.09,0.7,1.73,272.06,3.59,20.6,17.5,23.2,169.226,0.74255342,2.25840429,4.610406534,62.03453805,188.6720376,385.1634532,16.00626804,48.68151357,99.38059775,0.005172975,6.585204,43.16624,161.0750092,205048.6993,1344101.316,1777196,1199681,66.19,6.011
"115","Montenegro",437.855,7.5727608,6.6484069,8.4850937,0.43,0.17,0.011582176,0.020101193,0.043423711,0.314935244,47.16,29.87,412.62,174.89,13.84,6.87,5.47,33.47,10.74,0.24,0.26,144.95,4.43,23.3,23.3,23.1,437.855,0.560815752,2.336085919,3.763333674,46.85177542,195.1617309,314.3971323,5.117920388,21.31876952,34.34361834,1.260342,6.163432,14.87213,7844.028316,38359.53664,92560.12164,596650,25509,437.855,5.722
"116","Morocco",93.334,14.0416698,13.3969031,12.340708,0.33,0.14,38.07487182,2.47060228,2.937621319,9.112485177,19.6,47.7,319.37,70.57,37.14,29.16,12.84,91.46,10.17,0.48,2.28,81.03,3.42,26.1,19.4,32.2,93.334,0.607821254,1.911529014,2.889392766,50.77871794,159.6933178,241.386196,14.38297969,45.23284241,68.37220189,0.02480398,3.521767,13.70442,8825.577048,1253090.27,4876209.971,26694148,8109174,93.334,4.803
"117","Mozambique",2.848,6.5621686,6.1720894,4.6596229,0.45,0.12,821.5822232,202.4946602,298.7938379,391.5701356,1.7,43.38,338.52,120.8,13.58,37.98,16.02,65.91,40.95,4.96,18.32,138.5,2.25,7.2,3.3,10.5,2.848,0.382520329,1.969263689,3.488296239,31.95658557,164.5165989,291.419903,24.38008097,125.511782,222.3279085,8.464884,78.01917,90.62317,2425105.21,22351717.47,25962638.32,5742192,22268499,2.848,4.932
"118","Myanmar",21.081,6.9114952,7.8750752,7.208295,1.26,0.29,986.7222685,49.58457802,96.57651201,152.2666682,25.5,83.84,285.17,130.82,29.02,101.35,56.44,82.14,23.05,1.24,3.28,175.79,4.48,5.8,4,7.3,21.081,0.909689542,2.5998543,3.665605709,75.99745545,217.1975188,306.2327242,25.383855,72.54598582,102.2845702,0.166441,24.74539,51.92937,88850.50164,13209727.86,27721238,41713321,10690348,21.081,4.431
"119","Namibia",52.343,7.3191306,7.5376131,5.7685644,0.29,0.12,69.16455963,98.11458318,169.0845199,245.8059488,5.9,37.9,330.6,110.02,21.52,72.09,12.69,105.85,25.72,0.64,5.68,86.87,2.34,17.2,7.5,25.4,52.343,1.008157292,1.83890403,3.187241981,84.22366683,153.6260677,266.2691713,30.32594162,55.31527343,95.87404169,9.829656,25.26397,45.98487,236167.6099,606992.9011,1104833.866,834393,1591168,52.343,4.451
"120","Nauru",6.716,30.0757634,28.4019317,28.0206037,0.4,0.27,219.2836653,44.15278525,159.4154425,245.8059488,44,56.87,685.22,239.88,61.85,143.2,16.41,273.71,34.95,0.86,1.93,158.94,4.43,61,58.7,63.3,24.359,0.9553951,2.569921043,3.481056905,NA,NA,NA,17.28115243,59.15685746,104.2666766,0,24.74539,52.39908,16591.73589,27853.37113,311427.0039,8184,4291,48.734,4.225
"121","Nepal",30.065,11.6872047,9.4862663,7.928876,1.06,0.19,1831.196387,178.3353156,333.8701546,555.516823,11,31.41,330.7,96.03,26.46,140.68,22.46,80.96,23.47,3.77,4.62,90.06,2.56,4.1,2.7,5.4,30.065,0.986364173,2.564141513,3.836645519,82.40302194,214.2139944,320.5217644,25.25250389,65.64613288,98.22427517,1.988262,44.20274,72.0897,549299.6082,12211945.79,19916310.81,13124577,15531705,30.065,5.449
"122","Netherlands",416.227,5.1717566,3.5314209,5.2926449,0.24,0.09,8.606314163,0.401740147,0.234081944,0.354059263,49.33,40.22,127.71,34.5,7.93,30.38,5.82,26.32,11.69,0.07,0.41,167.32,4.52,20.4,20.8,20,416.227,0.300922706,1.794010588,2.768451443,25.13974151,149.8755713,231.2824932,4.317916748,25.74211987,39.72429671,0.01160897,0.2121892,0.3128131,1988.767013,36350.75993,53588.93809,16550305,389618,416.227,7.504
"123","New Zealand",5.184,7.9042936,5.9634449,7.6297578,0.23,0.11,3.137888936,0.659852275,0.454049621,2.086832347,29.74,35.55,155.77,35.53,10.75,30.96,4.05,26.13,9.87,0.05,0.34,147.73,3.63,30.8,30.1,31.4,5.184,1.020366482,3.230905193,4.779471981,NA,NA,NA,82.33635294,236.3938125,263.5025157,70.25125,87.43453,97.167,9739571.017,5719144.728,4873752.881,153205,3991845,5.184,7.257
"124","Nicaragua",23.549,9.2258635,10.9731792,8.9639055,0.43,0.17,10.33266094,4.478730167,11.40802796,16.45076358,5.52,40.19,180.52,35.9,58.52,27.03,28.36,99.69,12.27,0.37,1.44,80.85,2.27,23.7,17.9,29,23.549,1.43555517,2.550074601,3.51918096,119.9294211,213.0388138,294.0000802,42.05064417,74.69742849,103.0847364,3.431858,14.81904,27.84136,219119.1571,946174.2164,1777630.466,4129702,1952333,23.549,6.113
"125","Niger",2.85,5.9408535,5.3203077,3.7354109,0.49,0.11,684.8434672,240.2585023,375.278078,477.171564,4.6,31.19,334.07,110,19.47,50.74,24.98,70.73,38.06,3.75,33.31,116.15,1.81,5.5,2.5,8.7,2.85,0.608233806,1.657867923,3.607580503,50.8131835,138.501915,301.3851715,86.72748077,236.3938125,514.4014775,5.401048,58.42961,91.94135,1166759.882,12622240.14,19861604.39,2168769,17728196,2.85,5.004
"126","Nigeria",5.506,6.299279,6.0017798,4.2889467,0.31,0.09,6623.459482,191.762036,234.4670057,375.5972872,1.1,28.37,197.62,56.18,6.72,26.06,27.41,41.12,20.25,3.05,18.9,107.78,2.04,8.9,4.6,13.1,5.506,1.3811754,2.114463238,3.388323049,115.386416,176.646887,283.0679239,23.35485848,35.75432177,57.29453717,44.86684,69.88703,89.12486,85638823.05,133395688.1,170115571.2,52542706,128639038,5.506,5.503
"127","North Korea",600.693,5.7529754,5.9210002,6.6706002,0.65,0.13,7.246454118,0.414077254,2.300015906,2.407773015,43,38.55,411.09,206.41,15.08,148.93,13.85,33.15,14.67,1.25,0.96,188.66,2.14,6.8,6.1,7.3,1237.551,0.442280512,1.539730769,3.041276348,NA,NA,NA,5.952627554,24.34573494,38.06758693,0.996795,0.3259973,0.05130247,69747.53413,122636.2866,1104833.866,20674768,4569149,19.231,5.054
"128","North Macedonia",182.198,9.3025743,8.7666628,9.5992022,0.36,0.13,42.48574207,2.314998101,0.249866059,15.64311338,40.27,43.39,271.74,72.66,17.09,31.1,10.96,45.09,18.53,0.45,2.69,144.09,4.86,20.4,18.5,22.2,177.026,0.741783281,3.019520007,3.690535055,61.97019895,252.2573105,308.3153764,9.705311515,39.50666324,48.28606045,2.337817,13.93327,18.23828,48673.25643,290090.1241,379720.2601,808743,65086,59.16,5.054
"129","Norway",51.649,6.2257413,3.8782065,5.5054435,0.24,0.1,7.889693542,1.311901805,0.764266793,1.149115454,31.95,45.16,137.75,30.36,6.14,28.69,4.55,20.58,10.24,0.07,0.3,138.79,3.65,23.1,23.6,22.5,51.649,1.084304198,2.753281206,3.458190307,90.58514604,230.0151384,288.9047876,14.52968225,36.89398339,46.33976923,0.222648,0.3605376,0.4563593,11749.06371,19025.45378,24081.93423,5090023,98584,51.649,7.29
"130","Oman",235.576,14.3323602,12.3150791,8.2816983,0.68,0.27,0.946419589,1.407956183,0.597257112,6.675360119,8.8,47.51,314.92,48.99,21.32,14.53,9.8,103.46,4.74,1.16,0.9,69.23,3.78,27,22.9,33.7,235.576,0.870882295,1.94525909,3.267034795,NA,NA,NA,17.97673597,44.37649658,77.30379553,0.05766727,1.57308,5.710876,6295.611819,35999.165,490080.9983,4061216,138594,235.576,6.853
"131","Pakistan",30.599,12.5771361,12.1315271,9.6872886,1.09,0.32,4499.728056,99.7710881,159.4154425,305.8865555,18.6,26.69,479.9,136.48,29.37,83.94,26.91,93.89,27.79,3.76,8.52,118.3,2.33,8.6,6,11.3,30.599,0.767463234,1.94525909,3.827949612,64.11555841,162.5112022,319.7952892,20.90436108,52.9854677,104.2666766,0.04515375,24.10479,75.2726,93873.14985,50113059.58,156489240.9,120256626,69123887,30.599,4.443
"132","Palau",6.716,24.7751215,21.5507927,21.1574305,0.38,0.25,952.7827003,1.475934844,15.96266335,40.94772382,28.12,56.87,155.11,31.99,19.62,31.1,10.96,126.09,10.94,1.24,2.56,133.38,4.41,55.3,51.8,58.8,7.863,0.505090038,1.857224191,3.840847424,NA,NA,NA,7.843800554,43.74850452,82.11626476,0.5017389,0.2406784,19.90089,0,37402.00932,333920.7867,21288,0,321.251,5.488
"133","Panama",614.17,8.9030156,9.7735384,9.5552917,0.45,0.17,7.427532739,3.324486531,7.123513324,12.46105317,12.62,37.95,154.03,44.05,27.31,23.09,13.56,67.45,12.12,0.23,1.38,100.48,2.59,22.7,17.8,27.6,614.17,1.127964567,3.223740157,4.876472158,94.23262882,269.3183089,407.3911578,13.78461908,39.39665427,59.59434641,1.85989,11.42699,19.78807,76381.42315,469280.3115,812650.7202,2976937,992312,614.17,6.086
"134","Papua New Guinea",0.782,15.357027,14.3210734,11.6053098,0.81,0.31,165.6399375,139.86466,329.8442733,425.0889797,2.1,40.26,591.54,208.12,59.11,343.05,44.8,183.05,37.4,2.21,6.95,121.58,1.91,21.3,16.6,25.8,0.782,0.619501806,2.25840429,3.523153305,NA,NA,NA,21.81011213,73.73700685,147.709703,1.298749,10.30363,22.43048,48992.94018,1390030.646,4876209.971,1496847,6422978,0.782,6.229
"135","Paraguay",186.049,8.0133105,8.2721305,7.1140043,0.53,0.19,13.59930623,5.124776849,7.160508515,15.64311338,19.7,48.56,271.74,82.11,38.59,30.83,15.03,109.31,22.5,0.27,1.96,134.45,2.54,20.3,17.1,23.4,186.049,0.949812696,3.886502873,3.603425935,79.34943156,324.6869568,301.0380898,16.1907157,66.25018108,61.42478945,0.1282366,17.94588,15.44793,8806.086829,1232354.706,1060818.931,5882259,756860,186.049,5.653
"136","Peru",1038.977,7.2325752,8.0752417,7.4633108,0.37,0.12,92.34946292,5.336122467,12.46989289,17.72875183,11.6,28.63,108.51,24.82,24.06,31.1,21.3,48.66,15.92,0.29,1.05,106.09,2.73,19.7,15.2,24.2,1038.977,0.91506283,2.239451954,3.591001371,76.44635171,187.0887179,300.0001146,20.64388293,50.52219634,81.01324794,1.298749,10.30363,22.43048,408382.4928,3239904.019,7053106.75,23909023,7467648,1038.977,5.999
"137","Philippines",64.363,7.0508844,7.272278,6.129182,1.21,0.27,209.3515731,7.15699953,8.503215697,31.9157653,46.6,47.6,427.92,130.68,50.55,68.78,19.18,111.57,26.94,1.21,2.83,119.22,2.92,6.4,5.2,7.5,64.363,1.157734234,2.819760223,4.07534677,96.71965196,235.5689409,340.4633893,17.63895856,42.96118423,62.09099695,3.313564,42.61489,64.24689,3484983.414,44819470.76,67570551.23,75168389,26547970,64.363,5.08
"138","Poland",121.94,8.394709,6.9763247,9.2658867,0.25,0.1,5.607770888,0.136956892,0.249866059,1.435316582,68.73,29.41,283.08,56.8,7.6,18.6,15.09,22.3,15.08,0.09,0.35,169.81,4.48,23.1,23.7,22.2,121.94,0.397012866,1.961194354,3.097216182,33.16732385,163.842469,258.748219,5.196970716,25.67239122,40.5431238,0,0.02204507,0.449238,0,8371.576974,170597.3488,36922792,1063620,121.94,6.139
"139","Portugal",232.526,8.4291863,5.2866095,7.7590325,0.44,0.16,4.287564851,0.263138121,0.972816656,0.85287896,28.87,41.34,155.11,58.28,12.82,26.91,12.6,39.07,11.78,0.18,0.34,140.76,3.32,20.8,20.3,21.2,232.526,0.417757991,1.863018265,2.688893108,34.90041695,155.6406236,224.6360157,4.616332218,20.58682641,29.7129538,0.1087342,0.465337,0.9322764,11199.9488,47931.10701,96027.26603,10327002,31074,232.526,5.768
"140","Qatar",79.832,18.9393887,18.7735012,13.1857956,0.61,0.29,0.039604142,0.269181861,0.21128891,1.17539483,18.5,48.45,187.72,24.99,25.77,10.5,12.09,108.6,7.22,0.37,0.43,81.64,4.24,35.1,32.5,43.1,79.832,0.652794041,1.863018265,2.675549201,NA,NA,NA,9.986639878,17.52552523,34.34361834,0,0.01792546,1.307074,29483.48216,43087.4322,5473.474885,2431908,49631,79.832,6.375
"141","Romania",341.725,7.2931016,6.3776748,8.3916512,0.35,0.14,2.216485464,0.093683425,0.562494546,0.875654634,47.02,28.99,430.29,140.81,8.67,21.46,33.93,17.24,12.78,0.45,0.42,150.5,4.41,22.5,23.4,21.6,341.725,0.508367756,2.271961773,3.306929619,42.47015507,189.8046594,276.2681386,4.759807879,21.27220189,30.96252558,0.7519175,6.444023,11.02077,147281.7726,1262222.425,2158692.332,15674045,4141436,341.725,6.13
"142","Russia",182.198,7.4159878,7.9515761,10.2981062,0.37,0.15,8.243218999,0.064354799,0.320578824,0.414649613,56.75,27.98,562.81,168.05,5.21,17.96,25.92,16.04,20.19,0.15,0.96,147.5,3.98,23.1,18.1,26.9,182.198,0.621210643,2.270001586,3.398629889,51.89729684,189.6409011,283.9289799,6.770769513,24.7414588,37.04273244,0.001276778,0.4716394,2.541048,1844.902587,681503.5576,3671731.522,104037940,40058930,182.198,5.495
"143","Rwanda",2.702,4.2869468,4.5413895,2.9881491,0.91,0.19,345.4228302,158.9349501,222.2326546,286.709161,1.7,41.11,268.13,82.99,10.84,47.21,26.66,60.85,41.92,4.55,19.02,133.87,2.28,5.8,1.9,9.3,2.702,0.762956708,1.310426108,3.607720503,63.73907337,109.4758653,301.3968674,52.86538101,90.79961513,249.9794771,23.69054,56.56786,91.14971,2838348.672,6777359.669,10920589.33,7163805,4465748,2.702,3.268
"144","Saint Kitts and Nevis",30.599,12.6933192,16.3036417,16.9508768,0.58,0.25,42.48574207,0.261418361,1.927553882,3.22630474,10.98,31.09,479.9,136.11,29.4,23.73,32.19,95.57,16.38,0.12,0.32,134.5,3.11,22.9,15.3,30.1,396.45,0.68144879,1.857224191,3.439233172,NA,NA,NA,13.88320642,34.53363704,57.29453717,0.1288557,10.29462,43.16624,38482.7276,197033.2702,630756.6251,43461,6322,600.693,6.11
"145","Saint Lucia",0.352,13.7422047,15.1406024,15.4551671,0.57,0.23,0.283352436,2.43436171,5.106318381,12.81050005,12.7,32.06,215.09,69.38,26.65,23.7,15.82,97.99,10.7,0.15,1.23,129.55,2.77,19.7,12,27,260.889,1.050054834,2.6511443,3.481056905,87.7238792,221.4823977,290.8151132,59.09355178,149.197478,195.902166,3.748323,12.98524,17.73234,6782.777885,23497.44104,32087.55585,160371,16835,713.482,6.502
"146","Saint Vincent and the Grenadines",169.068,9.3436029,11.8484475,11.666134,0.52,0.22,0.39938264,5.086883564,8.169452647,17.32980982,10.1,31.09,366.32,103.23,34.21,18.55,15.88,154.14,21.14,0.1,1.71,183.09,2.65,23.7,16.6,31,260.889,0.613036548,2.528955099,3.440223518,NA,NA,NA,17.60403343,66.25018108,68.31258044,0.008474872,3.01498,17.94347,236167.6099,3239904.019,2913705.323,82985,26062,174.428,7.508
"147","Samoa",20.833,22.6574192,26.571054,25.1065113,0.18,0.11,0.240711205,3.944089158,4.921924538,32.93547795,16,53.3,389.59,120.01,62.76,60,18.22,180.8,19.64,0.86,1.93,106.54,2.87,47.3,39.9,55,204.571,0.677560681,2.243610657,3.763333674,NA,NA,NA,7.803701639,28.79799626,45.54862871,0.06652946,3.222103,12.04238,69747.53413,32787.82392,19979.73279,177289,16470,27.43,5.173
"148","San Marino",1237.551,6.2257413,5.1369106,5.0856492,0.41,0.11,3.794317521,4.669467218,1.372455271,0.325240684,27.1,39.46,197.62,48.19,9.19,23.09,25.9,17.44,9.59,0.89,0.24,78.6,3.53,20.5,20.3,21.1,1237.551,1.12991063,2.753281206,3.458190307,NA,NA,NA,18.50998834,58.83312227,84.40615377,0,1.499683,2.729918,30770.72312,606992.9011,1457.19819,60426929,10800,1237.551,5.559
"149","Sao Tome and Principe",68.443,8.3453454,7.7847396,5.7104621,0.23,0.07,1.182479901,26.45064956,37.24714506,56.0579394,0.4,28.01,293.65,122.56,43.5,104.05,69.35,81,33.28,1.83,5.23,130.31,1.94,12.4,7.2,16.9,68.443,0.895221716,2.528955099,3.2009921,74.78878163,211.2744444,267.4178864,19.10498482,53.97059513,68.31258044,18.5827,71.84284,81.26451,38482.7276,148778.6189,168289.8611,67857,127696,68.443,6.042
"150","Saudi Arabia",153.071,17.6139625,17.0134147,13.8250458,0.59,0.29,10.38224065,2.314998101,1.372455271,8.419552829,9.6,51.42,301.43,84.77,44.64,22.13,19.1,85.1,6.27,0.97,0.69,90.21,3.92,35.4,30.8,42.3,153.071,0.652093819,2.058050542,3.827949612,NA,NA,NA,8.162351323,31.01629693,47.98745827,0.02453968,2.216301,8.5967,23751.34925,592576.2305,856704.3237,31557144,0,153.071,6.56
"151","Senegal",19.231,7.5161234,7.3062892,5.2602757,0.31,0.09,651.8171428,200.9618256,299.0404337,400.0782989,1.4,36.95,356.79,110.4,26.55,55.25,32.31,90.21,36.77,3.85,25.53,148.91,2.38,8.8,4,12.9,19.231,0.744343569,1.857560211,3.178888156,62.18409098,155.1846459,265.5712745,23.01494333,57.43536287,98.29053922,8.035439,49.44025,77.24802,1239014.954,7623380.515,11911166.52,7129049,7847945,19.231,5.489
"152","Serbia",117.274,7.2703366,6.4741997,8.4988801,0.45,0.17,1.50719623,0.153524584,0.539129749,1.750262313,68.73,29.92,398.67,116.96,14.08,24.53,9.24,38.43,16.61,0.06,0.41,174.37,4.3,21.5,21.1,21.8,117.274,0.613036548,2.721453576,4.336531784,51.21441502,227.3561884,362.283357,9.152198781,40.62936245,64.74132912,2.950878,12.28619,23.87022,207176.9541,862595.9535,1675894.25,6839949,255434,117.274,6.042
"153","Seychelles",20.117,10.3003167,10.4253758,10.5117947,1.23,0.47,0.153337457,3.027441991,5.529079401,18.43311747,22.5,47.22,289.36,56.34,48.93,33.38,22.32,93.95,28.26,1,4.82,162.39,3.11,14,7.6,20.5,204.571,0.633518334,2.166685499,3.840847424,52.92550826,181.009649,320.8728006,12.75066837,43.60834845,77.30379553,0.06652946,1.354531,5.710876,63.76383035,1298.223146,5473.474885,91924,1495,169.068,6.853
"154","Sierra Leone",9.277,7.1035396,6.6353241,4.6419825,0.31,0.09,406.241183,261.8330403,387.4004798,513.8357621,2.4,31.04,386.95,125.83,23.09,54.01,36.69,86.5,40.23,4.91,31.04,138.42,1.97,8.7,3.8,13.3,9.277,1.241975289,2.201196701,2.770219681,103.7573341,183.8927904,231.4302156,57.83079465,102.4955613,128.9912987,40.10301,76.5531,85.57656,3003086.233,5732626.072,6408341.648,962524,6274501,9.277,3.447
"155","Singapore",4.786,9.3643048,6.542572,7.6571868,1.62,0.32,0.525654718,0.154520554,0.094761271,0.447098548,30.49,38.86,111.1,22.84,13.66,11.72,3.59,22.56,5.14,0.09,0.16,111.78,3.03,6.1,5.8,6.3,4.786,0.964181593,2.569921043,4.147675709,NA,NA,NA,15.58050759,54.47217871,104.2666766,0,18.24499,42.00774,60010.99727,11682.7956,13551.36755,5535002,0,4.786,6.378
"156","Slovakia",32.237,8.1699695,6.3083978,8.1008882,0.36,0.13,0.303444641,0.058192301,0.086689243,0.541140991,52.55,30.25,356.91,65.66,9.5,14.18,21.04,24.19,15.67,0.08,0.5,168.04,4.62,20.5,21,19.9,32.237,0.387426943,2.110823834,3.333447784,32.36649482,176.3428433,278.4835241,5.577298781,30.38687786,47.98745827,0.5420523,1.311294,2.348883,29483.48216,71324.32286,127761.1958,5358715,65086,32.237,6.519
"157","Slovenia",92.355,7.2928867,6.9791175,9.8495225,0.35,0.13,0.121865262,0.045131477,0.090293823,0.341850739,48.75,29.73,190.44,41.24,5.36,16.04,16.27,18.47,12.91,0.03,0.23,154.68,4.63,20.2,19.4,21,92.355,0.440995618,2.047126761,3.041276348,36.84173919,171.0214503,254.0748829,6.205535896,28.80645084,42.79577567,0,0,0.01920434,0,0,396.8361772,2044959,18572,92.355,6.462
"158","Solomon Islands",177.026,12.6337645,15.1037991,11.7706089,0.83,0.32,2.426774443,19.70335513,81.30336427,100.0083327,14.8,49.2,666.43,239.88,86.5,143.2,26.4,282.41,38.27,2,3.4,158.94,2.68,22.5,17.9,27.1,931.858,1.020366482,2.883112817,5.497522295,NA,NA,NA,25.8448894,58.83312227,73.58955935,0.7854215,7.921777,25.54418,468369.8264,1247876.042,2625339.275,175070,412412,122.406,6.106
"159","Somalia",6.544,7.4372867,6.2462293,4.5081573,0.77,0.21,445.4531298,211.6770966,308.6447154,402.5554735,3.5,37.27,473.9,153.48,17.59,56.13,40.43,86.18,60.12,6.26,33.84,163.49,1.94,8.3,3.9,12.3,6.544,0.313935579,2.407971577,2.961332191,NA,NA,NA,6.690511856,33.11874072,42.79577567,0,1.311294,2.472911,66723.27378,47931.10701,689809.5975,2915110,9489615,6.544,4.668
"160","South Africa",321.251,9.666581,12.631978,11.7505881,0.29,0.15,1615.847969,77.47605523,102.2760123,157.3815934,24.88,33.38,249.35,76.83,27.55,57.55,11.73,130.7,20.26,0.54,5.62,133.23,2.11,28.3,15.4,39.6,321.251,1.264708811,3.407425561,4.276109309,105.6565422,284.6637896,357.2355313,29.2795996,78.8861873,98.99730862,18.0559,54.05105,61.10259,10291944.43,30809342.27,34828751.87,36527953,18484024,321.251,4.947
"161","South Korea",8.992,9.3042505,6.7262088,8.4375467,1.5,0.23,38.68146316,0.800516322,0.49802644,2.323017191,40.27,53.73,123.61,54.53,9.74,20.25,14.51,36.6,8.72,0.21,0.26,146.57,3,4.7,4.4,4.8,8.992,0.68144879,4.320287496,4.860810844,56.92972348,360.9262737,406.0827773,13.13085791,83.24775401,93.66311521,0,0.9978241,1.228063,0,512501.5262,630756.6251,51014947,0,8.992,5.793
"162","South Sudan",5.003,8.3281758,6.6353241,4.2889467,0.14,0.08,460.8228436,342.9839182,513.8874748,657.0083207,2.4,34.75,326.17,106.68,12.64,44.84,26.75,66.45,48.15,4.32,32.47,126.2,1.69,20.2,15.3,25.3,5.003,0.707986131,2.663409884,5.056987635,NA,NA,NA,13.88320642,159.820176,222.3279085,0.1288557,6.444023,25.60362,0,220318.2031,1844.693527,796103,11086033,5.003,2.817
"163","Spain",754.96,8.5417676,5.6802586,8.2329689,0.29,0.12,23.59704663,0.368017975,0.155576875,0.576094822,45.1,46.26,117.28,26.87,9.39,30.04,9.64,24.84,12,0.18,0.32,129.92,3.96,23.8,24.6,22.8,754.96,0.442280512,1.770827881,2.715095317,36.94908205,147.9388371,226.8250056,6.080570696,24.34573494,37.32773335,0.5017389,0.9513059,1.480493,233776.3898,443244.2031,689809.5975,46401249,46448,754.96,6.502
"164","Sri Lanka",0.887,7.0219834,7.712655,8.4048689,1.57,0.34,66.51201084,5.407416978,15.96266335,29.39045252,9.1,41.92,226.84,61.04,23.41,56.53,21.57,89.52,6.2,0.07,2.56,74.72,3.31,5.2,2.9,7.3,0.887,0.971934199,2.227864363,4.050519973,81.19751039,186.1206652,338.3893043,17.60403343,40.35190729,73.36452306,0.08013956,10.67173,45.437,17185.12725,2288445.781,9743510.28,19938666,1027334,0.887,4.213
"165","Sudan",19.088,8.3090898,9.4724273,7.1762183,0.46,0.12,202.4042067,24.86748244,41.35060708,52.58897408,0.9,43.15,449.28,115.47,37.59,48.64,20.8,79.78,17.03,0.84,3.01,94.4,3.24,18.9,13,25.1,19.088,1.078303515,2.088458248,4.232425264,90.08383584,174.4743733,353.5860705,24.17271361,46.81771173,94.87978326,5.536669,35.98657,81.57917,2259702.644,14687341.32,33295229.71,8906147,28831766,19.088,4.139
