"","Entity","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"222","Northern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Northern Ireland",NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Northern Mariana Islands",NA,9.41,9.41,NA,NA,434.5029341,NA,76.735,57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,57910,53390,0
"225","Norway",2.5,2.87,2.87,2.7,6.1,213.1982104,8.487801406,82.404,5379000,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.43953645,26.26415039,1.5,0,128,88,5465629,7952927,7e-04
"226","Oceania",NA,51.86,51.86,NA,NA,3110.112939,NA,78.71,42128000,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93496553,26.91067749,NA,16,11831,6741,43219954,74915610,0.0055
"227","Oman",11.6,11.28,11.28,7.1,NA,929.9181875,NA,77.861,4975000,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.52521415,26.45759051,5.2,1,751,501,5223376,7267893,7e-04
"228","Organization for Economic Co-operation and Development",NA,NA,NA,5.3,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Pakistan",81.1,58.47,58.47,31,46.2,5066.508545,NA,67.273,216564992,65.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.41747955,24.80713807,45.5,339,286091,209942,225199929,403102827,0.0286
"230","Palau",16.4,NA,NA,NA,1.9,NA,NA,73.701,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.63516593,29.71899666,9,NA,NA,NA,18174,14251,0
"231","Palestine",21.1,14.56,14.56,12.2,14.1,1180.034986,NA,74.053,4981000,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.26592886,30.0009653,11.8,2,1585,899,5222756,12268218,7e-04
"232","Panama",17,18.62,18.62,11.5,12.5,1356.533959,5.1,78.506,4246000,77.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.33225151,27.84507405,9.6,1,949,545,4381583,6439999,6e-04
"233","Papua New Guinea",57.3,57.46,57.46,25.3,11.5,3401.46013,NA,64.501,8776000,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.39883144,26.00865594,24.5,14,9985,5619,9119005,19782704,0.0012
"234","Paraguay",20.5,15.52,15.52,18,16.7,1099.695421,NA,74.254,7045000,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.707868,27.13007968,10.9,2,1600,664,7219641,8733633,9e-04
"235","Peru",16.9,17.16,17.16,13.2,15.3,1221.789271,NA,76.736,32510000,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3662965,27.27829945,8.2,12,9203,5116,33359415,39158180,0.0042
"236","Philippines",28,29.4,29.4,14.4,11.6,2014.11833,4.997056098,71.231,108117000,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.89963784,23.60315367,12.6,66,49489,29690,111046910,146327441,0.0141
"237","Poland",5.2,4.81,4.81,4.7,4.7,366.3242414,9.912034939,78.73,37888000,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.63955019,26.15003733,3.1,2,1323,948,37797000,23032569,0.0048
"238","Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Portugal",3.6,3.94,3.94,2.9,16.3,272.3945502,9.952576517,82.049,10226000,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.27238812,25.30196049,2,0,231,153,10167923,6984955,0.0013
"240","Puerto Rico",6.69,10.68,10.68,NA,NA,778.0515258,7.359566944,80.104,2933000,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.46981257,28.67183508,NA,0,229,162,2828246,1216779,4e-04
"241","Qatar",7.7,7.95,7.95,5.9,11.4,543.0833892,NA,80.227,2832000,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.93386095,30.37723605,3.8,0,167,105,2930524,4162408,4e-04
"242","Reunion",4.28,NA,NA,NA,NA,NA,NA,80.484,889000,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901696,901249,1e-04
"243","Romania",11.1,9.63,9.63,6.8,6.3,707.6400662,12.11507547,76.054,19365000,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3277675,27.02751136,6.3,2,1294,739,19127772,11877961,0.0024
"244","Russia",9.6,8.36,8.36,8,2.2,559.0535331,14.19155127,72.584,145872000,69.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.98863335,26.69187846,5,12,9572,6461,145912022,126142651,0.0185
"245","Rwanda",42,50.68,50.68,23.8,29.3,3419.415576,NA,69.024,12627000,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.28077014,22.75714568,18.7,19,13751,7656,13276517,33412642,0.0017
"246","Saint Barthlemy",NA,NA,NA,NA,NA,NA,NA,82.023,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9909,10139,0
"247","Saint Helena",NA,NA,NA,NA,NA,NA,NA,80.558,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6095,4496,0
"248","Saint Kitts and Nevis",10.5,NA,NA,NA,NA,NA,NA,76.226,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.37610431,30.89159317,6.5,NA,NA,NA,53546,43395,0
"249","Saint Lucia",14.3,15.08,15.08,9,12.6,1314.396246,NA,76.203,183000,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.81370474,30.59957482,9.3,0,28,22,184401,122091,0
"250","Saint Martin (French part)",NA,NA,NA,NA,NA,NA,NA,82.076,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39239,60194,0
"251","Saint Pierre and Miquelon",NA,NA,NA,NA,NA,NA,NA,81.068,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5771,3984,0
"252","Saint Vincent and the Grenadines",18.3,18.93,18.93,11.9,NA,1576.243794,NA,72.534,111000,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.44665194,28.42279274,11.5,0,24,18,111269,74618,0
"253","Samoa",17.5,15.71,15.71,11.4,4.9,901.0197491,NA,73.321,197000,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.62990811,34.33982466,9.5,0,52,33,200144,310106,0
"254","San Marino",2.9,NA,NA,NA,NA,NA,NA,84.972,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,34010,29693,0
"255","Sao Tome and Principe",47.3,34.06,34.06,25.9,18.3,2539.717063,NA,70.385,215000,66.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9792431,25.76122035,17.1,0,123,70,223364,708097,0
"256","Saudi Arabia",14.5,8.23,8.23,8.9,16.2,735.4565519,NA,75.133,34269000,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.13973836,29.50637747,7.9,4,3670,2419,35340680,42231012,0.0045
"257","Scotland",NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Senegal",47.2,53.14,53.14,21.1,46.5,3397.166798,NA,67.941,16296000,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.90378795,24.13324951,20.8,23,16159,9798,17196308,63515357,0.0022
"259","Serbia",6.7,5.61,5.61,7.1,8.1,437.1464594,21.8,76.001,8772000,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.78923098,25.73872813,4.2,0,366,259,8697547,4217425,0.0011
"260","Seychelles",13.6,13.48,13.48,7.7,NA,1067.903983,NA,73.402,98000,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.68074012,28.23789445,8.6,0,16,10,98910,88327,0
"261","Sierra Leone",120.4,117.82,117.82,39.8,47.3,7942.533669,NA,54.696,7813000,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9114498,23.58342185,34.9,30,20114,9056,8141343,16675197,0.001
"262","Singapore",2.7,2.12,2.12,2.6,8.2,129.2178014,3.428703184,83.62,5804000,82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4019799,23.14285847,1,0,80,46,5896684,5733477,7e-04
"263","Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,78.951,42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43421,69222,0
"264","Slovakia",6.7,6.52,6.52,5.2,1.4,477.7632175,NA,77.542,5457000,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.54900625,25.72590086,4.2,0,255,153,5460726,3829211,7e-04
"265","Slovenia",2.7,2.32,2.32,3,2.2,166.0980378,NA,81.324,2079000,80.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.78385887,26.73878467,1.4,0,33,26,2078723,1676264,3e-04
"266","Small island developing states",NA,NA,NA,16.1,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Solomon Islands",28.1,28.83,28.83,15.9,NA,1967.25607,NA,72.996,670000,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.81026423,27.07650928,12.2,1,388,247,703995,2409767,1e-04
"268","Somalia",136.8,110.4,110.4,38.9,NA,5708.750822,NA,57.397,15443000,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.54632092,23.96891503,39.7,56,36737,17095,16359500,75716429,0.0021
"269","South Africa",42.1,35.87,35.87,20.3,14.3,2400.860333,NA,64.131,58558000,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.10522536,29.59192125,11,33,25773,12661,60041996,79190832,0.0076
"270","South Africa (non-whites)",NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","South Africa (whites)",NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434260137,429300716,0.0551
"273","South Asia",NA,43.08,43.08,21.4,37.7,3811.354264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.96124162,22.33447245,NA,1500,1268874,861436,NA,NA,NA
"274","South Korea",3.5,3.54,3.54,NA,NA,269.2028526,NA,83.033,51225000,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.465566,23.1632351,1.6,1,1146,637,51305184,29541953,0.0065
"275","South Sudan",92.6,111.26,111.26,37,39.6,8361.238892,NA,57.846,11062000,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,47,31687,15380,11381377,31738064,0.0014
"276","South-Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","South-Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Southeast Asia",NA,26.89,26.89,NA,NA,1985.043808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,215835,132834,NA,NA,NA
"279","Southern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Southern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Southern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Southern Latin America",NA,11,11,NA,NA,866.3153342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8920,6133,NA,NA,NA
"283","Southern sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
"284","Southern Sub-Saharan Africa",NA,43.87,43.87,NA,NA,2936.718063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50133,26233,NA,NA,NA
"285","Spain",4.1,3.47,3.47,3,18.6,266.2264833,8.232298816,83.565,46737000,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.162678,24.92999859,2.8,1,1080,718,46745211,33209856,0.0059
"286","Sri Lanka",8.7,9.29,9.29,7.1,12.8,684.2390101,6.226843558,76.978,21324000,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6383471,23.83638768,5.4,2,2034,1533,21497306,15275209,0.0027
"287","Sub-Saharan Africa",NA,84.07,84.07,30.8,33.7,5222.171087,NA,NA,NA,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.36367784,24.1457639,NA,2750,1799191,970964,NA,NA,NA
"288","Sudan",70.1,52.66,52.66,27.9,42.5,4236.793727,NA,65.311,42813000,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.29135867,26.12280796,29.8,68,53535,31836,44909351,142342356,0.0057
"289","Suriname",21.3,31.56,31.56,12.4,15.6,2669.594504,NA,71.682,581000,70.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.49760616,27.91742678,11.5,0,250,172,591798,613122,1e-04
"290","Svalbard and Jan Mayen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,2400,0
"291","Swaziland",69.6,49.92,49.92,26.2,24.1,3461.46357,NA,60.194,1148000,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.61943732,29.19240368,14.2,1,1022,435,NA,NA,NA
"292","Sweden",3,3.03,3.03,2.7,3.7,226.383117,9.648729394,82.797,10036000,81.9,79.5199966430664,79.8300018310547,80.8499984741211,83.4700012207031,83.7799987792969,84.3099975585938,3.95000457763672,3.94999694824219,3.46000289916992,1.04967308044434,1.04948008060455,1.0427953004837,26.86405077,25.45995973,1.6,0,269,176,10160159,13022532,0.0013
"293","Switzerland",3.9,4.04,4.04,3.5,2.4,322.5397396,7.986043718,83.779,8591000,82.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8336985,23.81875224,2.7,0,283,222,8715494,11041105,0.0011
"294","Syria",12.9,18.76,18.76,13,NA,966.093174,NA,72.697,17070000,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.55826342,29.48096759,7,6,2549,1530,18275704,36103178,0.0023
"295","Taiwan",NA,5.06,5.06,NA,NA,377.2153072,6.3,80.456,23774000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.14440355,23.75069072,NA,1,706,444,23855008,16258857,0.003
"296","Tajikistan",44.8,52.39,52.39,20.1,6.5,3424.604178,NA,71.097,9321000,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.00734586,26.49672721,20.5,11,9273,5133,9749625,25328026,0.0012
"297","Tanzania",48.4,65.16,65.16,24.9,27,4409.899208,NA,65.456,58005000,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4032439,24.15816268,18.8,117,83483,46621,61498438,285651846,0.0078
"298","Thailand",12.3,9.55,9.55,9.3,13.3,680.4701023,NA,77.15,69626000,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.00077018,25.11073257,6.7,6,4243,2808,69950844,46015553,0.0089
"299","Timor",52.6,39.07,39.07,20.6,44.9,2632.33604,NA,69.495,1293000,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.35808968,21.37075683,22.3,1,968,551,1343875,2372970,2e-04
"300","Togo",78.4,72.99,72.99,30.5,38.9,4157.182236,NA,61.042,8082000,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.58918749,24.64166822,26.7,14,8958,5239,8478242,26949191,0.0011
"301","Tokelau",NA,NA,NA,NA,NA,NA,NA,81.86,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.14489951,33.82064025,NA,NA,NA,NA,1368,1456,0
"302","Tonga",16.7,19.65,19.65,13,4.5,1161.49148,NA,70.907,104000,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.72340166,34.00861159,6.9,0,25,16,106759,138261,0
"303","Trinidad and Tobago",20.4,18.64,18.64,15.6,NA,1580.667616,7.3,73.507,1395000,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.77531848,28.88155719,13.2,0,278,200,1403374,968826,2e-04
"304","Tropical Latin America",NA,19.97,19.97,NA,NA,1475.351058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,46540,24341,NA,NA,NA
"305","Tunisia",14,11.72,11.72,10.7,34.6,874.124594,NA,76.699,11695000,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.72641503,27.30753368,8.2,2,1492,1043,11935764,12972285,0.0015
"306","Turkey",13.5,15.21,15.21,9.6,13.5,1223.451749,NA,77.691,83430000,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27430057,28.94223386,7.1,17,13702,9035,85042736,86170462,0.0108
"307","Turkmenistan",51.4,32.89,32.89,23.4,3.6,2121.412529,NA,68.191,5942000,65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.68355896,26.80303559,22.6,3,2310,1501,6117933,8421349,8e-04
"308","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,80.222,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39226,53609,0
"309","Tuvalu",27.1,NA,NA,NA,10.5,NA,NA,67.567,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.23321051,31.87132991,17.6,NA,NA,NA,11925,20008,0
"310","Uganda",59.5,66.57,66.57,32.5,27.9,4238.49771,NA,63.368,44270000,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.61129409,23.34475139,18.7,87,62319,35822,47123533,136784876,0.006
"311","Ukraine",9,10.55,10.55,7.5,3.6,721.1484544,NA,72.065,43994000,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.08648953,26.40652804,5.5,4,3130,1923,43466822,24413452,0.0055
"312","United Arab Emirates",6.8,7.75,7.75,5.2,NA,983.2475599,NA,77.972,9771000,76.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.18800439,29.63816231,3.5,1,743,522,9991083,12909869,0.0013
"313","United Kingdom",4.2,4.93,4.93,4,3.7,387.5656751,NA,81.321,67530000,80.4,79.0400009155273,79.5599975585938,80.7299957275391,82.9300003051758,83.3499984741211,84.0299987792969,3.88999938964844,3.79000091552734,3.29999923706055,1.04921555519104,1.04763698577881,1.04087698459625,27.47505756,27.15190484,2.4,4,3011,2107,68207114,78053263,0.0087
"314","United States",6.5,7.37,7.37,5.6,5.5,568.4556511,NA,78.862,329064992,78.9,76.3300018310547,76.9900054931641,79.0400009155273,81.1100006103516,81.6900024414062,82.8099975585938,4.77999877929688,4.70000076293945,3.77000045776367,1.06262278556824,1.06104683876038,1.04769742488861,29.01322022,29.07070589,3.6,26,22093,14838,332915074,433853891,0.0423
"315","United States Virgin Islands",10.33,9.87,9.87,NA,NA,776.8401199,NA,80.583,105000,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,104218,40462,0
"316","Upper-middle-income countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Uruguay",10.1,10.31,10.31,9,7.4,784.2311615,9.620208207,77.911,3462000,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.52969676,27.55825768,5.1,0,371,238,3485152,3181955,4e-04
"318","USA (blacks)",NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","USA (whites)",NA,NA,NA,NA,NA,NA,8.124909244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","Uzbekistan",39.1,26.73,26.73,17,0.8,1786.308659,NA,71.725,32982000,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.48810362,27.6582837,20.4,15,12036,7585,33935765,42270842,0.0043
"321","Vanuatu",27.5,32.5,32.5,14.1,17.5,2260.374501,NA,70.474,3e+05,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.71103043,26.96518981,11.6,0,187,117,314464,968068,0
"322","Vatican",NA,NA,NA,NA,NA,NA,NA,75.125,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,797,0
"323","Venezuela",14.9,17.12,17.12,10.5,12.9,1322.125254,4.441129899,72.064,28516000,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.70960031,26.93984073,8.9,9,7541,5331,28704947,34240724,0.0036
"324","Very high human development",NA,NA,NA,5,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","Vietnam",21.7,15.2,15.2,12.7,17.6,975.9281467,NA,75.4,96462000,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.97052794,21.9405938,11.4,19,14689,9812,98168829,97437286,0.0125
"326","Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"327","Wallis and Futuna",NA,NA,NA,NA,NA,NA,NA,79.944,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11094,5558,0
"328","West Germany",NA,NA,NA,NA,NA,NA,10.5410448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","Western Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","Western Europe",NA,4.04,4.04,NA,NA,311.9572414,NA,NA,NA,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13471,9244,NA,NA,NA
"332","Western Sahara",41.45,NA,NA,NA,NA,NA,NA,70.263,582000,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611872,1383773,1e-04
"333","Western sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490,NA,NA,NA,NA,NA
"334","Western Sub-Saharan Africa",NA,102.38,102.38,NA,NA,5952.512542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,910881,495130,NA,NA,NA
"335","World",42.5,40.6,40.6,15.2,22,2891.636209,NA,72.584,7713467904,70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.45710486,24.7516059,NA,5390,3988362,2367227,7874965730,10875393716,1
"336","World Bank High Income",NA,NA,NA,NA,NA,428.6638395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53122,NA,NA,NA,NA
