"","Entity","Share of people who disagree vaccines are important for children to have","Share of people who agree vaccines are safe","Share of people who disagree vaccines are safe","Share of people who agree vaccines are effective","Share of people who disagree vaccines are effective","Share of people who agree vaccines are important for children to have","Standard deviation of life satisfaction","All causes - Disability Adjusted Life Years (WHO (2015))","Share of population covered by health insurance (ILO (2014))","Public Expenditure on Health (Tanzi & Schuktnecht (2000))","Health Expenditure and Financing (per capita) (OECDstat (2017))","Current health expenditure per capita, PPP (current international $)","Health expenditure per capita, PPP (World Bank (2016))","HAQ Index (IHME (2017))","Beds in for-profit privately owned hospitals (number) (OECD)","Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in not-for-profit privately owned hospitals (number) (OECD)","Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in publicly owned hospitals (number) (OECD)","Beds in publicly owned hospitals (per 1,000 population) (OECD)","Acute care beds (number) (OECD)","Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)","Dentists (headcount) (OECD)","For-profit privately owned hospitals (number) (OECD)","For-profit privately owned hospitals (per million population) (OECD)","General hospitals (number) (OECD)","General hospitals (per million population) (OECD)","Hospitals (number) (OECD)","Hospitals (per million population) (OECD)","Long-term care beds (number) (OECD)","Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)","Midwives (headcount) (OECD)","Midwives (per 1,000 live births) (OECD)","Not-for-profit privately owned hospitals (number) (OECD)","Not-for-profit privately owned hospitals (per million population) (OECD)","Nurses (per 1,000 population) (OECD)","Nurses (headcount) (OECD)","Physicians (per 1,000 population) (OECD)","Physicians (headcount) (OECD)","Psychiatric care beds (number) (OECD)","Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)","Psychiatrists (headcount) (OECD)","Publicly owned hospitals (number) (OECD)","Publicly owned hospitals (per million population) (OECD)","Surgical specialists (per 1,000 population) (OECD)","Surgical specialists (headcount) (OECD)","Hospital beds (number) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)","Healthy Life Expectancy (IHME)","Life Expectancy (IHME)","Years Lived With Disability (IHME)","Public expenditure on health per capita in developing countries (PPP) (World Bank (WDI) (2017))","Health","Old Age","Out-of-pocket expenditure per capita on healthcare (PPP USD) (WHO Global Health Expenditure)","Percentage of persons without health insurance (%)","How much we think we spend on health expenditure (IPSOS (2016))","How much we actually spend on health expenditure (IPSOS (2016))","Public expenditure on health %GDP (OWID extrapolated series)","Total gross official disbursements for medical research and basic heath sectors","BCG immunization coverage among 1-year-olds (WHO 2017)","Hepatitis B (HepB3) immunization coverage among 1-year-olds (WHO 2017)","DTP3 immunization coverage among 1-year-olds (WHO 2017)","Polio (Pol3) immunization coverage among 1-year-olds (WHO 2017)","Measles (MCV) immunization coverage among 1-year-olds (WHO 2017)","Number of confirmed tetanus cases (WHO 2017)","Number confirmed polio cases (WHO 2017)","Number of confirmed pertussis cases (WHO 2017)","Number of confirmed measles cases (WHO 2017)","Number of confirmed diphtheria cases (WHO 2017)","Estimated deaths due to tuberculosis per 100,000 population, excluding HIV (WHO 2017)","Estimated number of deaths due to tuberculosis, excluding HIV (WHO 2017)"
"128","High-income Asia Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","High-income North America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","High-middle SDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.73,76.4,9.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Honduras",0.262917427,89.17671285,5.889666745,89.09822901,4.654412512,98.89187268,NA,33106,12,NA,NA,353.3645701,400.36,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.27,72.67,8.4,217.9336469,NA,NA,173.59322,NA,NA,NA,4.41783425,3.594e+10,88,85,85,85,87,17,0,30,0,0,1.1,85
"132","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Hungary",1.274012043,76.69854953,2.632851949,78.28436887,1.346355494,90.43864089,NA,28707,100,NA,"1676.6019",1912.069053,1839.01,79.6,187,0.02,2055,0.21,69427,6.96,41803,4.27,1,9780,12,1.2,146,14.64,165,16.86,11952,1.22,6.54,5922,62.57,29,2.91,11.8,115464,5.68,55603,8516,0.87,0.15,1426,132,13.24,0.68,6633,68702,0.51,7.02,65.82,75.75,9.92,NA,"..","..",555.2157,NA,12,7,4.88308191,NA,99,NA,99,99,99,2,0,6,0,0,0.8,76
"134","IBRD only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.704656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Iceland",0.881542112,60.67672771,21.26700693,96.83309818,1.201608509,98.47210776,NA,17257,100,NA,"3712.7076",4116.171894,3645.82,93.6,0,0,0,0,1014,2.91,826,2.37,1.21,421,0,0,8,22.96,8,22.96,125,0.36,2.55,529,127.52,0,0,29.55,10296,7.74,2696,129,0.37,0.24,83,8,22.96,0.74,258,1014,2.1,2.91,71.48,82.27,10.79,NA,"..","..",700.42822,NA,NA,NA,7.17970594,NA,NA,NA,92,92,93,0,0,4,0,0,2.1,7
"136","IDA & IBRD total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.9564967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","IDA blend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.6685221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","IDA only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.2666312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","IDA total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.7121346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","India",1.352926787,95.44130778,1.995294987,94.76563158,1.797547144,97.56002443,NA,47950,12.5,NA,NA,237.7234161,214.68,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710761,NA,0.53,58.89,68.55,9.66,79.92530276,NA,NA,154.66501,NA,27,5,1.40723762,3.9127e+11,87,87,87,86,87,2268,0,25206,25488,2365,36,480000
"141","Indonesia",3.010707634,83.50510671,5.737725649,70.12477932,11.5503756,92.82274625,NA,36015,59,NA,NA,369.2864404,293.3,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271902,NA,1.04,62.95,71.66,8.71,113.6514151,NA,NA,189.93916,NA,39,3,1.0755363,9.857e+10,77,81,81,82,69,1032,0,2082,15099,430,40,1e+05
"142","Iran",1.716036984,68.51595655,9.154814714,85.58886417,2.58893329,93.89081137,NA,30911,90,NA,NA,1261.730503,1414.5,71.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.79,75.94,11.15,493.9709191,NA,NA,500.40799,NA,NA,NA,2.84080215,3.48e+09,99,98,98,98,99,11,0,145,615,28,1.7,1400
"143","Iraq",2.939514949,89.96511468,4.446227372,90.54279908,3.872680777,96.17976188,NA,38798,NA,NA,NA,481.0398448,695.34876,60.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.43,67.6,10.17,509.6175443,NA,NA,367.85107,NA,NA,NA,3.33814899,1.166e+10,95,56,58,63,57,6,2,529,1433,2,2.4,860
"144","Ireland",3.935820977,73.4504724,9.355552291,85.90951591,4.325992719,90.76895159,1.82536912,19319,100,6,"4730.3324",5334.947576,3867.12,88.4,NA,NA,NA,NA,NA,NA,13297,2.77,0.67,3217,19,3.95,56,11.65,86,17.89,741,0.15,1.15,18051,291.99,NA,NA,14.76,70953,4.82,23306,1631,0.34,0.17,806,NA,NA,0.47,2270,14217,1.51,2.96,70.45,81.14,10.7,NA,"..","..",809.01556,NA,NA,NA,5.14148408,NA,77,95,95,95,93,1,0,118,4,1,0.4,17
"145","Israel",0.88202389,75.58244767,4.820923171,83.58291107,2.141531672,89.80407838,NA,17719,100,NA,"2292.3219",2819.111414,2355.13,85.5,3247,0.37,5249,0.59,18009,2.03,19389,2.19,1.31,11632,22,2.48,45,5.07,85,9.58,4722,0.53,4.57,2768,14.65,26,2.93,7.41,65775,4.37,38765,3591,0.4,0.16,1420,37,4.17,0.61,5280,26505,1,2.99,71.44,82.14,10.7,NA,"5","4.8",686.99359,NA,19,8,4.75169581,NA,68,97,94,96,98,0,0,5338,80,0,0.2,16
"146","Italy",8.231379081,75.69166719,13.71469477,84.85658922,5.635365621,83.82051173,1.741591692,16957,100,5.9,"2954.1373",3350.575515,3126.05,88.7,56425,0.93,7640,0.13,128483,2.12,158891,2.62,1.02,61471,600,9.91,898,14.83,1063,17.56,8526,0.14,0.63,20618,44.33,32,0.53,7.44,449781,6.55,396316,5562,0.09,0.17,10322,431,7.12,0.99,60082,192548,NA,3.18,71.75,82.34,10.59,NA,"..","..",765.02649,NA,18,9,6.99265103,NA,NA,93,93,93,85,47,0,225,159,1,0.6,330
"147","Jamaica",NA,NA,NA,NA,NA,NA,NA,32646,20.1,NA,NA,511.3773951,511.92,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.34,74.9,9.55,244.9972796,NA,NA,121.21803,NA,NA,NA,2.80857803,1.8e+08,99,91,91,91,91,1,0,0,0,0,0.2,7
"148","Japan",4.739243635,33.99302621,8.347281956,61.72242978,3.294160814,66.4583469,NA,15700,100,5.5,"3930.7353",4405.131829,3741.34,89,NA,NA,NA,NA,449713,3.55,987237,7.79,NA,NA,NA,NA,7353,58.03,8412,66.39,334297,2.64,9.51,NA,NA,NA,NA,NA,NA,NA,NA,331700,2.62,0.12,15609,1538,12.14,NA,NA,1653234,0.57,13.05,73.16,83.94,10.78,NA,"..","..",576.96307,NA,22,10,8.55008168,NA,84,NA,96,99,96,120,0,2675,35,0,2.5,3200
"149","Jordan",0.973810325,91.98920648,3.153373732,91.83455661,2.337959256,98.25293901,NA,30626,75,NA,NA,568.122532,760.63,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1,76.29,11.19,560.2797711,NA,NA,142.87909,NA,NA,NA,5.19310195,3.763e+10,98,99,99,99,94,0,0,0,0,0,0.4,27
"150","Kazakhstan",3.718647336,45.71756253,10.3336845,55.25625108,4.869170903,75.85336513,NA,42084,70,NA,NA,903.3240914,1023.48,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.67,71.75,9.08,588.3162754,NA,NA,350.55191,NA,NA,NA,2.36790309,4.23e+09,95,98,98,98,99,2,0,74,526,0,7.8,1400
"151","Kenya",1.31194462,89.23351746,5.300983921,86.65312956,7.69289343,97.51961397,NA,62578,39.4,NA,NA,157.1920959,101.38,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.59,66.84,8.25,104.0305979,NA,NA,52.449409,NA,NA,NA,3.50386606,1.9222e+11,87,89,89,83,75,32,0,0,95,0,20,9000
"152","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.7928728,186.95,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.02,61.79,7.77,160.8924937,NA,NA,0.23496559,NA,NA,NA,8.29102703,1.05e+09,98,87,87,76,84,0,0,0,0,0,27,30
"153","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2480.2836",NA,NA,NA,0,0,566707,11.02,64385,1.25,367364,7.14,0.59,30344,0,0,1808,35.14,3887,75.55,259730,5.05,36.71,8297,23.19,3666,71.26,20.53,1056266,2.84,146265,67298,1.31,0.08,3928,221,4.3,0.64,33149,631092,NA,12.27,NA,NA,NA,NA,"..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Kosovo",0.903778738,71.26989888,5.418528202,78.93375262,5.399058676,96.26397846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Kuwait",2.153418538,86.85452771,4.097016132,87.22819906,3.063248762,94.11052383,NA,22687,100,NA,NA,2977.514144,2374.56,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.24,79.7,11.46,NA,NA,NA,428.12521,NA,NA,NA,2.61442253,NA,99,99,99,99,93,0,0,35,18,0,0.1,6
"156","Kyrgyzstan",4.382050751,67.83130849,8.841450211,70.95965617,7.155838996,88.6996586,NA,39969,83,NA,NA,286.577877,220.95,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.45,71.24,8.78,121.976793,NA,NA,138.24355,NA,NA,NA,3.63943755,2.132e+10,97,97,97,97,99,0,0,90,17779,0,12,680
"157","Landlocked developing countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06871e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Laos",0.245208395,92.38492746,1.856595172,90.90268277,1.417665634,98.43094219,NA,49556,11.6,NA,NA,165.8303456,95.2,44.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.08,67.25,8.17,50.280944,NA,NA,75.229477,NA,NA,NA,0.94273375,3.106e+10,83,89,89,89,88,21,0,140,56,194,49,3300
"159","Late-demographic dividend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904.1642433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081.335826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Latin America & Caribbean (all income levels)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Latin America & Caribbean (developing only)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Latin America & Caribbean (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.034515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Latin America & the Caribbean (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080.876854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Latin America and Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.36,75.8,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Latin America and the Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2689e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Latvia",5.949013577,45.45748506,17.0717777,50.47089579,9.832646135,73.22544526,NA,29932,70,NA,"1229.7855",1429.309665,1310.4,77.7,1094,0.56,0,0,9718,5,6407,3.3,1.18,2301,18,9.27,27,13.9,63,32.44,1222,0.63,3.15,901,43.25,0,0,9.8,18950,6.18,11994,2430,1.25,0.15,285,45,23.17,0.7,1365,10812,NA,5.57,65.21,75.06,9.85,NA,"..","..",594.9317,NA,NA,NA,3.71523198,NA,94,94,95,95,96,0,0,210,0,10,3.2,63
"168","Least developed countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47679e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Least developed countries: UN classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.7825467,109.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Lebanon",0.155654273,83.69318337,3.348813152,86.14449314,1.108739994,96.90015876,NA,20828,48.3,NA,NA,1117.255973,1092.08,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.28,80.07,11.79,431.9255119,NA,NA,358.2995,NA,NA,NA,3.0439246,2.968e+10,NA,81,81,75,79,3,0,53,39,0,1,61
"171","Lesotho",NA,NA,NA,NA,NA,NA,NA,99421,17.6,NA,NA,251.1429737,296.76,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.82,50.31,6.49,234.9475838,NA,NA,42.327137,NA,NA,NA,8.0821676,2.32e+09,98,93,93,90,90,0,0,0,0,0,55,1200
"172","Liberia",2.031008316,96.01272649,2.505175939,68.13656507,27.58857886,97.46126715,NA,62373,NA,NA,NA,127.7707491,88.00683828,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.27,64.38,9.11,26.74511003,NA,NA,25.088203,NA,NA,NA,3.15924304,2.1117e+11,74,52,52,52,64,2,0,0,1060,0,70,3200
"173","Libya",5.662988163,73.92569378,9.027480215,74.41592349,5.565545754,86.81511307,NA,28906,NA,NA,NA,NA,764.45,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.21,75.05,10.85,NA,NA,NA,230.01372,NA,NA,NA,3.65407916,1e+07,99,94,94,94,93,0,0,197,372,0,11,680
"174","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Lithuania",4.237066367,52.37598497,8.280441649,60.44408469,4.175315335,68.97353106,NA,30215,95,NA,NA,1874.615864,1578.73,76.6,154,0.05,0,0,18394,6.5,15477,5.47,1.39,3909,8,2.83,73,25.81,93,32.88,1403,0.5,2.55,1124,40.59,0,0,9.28,26078,5.28,14836,2804,0.99,0.24,671,85,30.05,1.07,3037,18548,0.83,6.56,65.2,75.16,9.96,NA,NA,NA,601.2337,NA,NA,NA,4.44688961,NA,97,94,93,93,94,2,0,60,50,0,7.9,230
