"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","daily_new_confirmed_cases_of_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"101",3.846,0.105,1.882,5.88235294117647,379.5,93,3.103,152,0.157,308.26,7205179,1,42.59
"102",1.269,2.317,198.202,20.0187090739008,28.06,4,0.831,235,25.799,884.879,29494229,2,80.56
"103",0,3.7,547.599,6.4748201438849,75.89,113.44,0.32,184,64.75,21398.892,400571,0.77,46.0329
"104",2.817,0.198,5.136,-9.56521739130435,69.66,148.63,3.869,188,0.79,173.573,4314573,0,8.33
"105",1.485,24.913,1843.552,-12.847965738758,21.82,66.06,0.967,203,706.619,12875.42,431874,1,75
"107",0,0,12.044,-16.4179104477612,337.91,140,2.123,163,3.011,1651.088,1672936,0,36.11
"108",0,0,15.726,66.6666666666667,19.74,113.68,2.278,215,0,345.189,1175485,2,51.85
"109",10.963,41.836,314.536,124.092391004034,173.34,208,9.965,228,46.086,6990.218,107259089,1,67.13
"110",1.652,53.297,1116.024,-3.86504377535768,85.68,164,2.36,213,160.884,17962.485,2715339,1,33.33
"111",0,0,1248.599,63.3333333333333,65.2142,74.28,0.312,121.03,254.816,8154.113,38307,0,37.04
"113",1.68,98.716,1909.047,-26.1699507389163,46.61,76.17,1.609,207,289.78,27212.282,596650,1.05,55.7407
"114",2.058,20.59,669.998,12.1186018044158,36.65,214,1.691,217,108.045,5519.64,26694148,0,66.67
"115",1.225,0.512,34.65,16.2017167381974,45.22,76.74,0.725,147,3.583,392.668,5742192,0,53.7
"116",2.042,8.344,168.426,13.6267823930564,28.39,40,2.406,63,26.944,876.056,41713321,2,66.2
"117",0.282,1.574,142.468,-1.36239782016349,275.52,78.74,1.045,123,21.252,5009.611,834393,0,44.44
"119",0.468,7.31,730.039,-10.51701653275,52.53,67,0.546,168,19.563,5505.064,13124577,1,68.52
"120",0.711,29.764,3935.191,21.6229865983658,119.53,224,2.289,236,600.121,18181.168,16550305,0,41.67
"121",0,0,6.429,-18.4210526315789,50.94,141.44,1.575,219,0.415,329.101,5009345.74,2,22.22
"122",1.124,0.302,12.076,-1.23456790123457,323.35,154,2.829,158,12.076,832.358,4129702,0,2.78
"123",0,0,0.248,-33.3333333333333,142.44,151.89,5.665,209,0.124,50.317,2168769,2,19.44
"124",0.912,0.092,2.882,-39.0769230769231,392.32,179,1.824,211,0.548,301.854,52542706,0,43.52
"127",0.199,0.553,320.591,80.2904564315353,581.2,208,1.527,236,79.871,3383.173,5090023,0,38.89
"128",1.879,29.374,545.762,-27.0418848167539,43.62,115,1.057,206,91.254,22288.707,4061216,0,50
"129",1.564,0.715,24.7,27.4468582106984,610.04,205,2.047,225,3.735,1494.846,120256626,2,66.67
"131",1.346,32.215,1085.342,5.40175557056044,249.44,190,2.032,221,155.512,30226.886,2976937,2,70.37
"132",0,0,0.782,16.6666666666667,13.49,80.38,1.19,83,0,65.72,1496847,0,49.07
"133",1.774,30.704,628.669,-8.03937653814603,80.12,74,2.191,179,135.015,8490.255,5882259,0,49.07
"134",1.794,25.416,557.415,-8.76191421763304,438.68,209,3.838,224,58.322,27068.457,23909023,1,67.59
"135",2.148,6.215,112.875,-22.9921553978334,122.2,213,1.89,227,13.816,3405.186,75168389,0,63.43
"136",2.592,40.004,2316.985,53.140881228061,35.3,209,1.647,227,430.686,7404.337,36922792,2,38.89
"137",1.59,25.596,2029.675,41.607937050975,65.58,217,1.905,228,323.536,12203.155,10327002,2,58.33
"138",0.422,3.471,605.68,13.3853151397011,477.23,146.28,0.175,230,89.203,45708.524,2431908,0,50
"139",2.638,54.009,1609.445,20.0403210173303,52.35,212,3.026,225,245.56,11291.173,15674045,1,38.43
"140",2.129,24.826,795.83,10.1292469916648,70.95,203,1.718,225,113.407,10605.953,104037940,0,30.09
"141",1.754,0.232,6.717,-2.24719101123596,71.74,89.1,0.688,136,0.849,392.52,7163805,2,54.63
"146",0,0,2534.033,514.285714285714,86.29,146.58,4.93,218,0,25104.603,13673825.73,2,38.89
"147",0,0,36.503,100,30.14,116.3,1.594,176,0,4293.647,67857,0.63,44.6892
"148",3.89,6.951,76.493,-7.50260507120528,229.82,173,1.542,226,11.461,9927.969,31557144,1,53.7
"149",1.274,0.418,6.689,-26.3157894736842,668.54,131.2,2.068,189,0.358,929.949,7129049,0,19.44
"150",1.701,4.556,627.811,166.666666666667,183.34,116,1.952,222,154.748,6007.704,6839949,1,36.11
"152",3.571,0.251,1.755,-48.1481481481481,152.84,141.17,3.149,171,0.501,294.598,962524,0,43.98
"153",0,0,10.085,59.4594594594595,57.18,146.98,0.048,223,1.197,9910.53,5535002,2,47.22
"154",1.025,21.064,2684.425,39.3950922579418,20.47,10,0.382,220,165.029,8435.716,5358715,2,43.98
"155",0.924,21.646,5352.748,112.204424103738,35.25,86.24,0.75,229,732.588,12315.458,2044959,1,29.63
"157",2.521,0.315,3.209,96.1538461538461,107.09,156.17,2.639,196,0,247.967,2915110,1,35.19
"158",3.526,17.282,194.693,-1.86963542109289,362.44,194,2.654,223,18.412,12103.639,36527953,1,51.85
"159",1.943,0.449,14.083,34.9532710280374,238.61,196.96,1.763,251,2.009,509.975,51014947,1,50.93
"160",1.563,0.089,3.841,-12.2448979591837,115.41,131.57,1.938,172,0.625,258.18,796103,0,25
"161",1.508,44.787,2746.585,39.2254651112364,133.39,231,3.161,239,393.928,23885,46401249,2,47.69
"162",0.844,0.28,142.855,295.730918499353,8.8,58.46,0.214,191,21.342,414.23,19938666,2,81.48
"163",4.348,0.023,0.935,24.2424242424242,1739.45,178,6.081,192,0.41,313.916,8906147,0,19.44
"164",1.923,6.819,73.3,-40.2777777777778,114.37,87.52,2.14,138,11.932,8841.97,438141,0,81.48
"165",0.278,2.475,922.74,61.9006254343294,4101.01,218,5.111,236,91.294,11464.69,9730592,1,37.04
"166",0.711,14.097,4722.912,99.965755100044,74.64,221,1.518,236,735.099,14679.1,8274114,0,40.74
"167",5.541,2.514,19.885,-1.69491525423728,70.44,69,4.975,94,3.828,315.874,17929383,0,25.93
"168",0.356,0.21,29.986,3.24909747292419,167.39,142.46,0.746,177,4.299,1138.646,8121218,0,35.19
"169",0,0,0,-100,13.49,135.07,4.126,195,0,8.521,8405273,1,16.67
"170",0,0,0.716,-12.280701754386,121.64,161.11,1.57,226,0.186,53.854,63851568,2,72.22
"172",3.529,0.483,15.099,-5.3030303030303,55.1,82.7,2.423,164,3.02,269.244,860349,2,42.59
"174",2.996,9.289,167.918,14.0776699029126,219.38,86.24,1.904,220,23.58,3978.589,1244484,0,74.07
"175",3.014,42.729,672.583,-33.1679838574071,11.39,43,1.876,216,0,4433.598,10326673,2,71.3
"176",4.464,11.774,175.423,17.1046382776634,91.74,220,2.717,224,26.192,4342.092,74279627,0,50
"179",0.742,0.175,18.211,-1.18623962040332,52.5,83.68,0.886,165,1.399,254.061,7667670,0,78.7
"180",2.182,33.315,1063.115,20.7009345794392,44.48,200,1.853,215,152.674,8131.041,43302714,1,50.93
"181",0.146,3.438,1014.115,11.6180725573114,142.14,176,0.378,218,140.54,12903.826,8934599,2,65.28
"182",1.267,34.573,2283.726,21.4782717713247,151.11,227,4.944,238,337.109,13516.409,64607830,2,43.98
"183",1.544,32.692,1529.743,21.5461244869056,257.43,229,2.582,237,226.974,26524.419,320896618,1,61.57
"184",1.515,0.864,84.347,2.44755244755244,111.25,96.81,1.852,212,12.667,839.444,3308016,1,55.56
"185",1.013,1.345,60.563,-5.76476057647606,114.78,71,0.843,207,8.127,1973.068,31298900,2,63.89
"187",0.717,2.462,96.92,-15.2782047340916,161.15,84,0.863,218,12.414,3179.075,29410446,2,86.11
"188",0,0,0.318,10.7142857142857,71.74,92.18,2.986,89,0.031,12.04,71536374,0,79.17
"189",25,0.101,0.134,0,1246.62,150,29.07,161,0,69.201,13277013,0,37.96
"190",0.51,0.163,14.197,-33.9240506329114,360.78,112,2.142,171,2.339,883.542,7068158,1,50.93
"191",6.618,0.807,8.612,-15.2317880794702,82.83,89,2.91,153,0.807,559.446,5806102,0,73.15
"192",2.112,134.56,8412.284,40.3246156482188,10.19,204,0.897,230,1462.604,26522.876,10451144,1,35.19
