"","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
"121",227.03,2,37.81171,8139.1395,1596.889162,2.44,11,174.02,NA,-0.000148585850378389
"122",543.27002,4,30.23947,27455.237,0,8,NA,508.95,10.587,-0.000209011269543711
"123",816.5,4,33.49256,27035.6002,NA,12.81,NA,763.76,NA,-0.00160308027449062
"124",NA,4,NA,153764.1643,NA,NA,NA,NA,NA,NA
"125",305.64999,3,35.7615,20126.2922,0,5.24,NA,266.57,8.465,-0.000548939986430203
"126",680.21002,3,37.47301,24668.9079,9.9524185,8.3,NA,786.43,12.506,NA
"127",78.540001,1,43.71005,1929.2851,1826.482046,1.46,53.8,82.57,NA,NA
"128",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"129",86.949997,2,56.31984,3730.2045,8.825481,2.73,19.3,86.95,NA,NA
"130",NA,4,NA,50304.7502,NA,NA,NA,NA,NA,NA
"131",95.980003,1,40.28523,2617.1244,1230.723936,2.21,56.9,95.98,NA,NA
"132",360,3,30.35106,14124.1177,1.986184,5.42,0.2,386.22,14.137,NA
"133",70.980003,1,35.69018,1683.8497,345.437898,1.91,81,70.84,NA,NA
"134",NA,4,NA,68402.3451,NA,NA,NA,NA,NA,-0.00223854551522669
"135",678.90997,4,24.97015,27075.5344,4.502202,15.69,NA,851.49,8.421,-0.00221582461363618
"136",1026.3199,4,24.63336,29244.9198,0.142861,19.37,NA,1002.28,9.989,NA
"137",NA,1,36.82241,NA,NA,NA,81.2,NA,NA,NA
"138",337.70999,3,63.02607,12165.7948,1752.145088,5.62,11.1,358.24,23.751,NA
"139",1181.66,4,31.40486,37927.6095,NA,NA,NA,NA,14.62,-5.76516377895989e-05
"140",98.300003,1,44.14413,NA,3007.095753,NA,91.1,98.29,NA,NA
"141",1115.37,4,34.71895,31496.52,NA,18.63,NA,1102.65,15.562,-0.000472775652592984
"142",268.32999,2,39.34577,11662.9064,38.535021,2.6,NA,228.33,NA,NA
"143",138.89,2,34.2432,3379.5957,649.140966,3.5,53.4,138.89,NA,NA
"144",217.83,3,57.60975,NA,52.3030765,NA,5.9,217.41,NA,NA
"145",1642.51,4,29.97419,45541.8921,NA,29.09,NA,1534.88,5.596,-0.000816915545400869
"146",2020.86,4,33.14105,61372.7301,NA,31.51,NA,2013.28,8.745,NA
"147",217.17999,2,37.5146,3349.4597,NA,NA,4.4,NA,NA,NA
"148",192.72,2,33.99572,4440.3819,274.465108,4.46,13.2,104.75,NA,NA
"149",78.599998,1,40.49123,2874.9629,4526.68255,1.44,65.6,81.08,NA,NA
"150",477.04999,3,34.85572,16648.6237,0,5.43,0.9,449.2,NA,NA
"151",82.519997,1,43.05614,1451.3609,1033.280325,2.1,50.1,79.87,NA,NA
"152",302.64999,4,40.27296,28549.4083,1.2170925,NA,5.6,302.77,NA,NA
"153",334.19,2,32.81588,11353.8865,12.8387655,3.97,1.2,288.18,NA,-0.00180968695264301
"154",567.58002,3,41.90911,19270.2202,31.715142,2.82,NA,517.27,NA,NA
"155",96.959999,1,42.75369,2045.4203,2612.213385,1.46,69.9,103.07,NA,NA
"156",350.12,2,26.61947,9813.3637,0,5.94,1.2,384.28,NA,NA
"157",NA,4,25.96615,76397.8181,NA,NA,NA,NA,NA,NA
"158",1432.22,4,35.14883,38058.0856,NA,21.29,NA,1350.13,9.138,-0.000318148622498567
"159",2096.71,4,41.40784,55334.7394,NA,21.7,NA,1917.39,17.049,-2.85358061874237e-05
"160",825.67999,4,39.67655,20185.836,2.6013185,6.92,NA,764.05,14.058,NA
"161",62.200001,2,35.2688,11220.3702,1333.783584,NA,2.3,57.5,NA,NA
"162",314.81,3,44.7705,10709.9506,1333.44793,6.28,NA,353.7,NA,NA
"163",287.04999,2,35.71555,6814.1423,379.716216,3.35,7.1,257.04,NA,NA
"164",123.29,2,36.70709,2284.8899,NA,NA,45.9,NA,NA,NA
"165",90.860001,2,57.13606,3534.0337,2995.0878,1.83,56.6,78.64,NA,NA
"166",147.38,1,50.25645,1611.4052,406.092795,NA,29.7,147.38,NA,NA
"167",858.34998,4,24.99034,30748.5084,5.830948,12.98,NA,799.89,5.972,-0.000997710394510541
