"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"56","Gabon",24.262,NA,58498,57.6,480.8514802,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94,124.56293,3.29e+09
"57","Gambia",49.241,NA,62697,99.9,114.0747188,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.07,23.163185,2.127e+10
"58","Georgia",63.422,NA,29323,25,717.7162423,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,411.42606,3.98e+09
"59","Germany",121.539,NA,19224,100,5356.811177,86.4,2.43,2.31,3.26,6.02,1.18,16.08,19.26,37.31,0,NA,11.74,NA,6.1,1.28,0.27,9.5,1.18,8,10.7,671.1239,NA
"60","Ghana",10.17,NA,58375,73.9,249.328504,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.08,90.020622,1.4816e+11
"61","Greece",56.893,NA,19627,100,2204.354384,87,1.38,0.08,2.74,3.6,1.23,13.67,16.18,25.76,0.57,NA,0.46,NA,6.07,0.74,0.25,11.62,1.32,4.21,10.34,781.69025,NA
"62","Guatemala",204.571,NA,37079,30,443.9018463,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,247.54504,4.64e+10
"63","Guinea",5.406,NA,72518,0.2,57.19135929,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76,31.166372,1.3984e+11
"64","Guinea-Bissau",20.833,NA,83441,1.6,100.2957262,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.37,37.274281,1.847e+10
"65","Guyana",151.292,NA,55470,23.8,336.1484296,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57,136.16254,1.79e+09
"66","Haiti",20.346,NA,61717,3.1,120.1457421,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.07,43.579815,5.685e+10
"67","Honduras",266.442,NA,33106,12,353.3645701,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,173.59322,3.594e+10
"68","Hungary",163.348,NA,28707,100,1912.069053,79.6,0.02,0.21,6.96,4.27,1,1.2,14.64,16.86,1.22,62.57,2.91,11.8,5.68,0.87,0.15,13.24,0.68,7.02,9.92,555.2157,NA
"69","Iceland",32.234,NA,17257,100,4116.171894,93.6,0,0,2.91,2.37,1.21,0,22.96,22.96,0.36,127.52,0,29.55,7.74,0.37,0.24,22.96,0.74,2.91,10.79,700.42822,NA
"70","India",86.963,NA,47950,12.5,237.7234161,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,9.66,154.66501,3.9127e+11
"71","Indonesia",49.4,NA,36015,59,369.2864404,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,8.71,189.93916,9.857e+10
"72","Iran",396.45,NA,30911,90,1261.730503,71.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.15,500.40799,3.48e+09
"73","Iraq",266.617,NA,38798,NA,481.0398448,60.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.17,367.85107,1.166e+10
"74","Ireland",382.762,1.82536912,19319,100,5334.947576,88.4,NA,NA,NA,2.77,0.67,3.95,11.65,17.89,0.15,291.99,NA,14.76,4.82,0.34,0.17,NA,0.47,2.96,10.7,809.01556,NA
"75","Israel",286.868,NA,17719,100,2819.111414,85.5,0.37,0.59,2.03,2.19,1.31,2.48,5.07,9.58,0.53,14.65,2.93,7.41,4.37,0.4,0.16,4.17,0.61,2.99,10.7,686.99359,NA
"76","Italy",623.534,1.741591692,16957,100,3350.575515,88.7,0.93,0.13,2.12,2.62,1.02,9.91,14.83,17.56,0.14,44.33,0.53,7.44,6.55,0.09,0.17,7.12,0.99,3.18,10.59,765.02649,NA
"77","Jamaica",66.19,NA,32646,20.1,511.3773951,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.55,121.21803,1.8e+08
"78","Japan",13.678,NA,15700,100,4405.131829,89,NA,NA,3.55,7.79,NA,NA,58.03,66.39,2.64,NA,NA,NA,NA,2.62,0.12,12.14,NA,13.05,10.78,576.96307,NA
"79","Jordan",65.47,NA,30626,75,568.122532,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.19,142.87909,3.763e+10
"80","Kazakhstan",118.285,NA,42084,70,903.3240914,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08,350.55191,4.23e+09
"81","Kenya",17.37,NA,62578,39.4,157.1920959,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,52.449409,1.9222e+11
"82","Kuwait",177.026,NA,22687,100,2977.514144,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.46,428.12521,NA
"83","Kyrgyzstan",174.428,NA,39969,83,286.577877,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78,138.24355,2.132e+10
"84","Latvia",33.4,NA,29932,70,1429.309665,77.7,0.56,0,5,3.3,1.18,9.27,13.9,32.44,0.63,43.25,0,9.8,6.18,1.25,0.15,23.17,0.7,5.57,9.85,594.9317,NA
"85","Lebanon",86.441,NA,20828,48.3,1117.255973,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.79,358.2995,2.968e+10
"86","Lesotho",20.072,NA,99421,17.6,251.1429737,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49,42.327137,2.32e+09
"87","Liberia",16.213,NA,62373,NA,127.7707491,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11,25.088203,2.1117e+11
"88","Libya",118.173,NA,28906,NA,NA,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,230.01372,1e+07
"89","Liechtenstein",26.221,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Lithuania",51.795,NA,30215,95,1874.615864,76.6,0.05,0,6.5,5.47,1.39,2.83,25.81,32.88,0.5,40.59,0,9.28,5.28,0.99,0.24,30.05,1.07,6.56,9.96,601.2337,NA
"91","Luxembourg",234.833,NA,18648,97.6,6381.507524,89.3,NA,NA,NA,3.7,1.23,1.71,6.58,16.45,0,71.47,10.28,24.27,4.19,0.74,0.21,8.57,0.68,4.51,11.16,679.28198,NA
"92","Madagascar",8.812,NA,54971,3.7,76.74339356,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,16.622654,1.1243e+11
"93","Malawi",9.566,NA,70678,NA,108.1896442,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.46,11.881274,1.6338e+11
"94","Malaysia",7.353,NA,29765,100,1063.888395,66.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.14,370.69351,6.2e+08
"95","Maldives",68.45,NA,25036,30,1513.882431,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,247.58975,1.06e+09
"96","Mali",6.716,NA,75910,1.9,118.4518361,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,54.852081,1.3294e+11
"97","Malta",124.564,1.619936347,19507,100,3470.896993,85.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,1287.7975,NA
"98","Mauritania",35.056,NA,58285,6,177.0806661,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17,85.419205,1.33e+10
"99","Mauritius",7.863,NA,30076,100,1098.625455,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.72,556.64081,1.8e+08
"100","Mexico",696.596,NA,26763,85.6,1008.676198,62.6,0.36,NA,1.02,1.38,NA,26.1,NA,37.51,NA,NA,0.15,NA,NA,0.03,0.01,11.26,0.16,1.38,9.32,417.28952,9.6e+08
"101","Moldova",423.901,NA,35472,75.7,515.3230735,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.97,238.01622,1.13e+10
"102","Monaco",25.482,NA,NA,NA,3406.868928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.57016,NA
