"","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"83",NA,39969,83,286.577877,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.45,71.24,8.78,138.24355,2.132e+10
"84",NA,29932,70,1429.309665,77.7,0.56,0,5,3.3,1.18,9.27,13.9,32.44,0.63,43.25,0,9.8,6.18,1.25,0.15,23.17,0.7,5.57,65.21,75.06,9.85,594.9317,NA
"85",NA,20828,48.3,1117.255973,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.28,80.07,11.79,358.2995,2.968e+10
"86",NA,99421,17.6,251.1429737,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.82,50.31,6.49,42.327137,2.32e+09
"87",NA,62373,NA,127.7707491,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.27,64.38,9.11,25.088203,2.1117e+11
"88",NA,28906,NA,NA,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.21,75.05,10.85,230.01372,1e+07
"89",NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,30215,95,1874.615864,76.6,0.05,0,6.5,5.47,1.39,2.83,25.81,32.88,0.5,40.59,0,9.28,5.28,0.99,0.24,30.05,1.07,6.56,65.2,75.16,9.96,601.2337,NA
"91",NA,18648,97.6,6381.507524,89.3,NA,NA,NA,3.7,1.23,1.71,6.58,16.45,0,71.47,10.28,24.27,4.19,0.74,0.21,8.57,0.68,4.51,70.96,82.12,11.16,679.28198,NA
"92",NA,54971,3.7,76.74339356,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.21,62.68,7.47,16.622654,1.1243e+11
"93",NA,70678,NA,108.1896442,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.71,60.18,7.46,11.881274,1.6338e+11
"94",NA,29765,100,1063.888395,66.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.42,75.56,9.14,370.69351,6.2e+08
"95",NA,25036,30,1513.882431,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.13,79.32,10.2,247.58975,1.06e+09
"96",NA,75910,1.9,118.4518361,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.69,61.84,8.15,54.852081,1.3294e+11
"97",1.619936347,19507,100,3470.896993,85.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.93,81.43,10.5,1287.7975,NA
"98",NA,58285,6,177.0806661,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.99,70.16,9.17,85.419205,1.33e+10
"99",NA,30076,100,1098.625455,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.86,74.58,9.72,556.64081,1.8e+08
"100",NA,26763,85.6,1008.676198,62.6,0.36,NA,1.02,1.38,NA,26.1,NA,37.51,NA,NA,0.15,NA,NA,0.03,0.01,11.26,0.16,1.38,67.06,76.38,9.32,417.28952,9.6e+08
"101",NA,35472,75.7,515.3230735,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.28,72.25,8.97,238.01622,1.13e+10
"102",NA,NA,NA,3406.868928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.57016,NA
"103",NA,26702,95,957.0148208,80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.13,77.04,9.91,304.52347,9e+07
"104",NA,38061,42.3,435.2900287,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.97,75,11.03,231.06967,3.89e+09
"105",NA,88491,NA,63.74393076,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.08,60.02,7.94,4.3641877,2.3915e+11
"106",NA,48793,NA,267.2280328,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.56,70.02,8.46,197.51004,9.451e+10
"107",NA,48404,28,942.4741866,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.47,64.77,8.3,78.47451,4.04e+09
"108",NA,43324,0.1,150.5903691,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.37,70.86,9.49,90.96965,9.946e+10
