"standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
1.78398382193,92831,10,33.97361777,40.4,0.8061,0.5181,3.669,3.4397,1.1806,11.6194,14.7065,27.3805,0.5958,63.4652,2.5669,10.2844,4.7108,0.5836,0.1632,16.5153,0.5838,1.58567333333333,8.45,12.715207,5.183e+11
1.815271616,20451,100,5083.20928,85.7,0.05,0.11,2.34,2.42,1.43,7.19150000000001,13.7656,25.7895,0.04,57.6,5.6003,18.23,6.22,0.47,0.19,14.573,0.63,2.5,10.95,697.55823,10879346351.0105
1.71601195579,64677,30,146.6987696,44.7,0.664,0.2606,2.8436,2.5281,1.1568,10.4348,15.6703,26.5598,0.5143,62.376,1.7404,8.7648,4.2957,0.4624,0.1176,15.6679,0.5462,1.81314833333333,8.1,29.903355,6.23e+09
1.70506068711,29597,26.5,873.1177009,62.5,0.6378,0.2442,2.8275,2.4928,1.1688,10.5354,15.254,26.8021,0.4766,61.8603,1.5773,8.5801,4.2167,0.4585,0.1157,15.1769,0.5383,1.94565,9.22,381.37183,3.73e+09
1.70755376819,29357,22.8,980.2299724,61.2,0.5243,0.2199,2.8754,2.4431,1.1719,10.661,15.1096,26.8567,0.4827,61.2648,1.512,8.5296,4.337,0.454,0.1148,14.4759,0.5463,1.88675,9.63,428.47943,2.73e+09
1.73890961415,35784,51.1,495.1650809,61,0.6488,0.2384,3.7648,3.2339,1.139,10.1179,15.3389,26.3741,0.5359,62.7464,1.6925,9.9671,4.7808,0.537,0.1302,16.3509,0.5956,2.637965,10.09,306.79916,1.337e+10
1.70793252235,36007,21.6,578.4609406,64.4,0.665,0.2401,2.8049,2.4741,1.1744,10.9686,15.6934,26.3382,0.5119,62.0733,1.6122,8.595,4.1895,0.4569,0.1132,15.6453,0.5286,2.00014404761905,8.99,161.16724,3.15e+09
1.71445798043,82201,45.9018262069116,789.5788502,48.4,0.5257,0.2172,2.7891,2.442,1.1413,10.7266,15.3159,26.7777,0.4777,59.1408,1.51,8.5014,4.5452,0.4614,0.1163,15.7372,0.5659,2.44678333333333,8.81,568.37732,8.8e+08
1.82078243141,26242,92.9,1886.814387,81.4,0.24,0.12,4.34,3.45,1.38,5.31,15.94,22.77,0.91,68.36,2.28,10.45,5.15,0.53,0.18,15.18,0.85,4.69,10.41,429.6655,13904623384.8979
1.78398382193,54964,16.0891601891252,65.60194586,44.2,0.8061,0.5181,3.669,3.4397,1.1806,11.6194,14.7065,27.3805,0.5958,63.4652,2.5669,10.2844,4.7108,0.5836,0.1632,16.5153,0.5838,1.56777333333333,7.72,24.804361,3.9209e+11
