"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
329.39001,"2",46.15629,4952.4772,80.87597,4.49,16.1,38.4,13.8,47.8,288.89,18.49119,-0.000615009137345093
78.699997,"1",34.27658,964.6601,1720.182366,1.86,89.3,32.1,27.7,40.1,77.62,15.9419,-0.000501259430832048
75.860001,"2",35.12774,5237.6623,23490.73132,1.65,53.2,28.2,33.1,38.7,75.86,17.08611,-2.88551540707234e-05
2162.8799,"4",27.55783,84580.1362,8.20119923499998,35.12,3.385,21.623,62.8870000000001,15.956,2000.46,7.662,-0.000975421131690217
1309.7290896,"4",30.3978741,36477.6365,6.39277315499997,22.9138,1.104,27.387,57.381,14.715,1244.9442,10.11986,-0.00371397094359607
150.3,"2",31.60009,5510.3967,1281.683703,2.05,44.2,31.5,37.3,31.3,134.53,16.24481,-0.000445859167811276
747.06,"3",49.83834,22637.1482,21.13788,6.96,6.136,26.193,42.806,30.656,630.31,22.666,-0.000828162529621367
96.879997,"2",41.85079,3953.478659,604.282612,1.92,49.3359999999999,21.344,33.139,47.181,97.63,19.01262,-0.000207947326002846
520.39001,"3",45.65064,9338.9484,39.0364215,6.32,8.44699999999999,21.617,46.883,31.138,570.91,21.394,-0.000662331901473956
401.73999,"3",41.5109,12310.0847,199.282773,5.52,10.5,20.6,24,55.4,424.12,24.442,-0.000906364922193787
227.03,"2",37.81171,8139.1395,1596.889162,2.44,11,16.3,56.3,27.4,174.02,17.32545,-0.000148585850378389
543.27002,"4",30.23947,27455.237,0,8,6.354,19.351,65.385,16.624,508.95,10.587,-0.000209011269543711
816.5,"4",33.49256,27035.6002,6.36053233999996,12.81,1.121,25.92,58.2010000000001,14.915,763.76,11.90205,-0.00160308027449062
1508.1349947,"4",29.3470774,153764.1643,6.47964096499996,28.2013,1.086,27.014,57.744,14.919,1542.7684,8.90619000000001,-0.00267477900900643
305.64999,"3",35.7615,20126.2922,0,5.24,7.566,32.861,33.644,27.273,266.57,8.465,-0.000548939986430203
680.21002,"3",37.47301,24668.9079,9.9524185,8.3,1.102,33.459,33.72,22.584,786.43,12.506,-0.00217965058061882
78.540001,"1",43.71005,1929.2851,1826.482046,1.46,53.8,21,24.9,54.1,82.57,19.03861,-0.000278527068985046
1423.5865929,"4",30.7966243,74086.9704333333,6.14681644499996,26.2353,1.079,27.387,57.684,14.694,1438.1268,9.50904000000001,-0.00334480922574609
86.949997,"2",56.31984,3730.2045,8.825481,2.73,19.3,30.6,25.9,43.5,86.95,17.31206,-0.000748510628844904
1391.5411939,"4",30.779255,50304.7502,6.14681644499996,24.0276,1.079,27.387,57.589,14.694,1363.5912,9.62952000000001,-0.00343926816803528
95.980003,"1",40.28523,2617.1244,1230.723936,2.21,56.9,39.4,29,31.6,95.98,17.24766,-0.000246229491406712
360,"3",30.35106,14124.1177,1.986184,5.42,0.2,48.8,10,41.2,386.22,14.137,-0.00234194588502038
70.980003,"1",35.69018,1683.8497,345.437898,1.91,81,23.1,31.5,45.5,70.84,16.32604,-0.00041661001177744
1447.7647921,"4",31.0545245,68402.3451,8.58020391999998,24.8575,1.121,27.364,58.033,14.541,1461.5536,9.53949000000001,-0.00223854551522669
678.90997,"4",24.97015,27075.5344,4.502202,15.69,1.047,26.452,59.218,15.745,851.49,8.421,-0.00221582461363618
1026.3199,"4",24.63336,29244.9198,0.142861,19.37,1.15,21.919,64.3530000000001,15.242,1002.28,9.989,-0.00177804633024553
172.79340119,"1",36.82241,5310.101322,1453.41545482,2.6747,81.2,34.2,18.6,47.2,145.7469,16.0205,-0.000284661785736886
337.70999,"3",63.02607,12165.7948,1752.145088,5.62,11.1,6.2,56.7,37,358.24,23.751,-0.000247820846212549
1181.66,"4",31.40486,37927.6095,3679.868181775,20.0268,7.923,19.748,62.8450000000001,18.049,1260.2899,14.62,-5.76516377895989e-05
98.300003,"1",44.14413,1894.960548,3007.095753,1.9989,91.1,40.1,12.7,47.2,98.29,17.83464,-0.000205076906209607
1115.37,"4",34.71895,31496.52,303.435702945,18.63,7.243,19.284,62.3910000000001,18.648,1102.65,15.562,-0.000472775652592984
268.32999,"2",39.34577,11662.9064,38.535021,2.6,11.843,29.717,31.539,35.832,228.33,16.98279,-0.000491894068543639
138.89,"2",34.2432,3379.5957,649.140966,3.5,53.4,26.7,23.5,49.8,138.89,16.91188,-0.000558079978853413
217.83,"3",57.60975,12267.609197,52.3030765,2.9895,5.9,31.2,33.8,34.9,217.41,19.59498,-0.000464836343101932
