"school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","effectiveness_larson_et_al_2016","population_with_access_to_improved_sanitation_x","population_without_access_to_improved_sanitation_x","daily_icu_occupancy","daily_icu_occupancy_per_million","daily_hospital_occupancy","daily_hospital_occupancy_per_million","weekly_new_icu_admissions_per_million","weekly_new_hospital_admissions_per_million","importance_larson_et_al_2016","safety_larson_et_al_2016"
"0","0","0","0","0","0","1","0","0","0","0",2.78,"0","0","0","0","0","3",21.55,"2","3",16.976,4129702,1952333,910.66,52.7751,3056.08,522.623985,61.7956,281.04925,10.442,22.6772
"0","0","2","0","0","0","2","0","0","0","0",19.44,"1","0","0","2","0","3",33.1,"3","4",13.436,2168769,17728196,1359.99,53.32521,3407.36,534.750415,65.27968,304.39648,9.12033333333333,17.271
"0","1","1","1","2","0","2","0","0","0","0",43.52,"3","1","0","0","0","1",39.52,"3","1",11.3,52542706,128639038,1076.95,47.05894,4124.73,584.116735,58.80788,256.71921,3.9,6.8
"1","1","1","1","2","0","2","0","0","0","2",38.89,"0","1","2","0","0","2",51.49,"2","5",6.0615,5090023,98584,128.7,10.322775,121,22.138,2.049,9.315,4.818,9.2835
"2","2","2","0","0","0","2","0","0","0","0",50,"4","2","0","0","0","3",47.38,"0","4",6.259,4061216,138594,1047.84,16.75613,2785.29,154.1436,23.20364,94.26583,4.092,8.8055
"3","1","2","1","2","1","2","0","0","0","1",66.67,"4","1","1","2","0","3",68.45,"3","5",12.6,120256626,69123887,3138.87,33.70066,10181.39,292.60982,17.38334,116.91216,6.3,7
"3","2","2","1","2","1","2","0","0","0","2",70.37,"3","3","1","2","0","3",74.76,"4","4",5.1,2976937,992312,2372.54,31.62222,8119.09,271.36696,12.59392,98.86243,1.5,7.3
"0","1","1","1","2","1","2","0","0","0","1",49.07,"3","1","0","0","0","1",54.17,"4","5",9.9,1496847,6422978,1140.82,59.60895,4561.08,691.50145,61.77502,219.17063,7.6,12.8
"1","2","1","0","2","0","2","0","0","0","2",49.07,"3","2","1","0","0","2",57.86,"3","3",6.297,5882259,756860,300.38,13.63408,1716.44,111.087503333333,9.07844,51.102655,4.5475,9.592
"2","2","2","1","2","2","3","0","0","0","1",67.59,"4","1","1","1","0","3",69.4,"4","4",8,23909023,7467648,3923.79,32.45774,11947.39,178.47405,11.99155,88.45766,2.5,8.3
"2","2","2","1","2","1","3","0","0","0","2",63.43,"4","2","0","0","0","3",68.27,"3","3",2.2,75168389,26547970,2793.06,34.85568,9333.17,316.65292,20.02693,125.79646,0.5,1.9
"1","1","1","0","2","0","2","0","0","0","1",38.89,"2","1","2","2","0","2",46.43,"2","5",10.3,36922792,1063620,962.88,24.233765,4706,124.507,13.1616,0.527,8.3,12
"1","2","2","1","2","0","3","0","0","0","1",58.33,"4","0","1","2","0","3",64.05,"3","4",4.4,10327002,31074,52,5.114,269,26.456,7.20178,4.662,2,4.2
"1","1","1","1","2","0","2","0","0","0","2",50,"4","1","2","0","0","3",64.05,"4","4",6,2431908,49631,168.46,15.18146,691.19,68.61282,6.9367,43.11724,4.344,10.127
"2","1","1","0","2","0","2","0","0","0","1",38.43,"4","0","2","1","0","3",52.08,"4","5",15.6,15674045,4141436,1846,96.509,4022.986,522.157445,50.79221,221.42404,10.5,19.8
"0","2","1","0","2","0","1","0","0","0","2",30.09,"2","1","1","0","0","1",43.75,"3","5",18.4,104037940,40058930,1338.03,57.76311,5164.02,581.457535,51.7768599999999,206.10527,16,27.5
"1","2","1","1","2","0","2","0","0","0","2",54.63,"3","2","1","2","0","2",60,"3","2",6.318,7163805,4465748,350.87,15.71784,3234.07,148.458013333333,7.70716,53.21695,3.289,8.262
"1","1","1","0","2","0","1","0","0","0","2",38.89,"3","1","1","2","0","2",45.83,"1","5",11.57,10141463.91,4056062.75,819.94,40.72138,3336.9,393.840845,30.12261,187.89214,8.482,17.2105
"1","1","1","1","2","0","1","0","0","0","2",47.98005,"3","1","1","1","0","3",58.87824,"2","5",9.04699999999999,67857,127696,763.36,24.21586,2916.05,147.18582,16.89558,75.0241,6.211,12.8755
"3","1","2","0","2","0","3","0","0","0","2",53.7,"3","0","2","1","0","3",63.69,"3","5",2.4,31557144,0,145.54,10.33674,1123.04,46.0455866666667,6.089564,32.96817,1.5,1.2
