"religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","population_x","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un","population_by_country_and_region_historic_and_projections_gapminder_hyde_un","share_of_world_population"
7.7,15.5,15.91,9,4.9,1392.306919,7.83547014519,76.677,82914000,75.1,25.39401948,27.2634146,9.5,21,17961,12000,85028760,98587985,0.0108
11.156,32,25.65,17.3,27.2,1913.346863,6.87606349071,70.604,39310000,69.2,27.9517395,29.94273994,18.4,30,23339,15085,41179351,107711273,0.0052
9.5,3.6,3.73,2.8,2.9,310.7764911,6.237350568,82.305,4882000,80.6,28.09450077,27.20344034,2.3,0,199,138,4982904,5684962,6e-04
12.645,4,3.85,3.3,7,285.1116599,5.162098361,82.972,8519000,82.1,27.82790048,27.12482237,2.1,1,510,338,8789776,18127523,0.0011
18.3,3.4,3.5,2.9,10.5,265.355629,9.713207516,83.512,60550000,82.8,26.64890335,24.85762136,2.1,1,1243,875,60367471,39992910,0.0077
13.174,15.7,15.6,11,5.6,1665.110074,6.7,74.475,2948000,75.4,25.97758141,29.86594518,11.6,1,625,504,2973462,1793106,4e-04
10.8,2.7,2.76,2.9,1.6,182.5704198,8.951731761,84.629,126860000,83.3,23.68088582,21.82460637,0.9,2,1720,966,126050796,74959378,0.016
12.336,17.9,14.91,10.7,16.9,1573.533901,6.79879523096,74.526,10102000,73.8,28.50538669,30.08778993,10.6,4,3764,2656,10269022,13644110,0.0013
10.887,14.1,15.82,10.1,3.2,1142.521387,8.95771922893,73.597,18551000,69.1,26.48649063,26.66546632,7,5,4070,2466,18994958,27917815,0.0024
11.359,50.6,48.15,22.8,22.9,3504.208152,7.41808443592,66.699,52574000,60.6,22.22532695,24.58874859,22.2,60,46373,26742,54985702,125423855,0.007
11.167,8.6,8.36,6.3,17.8,640.673225,10.35897805044,75.489,4207000,74.3,29.19359451,30.66093207,3.2,0,384,274,4328553,6188983,5e-04
10.852,21.3,22.07,12.1,5,1820.068974,7.66618384942,71.45,6416000,70.3,26.13858825,27.43290879,11.5,3,2754,2101,6628347,10984938,8e-04
7.8,7.9,5.54,5.9,3.7,374.9379534,13.03618539719,75.292,1907000,73.9,27.19496331,26.45084333,5.2,0,76,48,1866934,1114401,2e-04
9.5,8.3,7.81,6.7,6.2,582.5027634,8.89428268243,78.93,6856000,78.9,28.1243274,27.64767452,4.8,1,1030,635,6769151,5707209,9e-04
16.142,97.1,76.76,28.5,21.9,4508.359369,5.911211503,54.331,2125000,49.5,22.81298191,27.1352051,32.7,3,2078,1106,2159067,2695438,3e-04
14.925,69.9,78.9,27.5,42.9,4654.678674,6.51423356018999,64.104,4937000,60.3,23.17230055,25.19952427,24.1,10,6860,3503,5180208,15525036,7e-04
14.285,13.4,14.6,14.1,19.149,685.4828238,6.29663874871,72.913,6777000,71.5,27.05258408,29.56632955,7.2,1,842,511,6958538,8011540,9e-04
18.347,18.863,16.8969,11.963,18.598,1355.021687382,5.77656323664,82.494,38000,75.923,26.1868554794,27.9805551153,9.814,2,1494.84,674.23,38254,45212,0
10.491,4,5.17,5.4,4.5,387.5722797,11.95327380581,75.933,2760000,73.1,27.21831369,26.05921691,2.5,0,114,65,2689862,1524086,3e-04
12.976,1.9,2.37,3.4,9.4,166.9540009,7.63982237072,82.25,616000,81.3,27.24497208,25.75479558,0.9,0,11,7,634814,985168,1e-04
12.54,49.6,78.11,21.3,35,5515.980977,6.94253946857,67.041,26969000,64.5,21.57781202,21.14453119,19.7,72,50976,25725,28427333,99957340,0.0036
