"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","cost_of_calorie_sufficient_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","infant_mortality_rate","income_support","containment_index","yll_rates_from_all_air_pollution_per_100_000","death_rates_from_all_air_pollution_per_100_000"
"44",122.406,0.1710614,0.303741478,199.6569721,7.515,5.3713457,137.43,0.44,17,8.07,28.41,1588.9,-0.00146216485031388,5.257,27.552,5.672,20451,0.11,0.04,12.0044,0.63,322.1204886,2,56.55,1968.724643,109.2608926
"45",61.741,66.70957,0.615534816,295.8092388,4.369,8.6408121,305.33,19.55,18.3,13.97,65.77,154.5,-0.000659889030847224,29.3,37.1,19.17153,64677,1.3969,0.7671,14.2885,0.6138,2491.48713,1,48.93,3577.59009,97.97297297
"46",205.201,18.58065,1.180382518,336.1897358,5.168,8.6348075,272.57,2.52,34.1,22.63,53.27,471.82001,-0.00199147797579945,8.8,15.3,20.767,29597,0.7833,0.6866,14.7868,0.4764,2406.219552,1,73.21,1212.091565,45.26025836
"47",713.482,17.05914,1.345774261,265.8805063,5.354,7.4656134,141.95,0.89,24.7,40.64,80.2,421.89999,-0.00067119241181949,3.5,30.7,20.17841,29357,0.3746,0.5969,12.6423,0.4884,1315.719531,1,67.38,482.600317,18.71902758
"48",60.801,75.18362,0.987348298,346.5376876,4.472,15.9915285,436.74,1.27,41.1,31.43,66.91,183.12,-0.00254676654831156,3.6,7.6,17.677,35784,0.2178,0.823699999999999,16.8094,0.6288,1592.650397,1,44.17,3677.334182,130.7361091
"49",148.315,41.0972,1.459323301,391.5220784,5.462,9.3025743,179.53,1.83,28.9,69.3,116.48,311.87,-0.000493171673866004,10.55,39.445,19.80171,36007,1.3459,0.7779,14.6899,0.4543,1083.908987,1,43.21,1314.068875,50.26929982
"50",59.16,66.6419794,0.81764040677,280.837090657,4.70081,9.4867882,238.66,9.17,12.6,11.01,60.57,169.14640125,-0.000593862596892712,40.466,40.466,18.52096,82201,1.3919,0.7042,14.5374,0.5525,3460.540601,0.42,49.8858,3607.455621,82.72189349
"51",55.03,0.7833411,0.424691275,274.6628285,6.453,7.7077688,326.4,0.41,21.8,8.79,19.43,885.83002,-0.00330429064025721,2.554,19.094,14.866,26242,0.12,0.91,15.18,0.85,215.1727847,0,34.52,2119.421173,108.1492765
"52",12.569,87.36121,0.720331215,304.7147757,4.549,5.7992061,360.35,23.59,6.9,17.09,70.74,110.12,-0.000651142080090633,87.3,46.5,18.76322,54964,1.5628,0.9452,15.9762,0.5714,4211.644212,0,52.14,2853.959815,68.58669779
"53",2.231,28.74499,0.848623732,330.4274271,5.04957,15.946039,482.67,3.64,35.3,83.75,459.95,227.06,-0.000807503531466263,9.937,26.76,19.65298,39681,1.1079,0.7624,17.1356,0.4471,1864.966294,1,80.36,1177.017937,35.98654709
"54",63.891,0.09872849,0.281521543,215.0627693,7.889,6.4035424,179.76,0.22,20.6,4.09,11.61,1501.48,-0.00093721387941662,10.877,38.437,6.802,19843,2.3103,0.41,30.5,0.56,182.3905576,2,50.3,1256.351081,72.83300018
"55",544.493,0.0396873,0.319270299,250.1477672,6.714,7.4588522,109.08,0.3,21.1,6.13,21.03,1621.01,-0.00029040363185507,7.858,38.164,9.124,19104,0.84,0.47,20.4,0.48,313.2303763,2,68.45,1771.213411,104.5112085
"56",24.262,32.0472,0.9553951,314.0855085,4.914,10.0069996,308.36,11.49,20.3,16.72,77.36,295.5,-0.000542539890639716,16.5,39.6,20.25256,58498,1.4328,0.7557,15.2157,0.4575,3404.89869,0,63.57,2018.608696,67.13043478
"57",49.241,73.06253,0.98305743,321.6312408,5.164,9.4400826,320.01,22.42,14.8,19.24,61.6,149.91,-0.000604972885421693,60.4,33.7,18.5803,62697,1.2838,0.833499999999999,15.092,0.5908,3450.537925,0,42.26,4120.793571,97.38824711
"58",63.422,25.92962142,0.77206830394,324.052996071,5.123,13.278765,490.35,0.84,23.8,12.9,35.78,237.52,-0.00107511710667901,0.8,43,16.893,29323,0.6527,1.1631,15.553,0.6863,943.1186411,1,66.55,3160.375,161.5
"59",121.539,0.2406784,0.266420584,232.1149325,7.312,6.0163501,186.93,0.24,20.4,12.41,30.6,1637.79,-0.00013945094207037,7.335,36.205,9.165,19224,2.31,0,9.5,1.18,325.4044188,2,67.86,2621.396936,153.605818
"60",10.17,60.90227,0.823971445,355.1017527,5.319,6.4065812,362.74,23.06,16.6,18.77,86.46,199.55,-0.000661713376623078,33.7,40.4,19.02356,58375,1.4886,0.8703,16.3913,0.5632,3779.929326,0,43.57,3385.14083,90.06203102
