"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","nurses_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"146",222.887,17679,100,NA,NA,NA,0.93,NA,0.82,2149.3345,NA
"147",15.714,43178,90,NA,NA,NA,NA,NA,NA,85.753609,1.105e+10
"148",8.493,42752,0.3,NA,NA,NA,NA,NA,NA,121.52,2.398e+10
"149",0.352,63043,13,NA,NA,NA,NA,NA,NA,25.233082,3.1549e+11
"150",0.845,28993,98,NA,NA,NA,NA,NA,NA,75.361549,2.679e+10
"151",6.523,71808,4,NA,NA,NA,NA,NA,NA,48.73756,1.644e+10
"152",75.742,38360,NA,NA,NA,NA,NA,NA,NA,822.86584,5e+07
"153",83.174,26814,80,NA,NA,NA,NA,NA,NA,307.94397,4.34e+09
"154",117.976,29027,86,0,2.15,NA,0.05,11.57,0.44,168.79961,2.16e+09
"155",2.252,74116,2,NA,NA,NA,NA,NA,NA,56.105515,2.0389e+11
"156",150.685,35121,100,NA,NA,NA,NA,NA,NA,224.43942,5.127e+10
"157",48.734,25546,100,NA,NA,NA,NA,NA,NA,431.54056,NA
"158",668.253,20376,100,NA,2.54,NA,0.38,NA,0.82,613.17255,NA
"159",684.958,22775,84,1.68,0.61,17.49,0.21,4.25,0.39,1056.9528,NA
"160",15.545,24820,97.2,NA,NA,NA,NA,NA,NA,282.98938,2.1e+08
"161",16.642,40253,100,NA,NA,NA,NA,NA,NA,163.58907,2.245e+10
"162",27.43,29410,100,NA,NA,NA,NA,NA,NA,265.49927,1e+08
"163",0.36,29226,61,NA,NA,NA,NA,NA,NA,145.36028,7.389e+10
"164",20.117,55241,42,NA,NA,NA,NA,NA,NA,116.98312,6.458e+10
"165",18.93,76189,8.4,NA,NA,NA,NA,NA,NA,55.894348,1.4342e+11
"166",16.282,72784,1,NA,NA,NA,NA,NA,NA,47.00177,1.1784e+11
"167",237.838,22380,100,0.02,5.63,11.54,0.94,15.2,0.89,366.23938,NA
