,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
10034,BHR,Asia,Bahrain,2021-11-16,277262.0,16.0,21.285999999999998,1393.0,0.0,0.0,158589.94,9.152000000000001,12.175,796.7760000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748295.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
9402,BHS,North America,Bahamas,2021-11-16,22613.0,12.0,3.0,669.0,4.0,1.143,56972.039000000004,30.233,7.558,1685.504,10.078,2.8789999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.8140000000000001,,,,
16068,BIH,Europe,Bosnia and Herzegovina,2021-11-16,265942.0,793.0,729.2860000000001,12113.0,38.0,34.857,81490.835,242.99400000000003,223.47,3711.7059999999997,11.644,10.681,,,,,,,,,,3653.0,1353609.0,414.777,1.119,2986.0,0.915,,,tests performed,,,,,,,,,,,,,,,3263459.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
11896,BLR,Europe,Belarus,2021-11-16,631025.0,1754.0,1900.8570000000002,4875.0,14.0,14.571,66825.573,185.74900000000002,201.301,516.263,1.483,1.5430000000000001,,,,,,,,,,,10062789.0,1065.65,,26846.0,2.843,,,tests performed,,,,,,,,,,,,,,,9442867.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
13152,BLZ,North America,Belize,2021-11-16,29269.0,164.0,158.143,548.0,4.0,5.571000000000001,72284.307,405.023,390.55800000000005,1353.37,9.879,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19,404915.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
14063,BMU,North America,Bermuda,2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101341.0,48464.0,47365.0,5512.0,,1224.0,163.21,78.05,76.28,8.88,19713.0,187.0,0.301,,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
15300,BOL,South America,Bolivia,2021-11-16,525187.0,926.0,902.429,19030.0,8.0,8.571,44383.49,78.256,76.264,1608.223,0.6759999999999999,0.7240000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,,,25.383000000000003,1.1,71.51,0.718,,,,
17295,BRA,South America,Brazil,2021-11-16,21965684.0,4918.0,9808.429,611478.0,132.0,246.0,102646.52900000001,22.982,45.835,2857.461,0.617,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
11268,BRB,North America,Barbados,2021-11-16,22639.0,323.0,280.42900000000003,199.0,5.0,2.286,78687.41900000001,1122.6660000000002,974.699,691.674,17.379,7.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8140000000000001,,,,
18089,BRN,Asia,Brunei,2021-11-16,14291.0,76.0,61.0,96.0,0.0,0.429,32366.85,172.128,138.155,217.425,0.0,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441532.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
14684,BTN,Asia,Bhutan,2021-11-16,2625.0,0.0,0.28600000000000003,3.0,0.0,0.0,3365.816,0.0,0.366,3.847,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,,,79.807,1.7,71.78,0.654,,,,
16665,BWA,Africa,Botswana,2021-11-16,194129.0,0.0,97.14299999999999,2416.0,0.0,1.0,80980.211,0.0,40.523,1007.826,0.0,0.41700000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
23404,CAF,Africa,Central African Republic,2021-11-16,11666.0,0.0,12.429,101.0,0.0,0.14300000000000002,2371.144,0.0,2.526,20.529,0.0,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.602999999999998,1.0,53.28,0.397,,,,
21863,CAN,North America,Canada,2021-11-16,1762638.0,1816.0,2419.429,29458.0,23.0,26.429000000000002,46302.46,47.70399999999999,63.556000000000004,773.828,0.604,0.6940000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
116525,CHE,Europe,Switzerland,2021-11-16,923047.0,4297.0,3709.857,11353.0,6.0,8.286,105908.741,493.03,425.662,1302.623,0.688,0.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
