"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"141",754.96,16984,99.2,0.57,6.7,6.24,7.38,0.96,2.97,771.09918
"142",0.887,28527,100,0.582,7.87980000000001,10.3865,15.1035,0.7611,4.5486,135.6982
"143",19.088,59210,29.7,0.7918,10.5887,9.8398,19.133,0.7398,2.7615,175.13531
"144",189.215,29901,32.794,0.5548,10.6557,8.3253,14.5619,0.6081,1.5451,103.195
"145",585.983,18308,100,0.5621,8.75790000000001,19.73,14.295,0.66,2.22,804.94183
"146",222.887,17679,100,0.8076,10.7372,21.4249,13.9441,0.82,4.53,2149.3345
"147",15.714,43178,90,0.6288,8.81460000000001,10.0261,15.6168,0.7402,3.0373,85.753609
"148",8.493,42752,0.3,0.692500000000001,9.81920000000001,9.4957,15.4425,0.7081,2.2526,121.52
"149",0.352,63043,13,0.8291,12.9308,9.7052,19.2027,0.7357,2.2572,25.233082
"150",0.845,28993,98,0.6123,8.61600000000001,10.2413,15.2961,0.7403,4.2121,75.361549
"151",6.523,71808,4,0.6793,9.99430000000001,9.5487,15.2397,0.7168,1.7556,48.73756
"152",75.742,38360,67.28,0.5193,9.34990000000001,10.9046,15.1993,0.6913,2.6205,822.86584
"153",83.174,26814,80,0.4555,7.3882,9.8997,13.3879,0.5994,2.1104,307.94397
"154",117.976,29027,86,0.67,7.33,10.188,11.57,0.44,2.81,168.79961
"155",2.252,74116,2,0.8291,12.9308,9.7052,19.2027,0.7357,2.247,56.105515
"156",150.685,35121,100,0.6236,8.68360000000001,10.0666,15.7582,0.7599,4.0249,224.43942
"157",48.734,25546,100,0.3888,6.3066,9.98970000000001,14.9476,0.7465,3.3034,431.54056
"158",668.253,20376,100,0.3918,6.4871,13.509,13.6711,0.82,2.54,613.17255
"159",684.958,22775,84,0.47,3.72,17.49,4.25,0.39,2.77,1056.9528
"160",15.545,24820,97.2,0.5839,8.46540000000001,9.2759,14.6072,0.6651,2.4078,282.98938
"161",16.642,40253,100,0.6318,9.01090000000001,10.0031,15.346,0.7595,2.7587,163.58907
"162",27.43,29410,100,0.5759,9.88870000000001,9.1421,15.1815,0.6415,1.7292,265.49927
"163",0.36,29226,61,0.7279,9.8074,9.9448,16.416,0.7144,2.6026,145.36028
"164",20.117,55241,42,0.6093,9.15230000000001,10.657,16.9423,0.7115,2.7307,116.98312
"165",18.93,76189,8.4,0.8372,12.9717,9.7058,18.9807,0.7357,2.2634,55.894348
"166",16.282,72784,1,0.8011,11.0603,9.5111,19.4551,0.7264,2.1678,47.00177
"167",237.838,22380,100,0.98,8.87,11.54,15.2,0.89,6.63,366.23938
