"","iso_code","continent","Entity","income_welfare","mean_mthly_income","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","mthly_income_flag","GDP.growth.from.previous.year..2020.Q2","GDP.per.capita.PPP.2011...WDI..2016.","Code","Gini.index","Income.classification..World.Bank.2017.","Mean.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Median.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Multidimensional.Poverty..headcount.ratio...Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.education.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.health.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.living.standards.to.overall.poverty..Alkire.and.Robles..2016..","National.poverty.lines..Jolliffe.and.Prydz..2016..","Cost.of.closing.the.poverty.gap.in.int...2011..PovcalNet..World.Bank...2017..","Poverty.rate...50..of.median...LIS.Key.Figures..2018.","Total.wealth","Produced.capital..including.urban.land.","Natural.capital..timber..non.timber..protected.areas..land..sub.soil.assets.","Natural.capital..renewable..excluding.sub.soil.assets.","Forest..timber","Forest..non.timber","Protected.areas","Land..crop..pasture.","Cropland","Pastureland","Sub.soil.assets..fossil.energy.resources..metals.and.minerals.","Fossil.energy.resources..oil..natural.gas..coal.","Oil","Natural.gas","Coal","Metals.and.minerals","Human.capital","Human.capital..total.male","Human.capital..total.female","Net.foreign.assets","Adjusted.net.national.income","Adjusted.net.saving","Gross.domestic.product","Gross.national.income"
"35","CHE","Europe","Switzerland","i",2020.86,"638.59176","943.74162","1161.9945","1362.05964","1584.35424","1816.75314","2101.6944","2469.49092","3033.31086","5096.60892","791.16669","1262.02707","1700.55369","2285.59266","4064.95989",0,NA,55260.31832,"CHE",33.14105,4,2013.28,1681.71,NA,NA,NA,NA,31.51,NA,8.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CHL","South America","Chile","i",727.16998,"139.61664","235.60308","301.77555","367.22085","438.48351","522.83523","631.18356","788.25228","1093.66368","2753.79279","187.60986","334.4982","480.65937","709.71792","1923.728235",0,-13.682773,21979.82132,"CHL",44.44094,4,720.4,430.86,NA,NA,NA,NA,7.17,54.862785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CHN","Asia","China","C",332.12,"88.0118","126.2056","159.74972","193.95808","231.81976","276.32384","331.78788","407.51124","530.06352","976.10068","107.1087","176.8539","254.0718","369.64956","753.0821",0,3.2,12599.18183,NA,NA,3,287.7,NA,5.2,31,34.7,34.4,1.78,3294.700605,25.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CIV","Africa","Cote d'Ivoire","c",116.93,"24.67223","42.0948","54.02166","65.71466","77.99231","93.19321","112.60359","140.316","185.33405","373.35749","33.383515","59.86816","85.59276","126.459795","279.34577",0,NA,3108.425908,"CIV",41.4748,2,119.31,85.09,58.7,34.5,29.6,35.9,2.41,1331.420136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CMR","Africa","Cameroon","c",161.66,"27.80552","45.10314","59.65254","77.27348","98.28928","123.02326","154.06198","195.28528","269.64888","566.45664","36.45433","68.46301","110.65627","174.67363","418.05276",0,NA,2835.566677,"CMR",46.64087,2,160.24,108.68,46,23.6,30.7,45.7,2.35,1303.062921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","COD","Africa","Democratic Republic of Congo","c",46.470001,"9.71223","16.03215","20.77209","25.60497","30.6702","36.66483","44.65767","55.81047","76.07139","148.65753","12.87219","23.18853","33.667515","50.23407","112.36446",0,NA,711.5201297,"COD",42.09971,1,45.83,33.02,75.1,15,31.6,53.3,1.4,19144.25821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","COG","Africa","Congo","c",117.42,"18.31752","30.99888","41.91894","54.6003","69.2778","85.36434","105.79542","136.91172","185.64102","445.37406","24.6582","48.25962","77.32107","121.35357","315.50754",0,NA,5988.158823,"COG",48.93867,2,117.41,76.21,39.7,9.9,33.4,56.7,2.75,438.7074065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","COK","Oceania","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","COL","South America","Colombia","i",431.25,"60.375","115.575","156.54375","199.2375","247.5375","304.89375","379.06875","487.3125","680.94375","1681.0125","87.975","177.890625","276.215625","433.190625","1180.978125",0,-15.7,12743.01602,"COL",51.33497,3,450.73,264.68,5.4,31.8,33.5,34.7,5.42,814.191192,19.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","COM","Africa","Comoros","c",180.10001,"28.9961","51.5086","71.3196","92.2112","112.5625","137.9566","176.8582","222.6036","300.5869","606.2166","40.25235","81.7654","125.25955","199.7309","453.40175",0,NA,1363.563075,"COM",45.33459,1,246.86,132.18,36,28.7,25,46.3,3.89,20.18085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
