"","debt_relief","population_without_access_to_improved_sanitation_x","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","days_since_50_daily_new_confirmed_cases_recorded","days_since_10_daily_new_confirmed_deaths_recorded","weekly_case_growth","weekly_death_growth","biweekly_case_growth","biweekly_deaths_per_million_people","case_fatality_rate_of_covid_19_short_term","case_fatality_rate_of_covid_19_only_observations_with_100_cases"
"174",0,115608,106,23.58,3978.589,80,89.61,14.0776699029126,60,-33.5843373493976,9.289,2.996,1.904
"175",2,946988,983,0,4433.598,216,43,-33.1679838574071,16.7381974248927,30.9682529205993,42.729,3.014,1.876
"176",0,3991845,9950,26.192,4342.092,224,220,17.1046382776634,3.48360655737705,27.5352210908076,11.774,4.464,2.717
"179",0,32477200,103,1.399,254.061,150,89.3,-1.18623962040332,200,-13.0705394190871,0.175,0.742,0.886
"180",1,1851315,6590,152.674,8131.041,214,200,20.7009345794392,23.1240428790199,29.485949280329,33.315,2.182,1.853
"181",2,219703,482,140.54,12903.826,217,176,11.6180725573114,-45.4545454545455,22.5415646346179,3.438,0.146,0.378
"182",2,521031,45365,337.109,13516.409,237,227,21.4782717713247,47.3129610115911,49.7398868428302,34.573,1.267,4.944
"183",1,0,226723,226.974,26524.419,236,229,21.5461244869056,9.54686289697908,38.6516698640283,32.692,1.544,2.582
"184",1,123536,54,12.667,839.444,12,82.7,2.44755244755244,100,90.4605263157895,0.864,1.515,1.852
"185",2,0,557,8.127,1973.068,205,71,-5.76476057647606,4.54545454545454,-21.7602996254682,1.345,1.013,0.843
"187",2,1744688,780,12.414,3179.075,162,84,-15.2782047340916,-10.8108108108108,-40.0777822098125,2.462,0.717,0.863
"188",0,20176926,35,0.031,12.04,89,89.87,10.7142857142857,-100,210.526315789474,0,0,2.986
"189",0,11632956,600,0,69.201,145,150,0,-50,-61.9047619047619,0.101,25,29.07
"190",1,9032429,348,2.339,883.542,171,112,-33.9240506329114,100,-24.7706422018349,0.163,0.51,2.142
"191",0,9971349,242,0.807,559.446,153,89,-15.2317880794702,200,40.2010050251256,0.807,6.618,2.91
"192",1,94915,2547,1462.604,26522.876,227,204,40.3246156482188,80.8966861598441,149.234298268286,134.56,2.112,0.897
