"","Entity","Total confirmed deaths due to COVID-19 per million people","Religious compatibility (Larson et al (2016))","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population.x","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"63","Georgia",63.422,NA,11.9,12.34,12.34,8.1,2.2,943.1186411,NA,73.767,3997000,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.68977139,27.87763074,7.2,1,467,318,3979773,2514130,5e-04
"64","Germany",121.539,8.8,3.7,3.88,3.88,3,2.7,325.4044188,NA,81.326,83517000,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.48449232,26.00994709,2.1,3,2346,1588,83900471,74740596,0.0107
"65","Ghana",10.17,10.1,61.6,62.76,62.76,26.2,34.9,3779.929326,NA,64.074,30418000,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.59033672,25.38987538,28.3,44,32021,21363,31732128,79011409,0.004
"66","Greece",56.893,19.4,4.1,4.92,4.92,3.5,13.1,352.2865839,9.600140959,82.239,10473000,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.65624943,26.9157422,2.9,0,318,214,10370747,6583364,0.0013
"67","Grenada",NA,NA,11.8,15.55,15.55,8,NA,1052.882554,NA,72.397,112000,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.26649583,28.99880771,6,0,16,12,113015,86183,0
"68","Guatemala",204.571,NA,29.1,26.83,26.83,16,35,2194.79736,5.134811372,74.302,17581000,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.83059531,27.49113119,13.4,12,9219,4557,18249868,31270073,0.0023
"69","Guinea",5.406,NA,93.7,103.06,103.06,31.2,48.3,6132.247871,NA,61.602,12771000,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.46822914,23.48420628,31.3,41,25401,13444,13497237,45256876,0.0017
"70","Guinea-Bissau",20.833,NA,92.5,80.62,80.62,38.4,41.9,5215.989147,NA,58.322,1921000,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.85539546,24.15697009,39.7,5,3390,2178,2015490,5706289,3e-04
"71","Guyana",151.292,NA,39.4,28.64,28.64,19.5,10.7,2003.709588,6.637814579,69.906,783000,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.18206707,27.95808006,22.8,0,306,225,790329,530598,1e-04
"72","Haiti",20.346,NA,69,63.54,63.54,28.6,38.3,4916.711501,NA,64.001,11263000,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.62422204,24.34822336,25.4,19,15258,8030,11541683,14760450,0.0015
"73","Honduras",266.442,NA,20.4,15.92,15.92,18.1,22.7,1091.73737,5.6,75.27,9746000,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.00910489,27.85207042,11,3,2633,1725,10062994,14325309,0.0013
"74","Hungary",163.348,NA,6.2,5.23,5.23,4.7,3.2,394.3886029,13.04478867,76.875,9685000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.39520228,26.65430385,3.5,0,346,217,9634162,6856920,0.0012
"75","Iceland",32.234,12,2,2.46,2.46,2.4,2.6,150.2604665,NA,82.993,339000,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.16196688,25.5912036,0.9,0,6,4,343360,353291,0
"76","India",86.963,20.8,47.7,40.83,40.83,21.4,38.7,3622.58324,7.4,69.656,1366418048,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.81452731,22.00366557,27.7,1040,876086,571527,1393409033,1447025612,0.1769
"77","Indonesia",49.4,8.4,27.2,29.15,29.15,14.8,16.5,2249.603275,NA,71.716,270625984,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.58718339,23.90401041,13.5,109,90145,56952,276361788,320782426,0.0351
"78","Iran",396.45,7.7,15.5,15.91,15.91,9,4.9,1392.306919,NA,76.677,82914000,75.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.39401948,27.2634146,9.5,21,17961,12000,85028760,98587985,0.0108
"79","Iraq",266.617,NA,32,25.65,25.65,17.3,27.2,1913.346863,NA,70.604,39310000,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9517395,29.94273994,18.4,30,23339,15085,41179351,107711273,0.0052
"80","Ireland",382.762,9.5,3.6,3.73,3.73,2.8,2.9,310.7764911,6.237350568,82.305,4882000,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.09450077,27.20344034,2.3,0,199,138,4982904,5684962,6e-04
"81","Israel",286.868,NA,4,3.85,3.85,3.3,7,285.1116599,5.162098361,82.972,8519000,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.82790048,27.12482237,2.1,1,510,338,8789776,18127523,0.0011
"82","Italy",623.534,18.3,3.4,3.5,3.5,2.9,10.5,265.355629,9.713207516,83.512,60550000,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.64890335,24.85762136,2.1,1,1243,875,60367471,39992910,0.0077
"83","Jamaica",66.19,NA,15.7,15.6,15.6,11,5.6,1665.110074,6.7,74.475,2948000,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.97758141,29.86594518,11.6,1,625,504,2973462,1793106,4e-04
"84","Japan",13.678,10.8,2.7,2.76,2.76,2.9,1.6,182.5704198,8.951731761,84.629,126860000,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.68088582,21.82460637,0.9,2,1720,966,126050796,74959378,0.016
"85","Jordan",65.47,NA,17.9,14.91,14.91,10.7,16.9,1573.533901,NA,74.526,10102000,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.50538669,30.08778993,10.6,4,3764,2656,10269022,13644110,0.0013
"86","Kazakhstan",118.285,NA,14.1,15.82,15.82,10.1,3.2,1142.521387,NA,73.597,18551000,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.48649063,26.66546632,7,5,4070,2466,18994958,27917815,0.0024
"87","Kenya",17.37,NA,50.6,48.15,48.15,22.8,22.9,3504.208152,NA,66.699,52574000,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22532695,24.58874859,22.2,60,46373,26742,54985702,125423855,0.007
