"","Entity","Total confirmed deaths due to COVID-19 per million people","mean","pop","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","flag","Income classification (World Bank 2017)","Gini index","GDP growth from previous year, 2020 Q2","GDP per capita PPP 2011 – WDI (2016)","pop2021","Gini coefficient (World Bank (2016))","GDP per capita","Population.y","GDP","Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017))","National poverty lines (Jolliffe and Prydz (2016))","Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016))","Percentage contribution of deprivations in education to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in health to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in living standards to overall poverty (Alkire and Robles (2016))","Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Poverty rate (<50% of median) (LIS Key Figures, 2018)"
"46","Denmark",122.406,1588.9,5.6799998,"592.6597","900.9063","1043.9073","1163.0748","1290.1868","1439.5434","1614.3224","1852.6574","2208.571","3783.1709","746.783","1103.49105","1364.8651","1733.4899","2995.87095",0,4,28.16634,-8.5,42757.54325,5813.298,29.08,46312.3443,5793652.404,268317624888.571,NA,26.44,NA,NA,NA,NA,1492.02,1301.06,5.672
"47","Djibouti",61.741,154.5,0.95999998,"29.973","53.3025","72.615","88.374","106.296","126.2265","150.792","182.001","236.076","499.1895","41.63775","80.4945","116.26125","166.3965","367.63275",0,2,41.58799,NA,3120.044328,1002.187,45.13,3295.6815,884017,2913438472.5855,44.790391,NA,29.3,38.3,24.6,37.1,147.67,106.7,NA
"48","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,10377.21429,72.167,NA,9021.1737,74027,667810425.4899,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Dominican Republic",205.201,471.82001,10.65,"85.39942","143.43328","189.67164","237.32546","292.5284","358.11138","433.60258","546.36756","763.40476","1668.35552","114.41635","213.49855","325.31989","489.98507","1215.88014",0,3,41.91857,NA,12652.5233,10953.703,47.07,15912.3995,10385306.08,165255139274.739,39.923408,6.66,8.8,12.5,72.1,15.3,377.03,246.3,20.767
"50","Ecuador",713.482,421.89999,16.620001,"69.1916","130.789","175.0885","219.8099","272.1255","329.5039","400.3831","506.28","689.3846","1426.022","99.9903","197.4492","300.8147","453.33155","1057.7033",0,3,45.71153,NA,10848.81847,17888.475,47.29,10638.8251,16498502,175524677190,186.795612,4.68,3.5,21.5,47.8,30.7,361.21,248.5,NA
"51","Egypt",60.801,183.12,93.779999,"71.78304","95.2224","110.05512","124.15536","138.62184","155.10264","174.51336","201.98136","251.05752","508.70736","83.50272","117.10524","146.86224","188.24736","379.88244",0,2,31.53395,NA,10045.77995,104258.327,30.75,11957.2122,102183736,1221832614740.78,NA,NA,3.6,52.8,39.6,7.6,NA,NA,17.677
"52","El Salvador",148.315,311.87,6.3800001,"77.03189","122.56491","154.68752","188.36948","224.5464","264.46576","313.74122","378.61018","486.20533","908.78918","99.7984","171.5285","244.50608","346.1757","697.497255",0,2,38.77876,NA,7967.149952,6518.499,43.51,8598.1982,6368351,54756344105.1682,31.253271,5.42,NA,NA,NA,NA,302.99,219.33,NA
"53","Equatorial Guinea",59.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,33141.85216,1449.896,NA,28528.953,797457,22750613272.521,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1411.157638,3601.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Estonia",55.03,885.83002,1.3200001,"240.05993","422.54091","521.75387","589.96278","667.91582","786.61704","931.89316","1120.57495","1418.21383","2159.65354","331.30042","555.858325","727.26643","1026.234055","1788.933685",0,4,30.32145,NA,26611.72977,1325.185,33.15,27408.6649,1291906.205,35409424255.0757,11.076582,11.07,NA,NA,NA,NA,701.86,574.83,14.866
"56","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.57979,NA,NA,1172.362,NA,8068.2118,1087200,8771759868.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Ethiopia",12.569,110.12,102.4,"28.74132","44.15812","55.28024","66.18212","77.19412","88.31624","102.30148","124.54572","168.70384","345.7768","36.44972","60.73118","82.75518","113.4236","257.24032",0,1,34.99312,NA,1430.803443,117876.227,33.17,1838.4903,106467968.7,195740327715.654,3659.216688,1.8,87.3,25.9,27.6,46.5,87.56,71.43,NA
"58","Fiji",2.231,227.06,0.88,"71.29684","99.45228","119.2065","138.05248","159.16906","185.28096","218.65878","265.20608","339.90882","674.3682","85.37456","128.62949","172.22501","241.93243","507.13851",0,3,36.6966,NA,8388.12539,902.906,42.78,NA,NA,NA,4.5771,4.49,NA,NA,NA,NA,238.97,165.79,NA
"59","Finland",63.891,1501.48,5.48,"579.57128","834.82288","989.47532","1114.09816","1240.22248","1387.36752","1564.54216","1797.27156","2148.61788","3360.31224","707.19708","1051.78674","1313.795","1680.90686","2754.46506",0,4,27.32977,-5.2,38534.98821,5548.36,27.12,38896.7005,5515525.053,214535726086.788,NA,26.06,NA,NA,NA,NA,1501.11,1306.37,6.802
"60","France",544.493,1621.01,66.589996,"505.75512","773.22177","953.15388","1115.25488","1269.25083","1437.83587","1625.87303","1899.82372","2316.42329","4313.50761","639.488445","1034.20438","1353.54335","1762.848375","3314.96545",0,4,32.38069,-19,37214.40686,65426.179,33.1,38515.9193,67028749.3,2581673898818.73,NA,24.69,NA,NA,NA,NA,1597.81,1313.09,9.124
"61","Gabon",24.262,295.5,2.03,"66.192","112.5855","143.3175","177.3","213.0555","252.0615","305.2515","374.3985","491.712","819.4215","89.38875","160.30875","232.5585","339.825","655.56675",0,3,38.02437,NA,18536.76837,2278.825,42.18,17613.5564,2083239.905,36693263561.4481,16.93527,3.63,16.5,15.4,45,39.6,210.08,149.29,NA
"62","Gambia",49.241,149.91,1.98,"45.12291","65.66058","79.90203","93.54384","107.9352","126.97377","148.71072","177.49344","223.06608","430.69143","55.391745","86.722935","117.454485","163.10208","326.878755",0,1,35.91883,NA,1592.65032,2486.945,47.33,1882.2399,2092731,3939021788.1669,225.5213455,2.45,60.4,28.9,37.4,33.7,97.16,62.45,NA
